Char   Codepoint     Frequency
------------------------------
仄      U+04EC4        8423431
平      U+05E73        7678127
一      U+04E00         336824
不      U+04E0D         271364
人      U+04EBA         240171
其      U+05176         239913
二      U+04E8C         210568
山      U+05C71         195346
十      U+05341         172570
三      U+04E09         167188
首      U+09996         163060
有      U+06709         160380
日      U+065E5         148184
中      U+04E2D         146612
無      U+07121         143139
天      U+05929         131246
風      U+098A8         122543
春      U+06625         121275
花      U+082B1         119683
之      U+04E4B         115946
詩      U+08A69         115781
年      U+05E74         115322
上      U+04E0A         112539
月      U+06708         111057
何      U+04F55         109597
子      U+05B50         108782
四      U+056DB         104723
生      U+0751F         102105
來      U+04F86         100244
自      U+081EA          97792
五      U+04E94          97168
如      U+05982          96848
江      U+06C5F          94215
水      U+06C34          93448
相      U+076F8          90951
知      U+077E5          90685
時      U+06642          90185
卷      U+05377          90145
爲      U+07232          89436
雲      U+096F2          88408
見      U+0898B          88245
得      U+05F97          87283
百      U+0767E          87146
事      U+04E8B          85813
清      U+06E05          85007
王      U+0738B          84761
行      U+0884C          84212
作      U+04F5C          82820
道      U+09053          82118
此      U+06B64          81869
白      U+0767D          80324
君      U+0541B          80279
我      U+06211          79798
今      U+04ECA          77582
秋      U+079CB          77494
和      U+0548C          76582
心      U+05FC3          76487
南      U+05357          76098
李      U+0674E          75938
歸      U+06B78          75488
明      U+0660E          74982
是      U+0662F          74106
雨      U+096E8          73491
未      U+0672A          72752
老      U+08001          70204
下      U+04E0B          70020
書      U+066F8          69927
六      U+0516D          69723
夜      U+0591C          69484
長      U+09577          68965
公      U+0516C          67475
高      U+09AD8          67309
去      U+053BB          67092
玉      U+07389          66260
成      U+06210          64080
九      U+04E5D          63455
西      U+0897F          63377
送      U+09001          62227
大      U+05927          62168
與      U+08207          61600
可      U+053EF          61262
家      U+05BB6          60798
在      U+05728          60793
空      U+07A7A          60449
金      U+091D1          59985
千      U+05343          59853
同      U+0540C          59564
前      U+0524D          59461
寒      U+05BD2          59450
新      U+065B0          59437
古      U+053E4          59217
萬      U+0842C          58539
八      U+0516B          57984
文      U+06587          57827
以      U+04EE5          57251
酒      U+09152          56786
寄      U+05BC4          56546
州      U+05DDE          55600
方      U+065B9          55580
七      U+04E03          55166
釋      U+091CB          54271
已      U+05DF2          54064
歌      U+06B4C          53932
青      U+09752          53702
名      U+0540D          53056
石      U+077F3          52940
出      U+051FA          52573
安      U+05B89          52510
東      U+06771          52460
客      U+05BA2          52329
里      U+091CC          51318
元      U+05143          51241
林      U+06797          50880
居      U+05C45          50767
張      U+05F35          50618
朝      U+0671D          50086
多      U+0591A          50060
題      U+0984C          49100
香      U+09999          48471
光      U+05149          48435
門      U+09580          48345
更      U+066F4          48208
韻      U+097FB          47905
雪      U+096EA          47856
次      U+06B21          47851
黄      U+09EC4          47271
落      U+0843D          47094
劉      U+05289          46934
小      U+05C0F          46834
句      U+053E5          46464
處      U+08655          46371
深      U+06DF1          46291
欲      U+06B32          46212
正      U+06B63          46129
流      U+06D41          46126
重      U+091CD          45329
世      U+04E16          45166
入      U+05165          45136
地      U+05730          44155
城      U+057CE          44121
能      U+080FD          43634
思      U+0601D          43585
然      U+07136          43352
看      U+0770B          43314
