Char   Codepoint     Frequency   Percentage
--------------------------------------------
仄      U+04EC4         319738        1.07%
平      U+05E73         289984        0.97%
一      U+04E00         280668        0.94%
不      U+04E0D         264453        0.89%
人      U+04EBA         224887        0.75%
山      U+05C71         171521        0.58%
有      U+06709         150720        0.51%
無      U+07121         138207        0.46%
二      U+04E8C         137093        0.46%
其      U+05176         134719        0.45%
十      U+05341         133676        0.45%
三      U+04E09         130694        0.44%
日      U+065E5         130463        0.44%
天      U+05929         124582        0.42%
中      U+04E2D         124422        0.42%
風      U+098A8         119116        0.40%
年      U+05E74         111054        0.37%
花      U+082B1         110429        0.37%
春      U+06625         109588        0.37%
何      U+04F55         107174        0.36%
上      U+04E0A          99726        0.33%
月      U+06708          99522        0.33%
來      U+04F86          97826        0.33%
生      U+0751F          96999        0.33%
首      U+09996          96583        0.32%
如      U+05982          94658        0.32%
自      U+081EA          92765        0.31%
子      U+05B50          91841        0.31%
詩      U+08A69          90859        0.31%
卷      U+05377          88642        0.30%
之      U+04E4B          88369        0.30%
水      U+06C34          88122        0.30%
知      U+077E5          87182        0.29%
相      U+076F8          85633        0.29%
時      U+06642          85219        0.29%
雲      U+096F2          84179        0.28%
江      U+06C5F          83504        0.28%
爲      U+07232          82618        0.28%
得      U+05F97          81251        0.27%
百      U+0767E          80866        0.27%
四      U+056DB          80819        0.27%
清      U+06E05          80024        0.27%
此      U+06B64          79794        0.27%
我      U+06211          79339        0.27%
見      U+0898B          78234        0.26%
事      U+04E8B          78088        0.26%
五      U+04E94          76509        0.26%
今      U+04ECA          76270        0.26%
君      U+0541B          75000        0.25%
行      U+0884C          74999        0.25%
心      U+05FC3          74840        0.25%
是      U+0662F          73154        0.25%
白      U+0767D          71318        0.24%
作      U+04F5C          71295        0.24%
未      U+0672A          70997        0.24%
秋      U+079CB          69097        0.23%
明      U+0660E          68773        0.23%
道      U+09053          68415        0.23%
歸      U+06B78          67276        0.23%
下      U+04E0B          66362        0.22%
雨      U+096E8          66284        0.22%
南      U+05357          65870        0.22%
去      U+053BB          65603        0.22%
老      U+08001          64960        0.22%
長      U+09577          63322        0.21%
高      U+09AD8          62540        0.21%
夜      U+0591C          62198        0.21%
玉      U+07389          61166        0.21%
在      U+05728          59347        0.20%
王      U+0738B          59088        0.20%
千      U+05343          58936        0.20%
空      U+07A7A          58686        0.20%
可      U+053EF          58614        0.20%
書      U+066F8          58556        0.20%
家      U+05BB6          57244        0.19%
寒      U+05BD2          56798        0.19%
西      U+0897F          56721        0.19%
金      U+091D1          56182        0.19%
與      U+08207          55946        0.19%
成      U+06210          55565        0.19%
前      U+0524D          55407        0.19%
公      U+0516C          55144        0.19%
六      U+0516D          54687        0.18%
新      U+065B0          54187        0.18%
酒      U+09152          53191        0.18%
萬      U+0842C          52922        0.18%
已      U+05DF2          52837        0.18%
大      U+05927          52230        0.18%
九      U+04E5D          52105        0.17%
青      U+09752          52050        0.17%
同      U+0540C          51608        0.17%
古      U+053E4          51391        0.17%
和      U+0548C          51214        0.17%
李      U+0674E          49621        0.17%
客      U+05BA2          49460        0.17%
多      U+0591A          49127        0.16%
出      U+051FA          49000        0.16%
名      U+0540D          48613        0.16%
更      U+066F4          47773        0.16%
香      U+09999          46935        0.16%
文      U+06587          46853        0.16%
以      U+04EE5          46705        0.16%
八      U+0516B          46571        0.16%
東      U+06771          46398        0.16%
落      U+0843D          45949        0.15%
方      U+065B9          45793        0.15%
里      U+091CC          45755        0.15%
朝      U+0671D          45495        0.15%
欲      U+06B32          45286        0.15%
門      U+09580          45237        0.15%
石      U+077F3          44892        0.15%
流      U+06D41          44797        0.15%
州      U+05DDE          44618        0.15%
處      U+08655          44488        0.15%
深      U+06DF1          44360        0.15%
光      U+05149          44300        0.15%
七      U+04E03          44027        0.15%
歌      U+06B4C          43954        0.15%
林      U+06797          43615        0.15%
地      U+05730          43319        0.15%
安      U+05B89          43125        0.14%
重      U+091CD          42820        0.14%
入      U+05165          42752        0.14%
看      U+0770B          42634        0.14%
雪      U+096EA          42438        0.14%
世      U+04E16          42396        0.14%
小      U+05C0F          41663        0.14%
能      U+080FD          41355        0.14%
送      U+09001          41300        0.14%
誰      U+08AB0          40884        0.14%
然      U+07136          40470        0.14%
聲      U+08072          40447        0.14%
城      U+057CE          40064        0.13%
思      U+0601D          40056        0.13%
正      U+06B63          39737        0.13%
元      U+05143          39640        0.13%
似      U+04F3C          39620        0.13%
意      U+0610F          39495        0.13%
從      U+05F9E          39404        0.13%
黄      U+09EC4          38859        0.13%
居      U+05C45          38338        0.13%
寄      U+05BC4          38066        0.13%
路      U+08DEF          38018        0.13%
開      U+0958B          37565        0.13%
草      U+08349          37495        0.13%
容      U+05BB9          37374        0.13%
身      U+08EAB          37363        0.13%
亦      U+04EA6          37185        0.12%
云      U+04E91          37174        0.12%
情      U+060C5          36985        0.12%
言      U+08A00          36831        0.12%
陽      U+0967D          36390        0.12%
後      U+05F8C          36352        0.12%
飛      U+098DB          35716        0.12%
遠      U+09060          35449        0.12%
分      U+05206          35368        0.12%
到      U+05230          35204        0.12%
仙      U+04ED9          35189        0.12%
海      U+06D77          35139        0.12%
望      U+0671B          35093        0.12%
間      U+09593          34940        0.12%
應      U+061C9          34935        0.12%
頭      U+0982D          34848        0.12%
色      U+08272          34759        0.12%
回      U+056DE          34179        0.11%
少      U+05C11          34082        0.11%
莫      U+083AB          34053        0.11%
過      U+0904E          33961        0.11%
好      U+0597D          33829        0.11%
馬      U+099AC          33532        0.11%
初      U+0521D          33454        0.11%
非      U+0975E          33412        0.11%
湖      U+06E56          33350        0.11%
聞      U+0805E          33297        0.11%
真      U+0771F          33164        0.11%
醉      U+09189          33094        0.11%
愁      U+06101          32756        0.11%
外      U+05916          32712        0.11%
梅      U+06885          32698        0.11%
當      U+07576          32668        0.11%
盡      U+076E1          32324        0.11%
句      U+053E5          32267        0.11%
笑      U+07B11          32195        0.11%
還      U+09084          32141        0.11%
所      U+06240          32041        0.11%
起      U+08D77          31959        0.11%
將      U+05C07          31926        0.11%
风      U+098CE          31891        0.11%
張      U+05F35          31801        0.11%
太      U+0592A          31721        0.11%
復      U+05FA9          31608        0.11%
士      U+058EB          31598        0.11%
溪      U+06EAA          31282        0.11%
題      U+0984C          30962        0.10%
向      U+05411          30961        0.10%
衣      U+08863          30911        0.10%
先      U+05148          30472        0.10%
故      U+06545          30466        0.10%
晚      U+0665A          30410        0.10%
神      U+0795E          30156        0.10%
竹      U+07AF9          30110        0.10%
獨      U+07368          30065        0.10%
龍      U+09F8D          30030        0.10%
遊      U+0904A          29997        0.10%
猶      U+07336          29569        0.10%
曾      U+066FE          29477        0.10%
本      U+0672C          29352        0.10%
塵      U+05875          29230        0.10%
釋      U+091CB          29004        0.10%
又      U+053C8          28951        0.10%
舊      U+0820A          28873        0.10%
游      U+06E38          28866        0.10%
者      U+08005          28698        0.10%
官      U+05B98          28480        0.10%
氣      U+06C23          28443        0.10%
夢      U+05922          28347        0.10%
物      U+07269          28333        0.10%
難      U+096E3          28179        0.09%
留      U+07559          28125        0.09%
北      U+05317          28054        0.09%
華      U+083EF          27978        0.09%
坐      U+05750          27807        0.09%
堂      U+05802          27689        0.09%
疑      U+07591          27674        0.09%
別      U+05225          27618        0.09%
劉      U+05289          27562        0.09%
无      U+065E0          27475        0.09%
樂      U+06A02          27251        0.09%
庭      U+05EAD          26817        0.09%
次      U+06B21          26806        0.09%
柳      U+067F3          26795        0.09%
吾      U+0543E          26747        0.09%
懷      U+061F7          26705        0.09%
也      U+04E5F          26565        0.09%
松      U+0677E          26373        0.09%
陳      U+09673          26311        0.09%
幾      U+05E7E          26252        0.09%
滿      U+06EFF          26155        0.09%
傳      U+050B3          26138        0.09%
吟      U+0541F          26093        0.09%
字      U+05B57          26004        0.09%
歲      U+06B72          26001        0.09%
韻      U+097FB          25999        0.09%
須      U+09808          25537        0.09%
使      U+04F7F          25399        0.09%
絕      U+07D55          25387        0.09%
餘      U+09918          25216        0.08%
幽      U+05E7D          25086        0.08%
樹      U+06A39          24915        0.08%
至      U+081F3          24896        0.08%
半      U+0534A          24815        0.08%
枝      U+0679D          24815        0.08%
亭      U+04EAD          24786        0.08%
樓      U+06A13          24742        0.08%
用      U+07528          24683        0.08%
若      U+082E5          24369        0.08%
紅      U+07D05          24243        0.08%
國      U+0570B          24166        0.08%
来      U+06765          24151        0.08%
兩      U+05169          24122        0.08%
興      U+08208          24087        0.08%
眼      U+0773C          23902        0.08%
存      U+05B58          23860        0.08%
野      U+091CE          23689        0.08%
問      U+0554F          23638        0.08%
霜      U+0971C          23620        0.08%
因      U+056E0          23494        0.08%
孤      U+05B64          23460        0.08%
而      U+0800C          23443        0.08%
宗      U+05B97          23356        0.08%
豈      U+08C48          23233        0.08%
尚      U+05C1A          23083        0.08%
休      U+04F11          23051        0.08%
德      U+05FB7          22969        0.08%
翠      U+07FE0          22897        0.08%
只      U+053EA          22895        0.08%
喜      U+0559C          22773        0.08%
夫      U+0592B          22625        0.08%
舟      U+0821F          22610        0.08%
易      U+06613          22509        0.08%
葉      U+08449          22329        0.07%
郎      U+090CE          22231        0.07%
芳      U+082B3          22214        0.07%
語      U+08A9E          22206        0.07%
曲      U+066F2          22159        0.07%
登      U+0767B          22055        0.07%
陰      U+09670          22039        0.07%
泉      U+06CC9          22036        0.07%
木      U+06728          22006        0.07%
碧      U+078A7          21994        0.07%
影      U+05F71          21902        0.07%
逢      U+09022          21884        0.07%
隨      U+096A8          21737        0.07%
學      U+05B78          21693        0.07%
常      U+05E38          21609        0.07%
景      U+0666F          21596        0.07%
師      U+05E2B          21569        0.07%
共      U+05171          21496        0.07%
手      U+0624B          21448        0.07%
露      U+09732          21370        0.07%
波      U+06CE2          21140        0.07%
微      U+05FAE          21121        0.07%
邊      U+0908A          21088        0.07%
久      U+04E45          20765        0.07%
暮      U+066AE          20640        0.07%
閑      U+09591          20610        0.07%
河      U+06CB3          20492        0.07%
且      U+04E14          20465        0.07%
吹      U+05439          20461        0.07%
照      U+07167          20461        0.07%
會      U+06703          20356        0.07%
觀      U+089C0          20354        0.07%
兮      U+0516E          20243        0.07%
近      U+08FD1          20215        0.07%
經      U+07D93          20132        0.07%
内      U+05185          20089        0.07%
却      U+05374          19988        0.07%
煙      U+07159          19974        0.07%
池      U+06C60          19968        0.07%
周      U+05468          19959        0.07%
便      U+04FBF          19930        0.07%
令      U+04EE4          19917        0.07%
通      U+0901A          19875        0.07%
章      U+07AE0          19824        0.07%
著      U+08457          19822        0.07%
於      U+065BC          19671        0.07%
窗      U+07A97          19647        0.07%
浮      U+06D6E          19613        0.07%
翁      U+07FC1          19520        0.07%
足      U+08DB3          19464        0.07%
楊      U+0694A          19417        0.07%
寺      U+05BFA          19313        0.06%
了      U+04E86          19235        0.06%
苦      U+082E6          19135        0.06%
定      U+05B9A          19130        0.06%
終      U+07D42          19104        0.06%
志      U+05FD7          19052        0.06%
烟      U+070DF          18856        0.06%
都      U+090FD          18818        0.06%
病      U+075C5          18813        0.06%
對      U+05C0D          18800        0.06%
宮      U+05BAE          18740        0.06%
紫      U+07D2B          18731        0.06%
丹      U+04E39          18688        0.06%
田      U+07530          18665        0.06%
集      U+096C6          18619        0.06%
臨      U+081E8          18515        0.06%
早      U+065E9          18470        0.06%
吳      U+05433          18385        0.06%
朱      U+06731          18370        0.06%
含      U+0542B          18281        0.06%
才      U+0624D          18242        0.06%
數      U+06578          18239        0.06%
信      U+04FE1          18232        0.06%
裏      U+088CF          18186        0.06%
尋      U+05C0B          18182        0.06%
主      U+04E3B          18163        0.06%
直      U+076F4          18145        0.06%
驚      U+09A5A          18124        0.06%
沙      U+06C99          18097        0.06%
依      U+04F9D          17985        0.06%
合      U+05408          17962        0.06%
立      U+07ACB          17946        0.06%
期      U+0671F          17919        0.06%
許      U+08A31          17876        0.06%
要      U+08981          17803        0.06%
往      U+05F80          17698        0.06%
川      U+05DDD          17663        0.06%
他      U+04ED6          17646        0.06%
鳥      U+09CE5          17620        0.06%
功      U+0529F          17597        0.06%
忽      U+05FFD          17540        0.06%
園      U+05712          17455        0.06%
度      U+05EA6          17440        0.06%
待      U+05F85          17432        0.06%
宋      U+05B8B          17416        0.06%
恨      U+06068          17407        0.06%
漢      U+06F22          17337        0.06%
說      U+08AAA          17167        0.06%
星      U+0661F          17106        0.06%
介      U+04ECB          17024        0.06%
词      U+08BCD          16933        0.06%
晴      U+06674          16909        0.06%
勝      U+052DD          16895        0.06%
輕      U+08F15          16823        0.06%
臺      U+081FA          16784        0.06%
離      U+096E2          16733        0.06%
趙      U+08D99          16725        0.06%
贈      U+08D08          16700        0.06%
關      U+095DC          16674        0.06%
那      U+090A3          16672        0.06%
时      U+065F6          16611        0.06%
陵      U+09675          16611        0.06%
辭      U+08FAD          16607        0.06%
堪      U+0582A          16584        0.06%
窮      U+07AAE          16547        0.06%
唐      U+05510          16541        0.06%
兒      U+05152          16523        0.06%
綠      U+07DA0          16517        0.06%
端      U+07AEF          16427        0.06%
魚      U+09B5A          16422        0.06%
鄉      U+09109          16421        0.06%
覺      U+089BA          16413        0.06%
僧      U+050E7          16353        0.05%
靈      U+09748          16296        0.05%
解      U+089E3          16290        0.05%
桃      U+06843          16198        0.05%
陸      U+09678          16186        0.05%
宿      U+05BBF          16170        0.05%
垂      U+05782          16158        0.05%
皇      U+07687          16095        0.05%
燕      U+071D5          16017        0.05%
節      U+07BC0          15890        0.05%
謝      U+08B1D          15714        0.05%
但      U+04F46          15712        0.05%
斷      U+065B7          15694        0.05%
史      U+053F2          15609        0.05%
雙      U+096D9          15566        0.05%
府      U+05E9C          15550        0.05%
女      U+05973          15544        0.05%
死      U+06B7B          15540        0.05%
畫      U+0756B          15498        0.05%
面      U+09762          15460        0.05%
峰      U+05CF0          15459        0.05%
昔      U+06614          15438        0.05%
符      U+07B26          15370        0.05%
洞      U+06D1E          15356        0.05%
連      U+09023          15326        0.05%
第      U+07B2C          15321        0.05%
夕      U+05915          15320        0.05%
教      U+06559          15245        0.05%
曉      U+066C9          15207        0.05%
聽      U+0807D          15201        0.05%
蘇      U+08607          15199        0.05%
臣      U+081E3          15172        0.05%
蒼      U+084BC          15118        0.05%
車      U+08ECA          15115        0.05%
感      U+0611F          15101        0.05%
绍      U+07ECD          15099        0.05%
倚      U+0501A          15019        0.05%
賢      U+08CE2          15014        0.05%
胡      U+080E1          15013        0.05%
發      U+0767C          14990        0.05%
動      U+052D5          14976        0.05%
諸      U+08AF8          14960        0.05%
氏      U+06C0F          14958        0.05%
散      U+06563          14944        0.05%
舞      U+0821E          14920        0.05%
及      U+053CA          14903        0.05%
鳴      U+09CF4          14879        0.05%
皆      U+07686          14851        0.05%
蕭      U+0856D          14819        0.05%
識      U+08B58          14793        0.05%
靜      U+0975C          14790        0.05%
雖      U+096D6          14774        0.05%
