Char   Codepoint     Frequency   Percentage
--------------------------------------------
不      U+04E0D          12304        1.26%
我      U+06211          11923        1.22%
云      U+04E91          10887        1.12%
你      U+04F60          10109        1.04%
的      U+07684           9524        0.98%
是      U+0662F           8519        0.87%
一      U+04E00           8375        0.86%
人      U+04EBA           7926        0.81%
儿      U+0513F           7660        0.79%
这      U+08FD9           7007        0.72%
了      U+04E86           6321        0.65%
来      U+06765           6221        0.64%
无      U+065E0           6071        0.62%
那      U+090A3           6011        0.62%
他      U+04ED6           5905        0.61%
也      U+04E5F           5881        0.60%
正      U+06B63           5528        0.57%
唱      U+05531           5063        0.52%
个      U+04E2A           5006        0.51%
着      U+07740           4699        0.48%
有      U+06709           4405        0.45%
生      U+0751F           4405        0.45%
上      U+04E0A           4305        0.44%
里      U+091CC           4084        0.42%
风      U+098CE           4084        0.42%
花      U+082B1           4034        0.41%
天      U+05929           3886        0.40%
下      U+04E0B           3824        0.39%
末      U+0672B           3822        0.39%
道      U+09053           3765        0.39%
子      U+05B50           3695        0.38%
名      U+0540D           3526        0.36%
则      U+05219           3456        0.35%
将      U+05C06           3366        0.35%
得      U+05F97           3353        0.34%
家      U+05BB6           3341        0.34%
日      U+065E5           3305        0.34%
心      U+05FC3           3196        0.33%
去      U+053BB           3136        0.32%
可      U+053EF           3057        0.31%
小      U+05C0F           3034        0.31%
如      U+05982           2987        0.31%
见      U+089C1           2966        0.30%
旦      U+065E6           2960        0.30%
今      U+04ECA           2890        0.30%
做      U+0505A           2836        0.29%
相      U+076F8           2831        0.29%
便      U+04FBF           2830        0.29%
前      U+0524D           2721        0.28%
在      U+05728           2710        0.28%
时      U+065F6           2662        0.27%
怎      U+0600E           2651        0.27%
中      U+04E2D           2632        0.27%
三      U+04E09           2595        0.27%
金      U+091D1           2590        0.27%
月      U+06708           2586        0.27%
氏      U+06C0F           2558        0.26%
俺      U+04FFA           2501        0.26%
山      U+05C71           2444        0.25%
张      U+05F20           2434        0.25%
玉      U+07389           2399        0.25%
大      U+05927           2369        0.24%
为      U+04E3A           2339        0.24%
王      U+0738B           2323        0.24%
到      U+05230           2288        0.23%
老      U+08001           2280        0.23%
头      U+05934           2259        0.23%
好      U+0597D           2187        0.22%
记      U+08BB0           2165        0.22%
休      U+04F11           2143        0.22%
似      U+04F3C           2134        0.22%
明      U+0660E           2131        0.22%
马      U+09A6C           2083        0.21%
知      U+077E5           2071        0.21%
甚      U+0751A           2036        0.21%
春      U+06625           2018        0.21%
行      U+0884C           2009        0.21%
酒      U+09152           2003        0.21%
何      U+04F55           1998        0.21%
待      U+05F85           1968        0.20%
夫      U+0592B           1955        0.20%
自      U+081EA           1935        0.20%
与      U+04E0E           1933        0.20%
高      U+09AD8           1921        0.20%
和      U+0548C           1910        0.20%
水      U+06C34           1904        0.20%
说      U+08BF4           1876        0.19%
哥      U+054E5           1870        0.19%
把      U+0628A           1867        0.19%
两      U+04E24           1859        0.19%
白      U+0767D           1832        0.19%
门      U+095E8           1829        0.19%
公      U+0516C           1808        0.19%
