Char   Codepoint     Frequency   Percentage
--------------------------------------------
仄      U+04EC4         319325       18.93%
平      U+05E73         245878       14.58%
容      U+05BB9          19391        1.15%
内      U+05185          18975        1.12%
疑      U+07591          16013        0.95%
存      U+05B58          14738        0.87%
作      U+04F5C          12387        0.73%
含      U+0542B          11389        0.68%
一      U+04E00          11030        0.65%
卷      U+05377          10869        0.64%
符      U+07B26          10744        0.64%
詩      U+08A69          10625        0.63%
号      U+053F7          10552        0.63%
不      U+04E0D           9633        0.57%
見      U+0898B           8893        0.53%
二      U+04E8C           8178        0.48%
十      U+05341           7726        0.46%
三      U+04E09           7198        0.43%
本      U+0672C           7111        0.42%
人      U+04EBA           6692        0.40%
無      U+07121           5377        0.32%
五      U+04E94           5218        0.31%
有      U+06709           5187        0.31%
爲      U+07232           5186        0.31%
四      U+056DB           4964        0.29%
山      U+05C71           4958        0.29%
之      U+04E4B           4759        0.28%
太      U+0592A           4563        0.27%
中      U+04E2D           4298        0.25%
此      U+06B64           4174        0.25%
首      U+09996           4147        0.25%
少      U+05C11           4082        0.24%
上      U+04E0A           4022        0.24%
天      U+05929           3855        0.23%
唐      U+05510           3834        0.23%
六      U+0516D           3746        0.22%
錄      U+09304           3663        0.22%
日      U+065E5           3505        0.21%
豆      U+08C46           3502        0.21%
腐      U+08150           3481        0.21%
块      U+05757           3462        0.21%
書      U+066F8           3441        0.20%
同      U+0540C           3406        0.20%
文      U+06587           3348        0.20%
句      U+053E5           3344        0.20%
八      U+0516B           3343        0.20%
年      U+05E74           3304        0.20%
集      U+096C6           3292        0.20%
前      U+0524D           3187        0.19%
七      U+04E03           3175        0.19%
時      U+06642           3159        0.19%
志      U+05FD7           3148        0.19%
題      U+0984C           3115        0.18%
其      U+05176           3099        0.18%
大      U+05927           3093        0.18%
來      U+04F86           3029        0.18%
九      U+04E5D           2974        0.18%
下      U+04E0B           2872        0.17%
生      U+0751F           2871        0.17%
以      U+04EE5           2856        0.17%
者      U+08005           2814        0.17%
自      U+081EA           2736        0.16%
雲      U+096F2           2689        0.16%
南      U+05357           2666        0.16%
風      U+098A8           2653        0.16%
京      U+04EAC           2647        0.16%
王      U+0738B           2595        0.15%
今      U+04ECA           2590        0.15%
如      U+05982           2589        0.15%
字      U+05B57           2583        0.15%
名      U+0540D           2582        0.15%
何      U+04F55           2524        0.15%
子      U+05B50           2506        0.15%
是      U+0662F           2493        0.15%
第      U+07B2C           2462        0.15%
相      U+076F8           2455        0.15%
元      U+05143           2447        0.15%
云      U+04E91           2396        0.14%
月      U+06708           2388        0.14%
似      U+04F3C           2380        0.14%
石      U+077F3           2370        0.14%
事      U+04E8B           2345        0.14%
明      U+0660E           2344        0.14%
引      U+05F15           2318        0.14%
全      U+05168           2285        0.14%
知      U+077E5           2270        0.13%
江      U+06C5F           2261        0.13%
道      U+09053           2234        0.13%
白      U+0767D           2200        0.13%
心      U+05FC3           2188        0.13%
得      U+05F97           2100        0.12%
行      U+0884C           2087        0.12%
後      U+05F8C           2086        0.12%
金      U+091D1           2086        0.12%
李      U+0674E           2074        0.12%
在      U+05728           2034        0.12%
長      U+09577           2020        0.12%
水      U+06C34           1987        0.12%
古      U+053E4           1976        0.12%
按      U+06309           1952        0.12%
清      U+06E05           1937        0.11%
州      U+05DDE           1927        0.11%
花      U+082B1           1882        0.11%
出      U+051FA           1876        0.11%
與      U+08207           1868        0.11%
傳      U+050B3           1864        0.11%
歌      U+06B4C           1845        0.11%
門      U+09580           1844        0.11%
成      U+06210           1828        0.11%
高      U+09AD8           1808        0.11%
地      U+05730           1797        0.11%
未      U+0672A           1796        0.11%
君      U+0541B           1793        0.11%
我      U+06211           1725        0.10%
方      U+065B9           1702        0.10%
空      U+07A7A           1697        0.10%
公      U+0516C           1696        0.10%
可      U+053EF           1674        0.10%
所      U+06240           1661        0.10%
歸      U+06B78           1660        0.10%
春      U+06625           1657        0.10%
張      U+05F35           1631        0.10%
萬      U+0842C           1600        0.09%
光      U+05149           1563        0.09%
和      U+0548C           1554        0.09%
當      U+07576           1527        0.09%
入      U+05165           1520        0.09%
宋      U+05B8B           1520        0.09%
千      U+05343           1513        0.09%
收      U+06536           1505        0.09%
於      U+065BC           1495        0.09%
兮      U+0516E           1493        0.09%
家      U+05BB6           1477        0.09%
言      U+08A00           1474        0.09%
燈      U+071C8           1464        0.09%
正      U+06B63           1455        0.09%
處      U+08655           1454        0.09%
記      U+08A18           1454        0.09%
應      U+061C9           1449        0.09%
東      U+06771           1444        0.09%
樂      U+06A02           1420        0.08%
從      U+05F9E           1410        0.08%
重      U+091CD           1407        0.08%
介      U+04ECB           1403        0.08%
世      U+04E16           1395        0.08%
會      U+06703           1395        0.08%
秋      U+079CB           1389        0.08%
去      U+053BB           1383        0.08%
望      U+0671B           1374        0.08%
華      U+083EF           1365        0.08%
川      U+05DDD           1359        0.08%
绍      U+07ECD           1355        0.08%
陽      U+0967D           1348        0.08%
將      U+05C07           1347        0.08%
百      U+0767E           1346        0.08%
亦      U+04EA6           1342        0.08%
神      U+0795E           1337        0.08%
新      U+065B0           1336        0.08%
德      U+05FB7           1324        0.08%
然      U+07136           1323        0.08%
西      U+0897F           1307        0.08%
朝      U+0671D           1297        0.08%
多      U+0591A           1291        0.08%
又      U+053C8           1281        0.08%
兵      U+05175           1280        0.08%
已      U+05DF2           1278        0.08%
林      U+06797           1278        0.08%
玉      U+07389           1274        0.08%
青      U+09752           1273        0.08%
詳      U+08A73           1266        0.08%
能      U+080FD           1238        0.07%
龍      U+09F8D           1231        0.07%
真      U+0771F           1225        0.07%
而      U+0800C           1224        0.07%
間      U+09593           1199        0.07%
非      U+0975E           1197        0.07%
仙      U+04ED9           1196        0.07%
夜      U+0591C           1196        0.07%
海      U+06D77           1195        0.07%
易      U+06613           1188        0.07%
開      U+0958B           1188        0.07%
身      U+08EAB           1184        0.07%
若      U+082E5           1177        0.07%
國      U+0570B           1173        0.07%
聲      U+08072           1162        0.07%
安      U+05B89           1147        0.07%
聞      U+0805E           1137        0.07%
分      U+05206           1134        0.07%
原      U+0539F           1122        0.07%
馬      U+099AC           1122        0.07%
先      U+05148           1121        0.07%
士      U+058EB           1120        0.07%
須      U+09808           1108        0.07%
老      U+08001           1101        0.07%
還      U+09084           1097        0.07%
要      U+08981           1085        0.06%
師      U+05E2B           1071        0.06%
客      U+05BA2           1067        0.06%
城      U+057CE           1061        0.06%
雨      U+096E8           1061        0.06%
流      U+06D41           1060        0.06%
小      U+05C0F           1055        0.06%
即      U+05373           1052        0.06%
氏      U+06C0F           1052        0.06%
更      U+066F4           1051        0.06%
也      U+04E5F           1048        0.06%
頭      U+0982D           1046        0.06%
校      U+06821           1041        0.06%
勝      U+052DD           1033        0.06%
居      U+05C45           1028        0.06%
載      U+08F09           1028        0.06%
語      U+08A9E           1024        0.06%
學      U+05B78           1022        0.06%
缺      U+07F3A           1017        0.06%
外      U+05916           1012        0.06%
注      U+06CE8           1002        0.06%
莫      U+083AB           1002        0.06%
伯      U+04F2F           1001        0.06%
堂      U+05802           1000        0.06%
話      U+08A71           1000        0.06%
劉      U+05289            989        0.06%
紀      U+07D00            988        0.06%
經      U+07D93            988        0.06%
皆      U+07686            986        0.06%
誰      U+08AB0            983        0.06%
欲      U+06B32            972        0.06%
說      U+08AAA            971        0.06%
祖      U+07956            970        0.06%
飛      U+098DB            968        0.06%
辛      U+08F9B            963        0.06%
兩      U+05169            949        0.06%
宗      U+05B97            949        0.06%
府      U+05E9C            947        0.06%
陳      U+09673            943        0.06%
占      U+05360            942        0.06%
氣      U+06C23            941        0.06%
思      U+0601D            934        0.06%
靜      U+0975C            931        0.06%
遠      U+09060            929        0.06%
至      U+081F3            921        0.05%
遊      U+0904A            920        0.05%
寒      U+05BD2            914        0.05%
縣      U+07E23            911        0.05%
