Char   Codepoint     Frequency   Percentage
--------------------------------------------
十      U+05341          44596        1.53%
卷      U+05377          44134        1.51%
百      U+0767E          41641        1.43%
一      U+04E00          26415        0.90%
不      U+04E0D          24612        0.84%
人      U+04EBA          21652        0.74%
三      U+04E09          19579        0.67%
二      U+04E8C          18584        0.64%
四      U+056DB          18079        0.62%
五      U+04E94          17929        0.61%
山      U+05C71          17456        0.60%
日      U+065E5          15836        0.54%
六      U+0516D          14729        0.50%
無      U+07121          14641        0.50%
八      U+0516B          14515        0.50%
七      U+04E03          14006        0.48%
風      U+098A8          13982        0.48%
中      U+04E2D          13663        0.47%
上      U+04E0A          12169        0.42%
雲      U+096F2          12156        0.42%
有      U+06709          12129        0.42%
九      U+04E5D          11806        0.40%
春      U+06625          11791        0.40%
白      U+0767D          11598        0.40%
天      U+05929          11299        0.39%
何      U+04F55          11275        0.39%
來      U+04F86          10937        0.37%
月      U+06708          10494        0.36%
花      U+082B1          10418        0.36%
水      U+06C34          10317        0.35%
時      U+06642          10144        0.35%
相      U+076F8           9865        0.34%
長      U+09577           9521        0.33%
君      U+0541B           9140        0.31%
歸      U+06B78           9065        0.31%
秋      U+079CB           8825        0.30%
年      U+05E74           8800        0.30%
為      U+070BA           8711        0.30%
生      U+0751F           8595        0.29%
自      U+081EA           8580        0.29%
行      U+0884C           8423        0.29%
江      U+06C5F           8309        0.28%
見      U+0898B           8272        0.28%
夜      U+0591C           8060        0.28%
心      U+05FC3           8042        0.28%
知      U+077E5           8033        0.28%
李      U+0674E           7837        0.27%
如      U+05982           7713        0.26%
此      U+06B64           7594        0.26%
得      U+05F97           7376        0.25%
清      U+06E05           7201        0.25%
下      U+04E0B           7171        0.25%
高      U+09AD8           7169        0.25%
去      U+053BB           7133        0.24%
南      U+05357           7116        0.24%
空      U+07A7A           6985        0.24%
明      U+0660E           6868        0.24%
在      U+05728           6765        0.23%
子      U+05B50           6686        0.23%
門      U+09580           6664        0.23%
事      U+04E8B           6453        0.22%
客      U+05BA2           6376        0.22%
送      U+09001           6347        0.22%
道      U+09053           6277        0.22%
未      U+0672A           6266        0.21%
處      U+08655           6224        0.21%
居      U+05C45           6098        0.21%
東      U+06771           6078        0.21%
別      U+05225           6044        0.21%
金      U+091D1           5967        0.20%
歌      U+06B4C           5962        0.20%
王      U+0738B           5897        0.20%
多      U+0591A           5868        0.20%
青      U+09752           5835        0.20%
是      U+0662F           5740        0.20%
寒      U+05BD2           5738        0.20%
玉      U+07389           5720        0.20%
城      U+057CE           5711        0.20%
雨      U+096E8           5702        0.20%
遠      U+09060           5618        0.19%
朝      U+0671D           5556        0.19%
家      U+05BB6           5551        0.19%
落      U+0843D           5550        0.19%
新      U+065B0           5514        0.19%
出      U+051FA           5505        0.19%
今      U+04ECA           5497        0.19%
與      U+08207           5434        0.19%
西      U+0897F           5427        0.19%
應      U+061C9           5404        0.19%
寄      U+05BC4           5376        0.18%
陽      U+0967D           5360        0.18%
思      U+0601D           5306        0.18%
千      U+05343           5302        0.18%
前      U+0524D           5289        0.18%
聲      U+08072           5281        0.18%
入      U+05165           5279        0.18%
書      U+066F8           5276        0.18%
路      U+08DEF           5241        0.18%
萬      U+0842C           5136        0.18%
馬      U+099AC           5118        0.18%
望      U+0671B           4985        0.17%
草      U+08349           4972        0.17%
我      U+06211           4926        0.17%
同      U+0540C           4923        0.17%
深      U+06DF1           4825        0.17%
飛      U+098DB           4825        0.17%
樹      U+06A39           4821        0.17%
和      U+0548C           4820        0.17%
流      U+06D41           4795        0.16%
開      U+0958B           4781        0.16%
將      U+05C07           4767        0.16%
盡      U+076E1           4755        0.16%
酒      U+09152           4719        0.16%
還      U+09084           4671        0.16%
獨      U+07368           4670        0.16%
已      U+05DF2           4620        0.16%
聞      U+0805E           4604        0.16%
回      U+056DE           4600        0.16%
成      U+06210           4588        0.16%
地      U+05730           4585        0.16%
煙      U+07159           4558        0.16%
光      U+05149           4531        0.16%
