Char   Codepoint     Frequency   Percentage
--------------------------------------------
子      U+05B50           1013        6.09%
曰      U+066F0            780        4.69%
之      U+04E4B            631        3.79%
不      U+04E0D            603        3.62%
也      U+04E5F            547        3.29%
而      U+0800C            366        2.20%
其      U+05176            282        1.69%
人      U+04EBA            226        1.36%
者      U+08005            225        1.35%
以      U+04EE5            216        1.30%
有      U+06709            210        1.26%
矣      U+077E3            186        1.12%
于      U+04E8E            181        1.09%
为      U+04E3A            174        1.05%
乎      U+04E4E            167        1.00%
君      U+0541B            164        0.99%
可      U+053EF            163        0.98%
如      U+05982            160        0.96%
与      U+04E0E            145        0.87%
言      U+08A00            136        0.82%
无      U+065E0            130        0.78%
则      U+05219            125        0.75%
知      U+077E5            123        0.74%
问      U+095EE            121        0.73%
何      U+04F55            119        0.71%
吾      U+0543E            116        0.70%
仁      U+04EC1            113        0.68%
夫      U+0592B            108        0.65%
道      U+09053             95        0.57%
焉      U+07109             89        0.53%
行      U+0884C             87        0.52%
孔      U+05B54             79        0.47%
必      U+05FC5             78        0.47%
谓      U+08C13             78        0.47%
礼      U+0793C             76        0.46%
斯      U+065AF             73        0.44%
三      U+04E09             72        0.43%
能      U+080FD             71        0.43%
学      U+05B66             68        0.41%
事      U+04E8B             66        0.40%
见      U+089C1             66        0.40%
是      U+0662F             63        0.38%
哉      U+054C9             60        0.36%
未      U+0672A             60        0.36%
公      U+0516C             59        0.35%
闻      U+095FB             59        0.35%
好      U+0597D             58        0.35%
路      U+08DEF             54        0.32%
我      U+06211             53        0.32%
亦      U+04EA6             52        0.31%
在      U+05728             52        0.31%
已      U+05DF2             52        0.31%
得      U+05F97             51        0.31%
所      U+06240             51        0.31%
民      U+06C11             51        0.31%
小      U+05C0F             50        0.30%
天      U+05929             49        0.29%
邦      U+090A6             49        0.29%
乐      U+04E50             48        0.29%
使      U+04F7F             48        0.29%
大      U+05927             47        0.28%
下      U+04E0B             45        0.27%
政      U+0653F             45        0.27%
信      U+04FE1             44        0.26%
文      U+06587             44        0.26%
欲      U+06B32             44        0.26%
求      U+06C42             44        0.26%
贡      U+08D21             44        0.26%
从      U+04ECE             43        0.26%
诸      U+08BF8             43        0.26%
食      U+098DF             43        0.26%
善      U+05584             42        0.25%
德      U+05FB7             42        0.25%
后      U+0540E             41        0.25%
对      U+05BF9             39        0.23%
恶      U+06076             39        0.23%
死      U+06B7B             38        0.23%
然      U+07136             38        0.23%
由      U+07531             37        0.22%
仲      U+04EF2             35        0.21%
一      U+04E00             33        0.20%
出      U+051FA             33        0.20%
及      U+053CA             33        0.20%
父      U+07236             33        0.20%
非      U+0975E             33        0.20%
过      U+08FC7             32        0.19%
居      U+05C45             31        0.19%
己      U+05DF1             31        0.19%
虽      U+0867D             31        0.19%
足      U+08DB3             31        0.19%
中      U+04E2D             30        0.18%
夏      U+0590F             30        0.18%
尔      U+05C14             30        0.18%
上      U+04E0A             29        0.17%
友      U+053CB             29        0.17%
成      U+06210             29        0.17%
色      U+08272             29        0.17%
予      U+04E88             28        0.17%
张      U+05F20             28        0.17%
季      U+05B63             27        0.16%
立      U+07ACB             27        0.16%
今      U+04ECA             26        0.16%
思      U+0601D             26        0.16%
臣      U+081E3             26        0.16%
远      U+08FDC             26        0.16%
齐      U+09F50             26        0.16%
曾      U+066FE             25        0.15%
正      U+06B63             25        0.15%
贤      U+08D24             25        0.15%
义      U+04E49             24        0.14%
伯      U+04F2F             24        0.14%
命      U+0547D             24        0.14%
弟      U+05F1F             24        0.14%
孝      U+05B5D             23        0.14%
敢      U+06562             23        0.14%
敬      U+0656C             23        0.14%
日      U+065E5             23        0.14%
犹      U+072B9             23        0.14%
生      U+0751F             23        0.14%
用      U+07528             23        0.14%
自      U+081EA             23        0.14%
门      U+095E8             23        0.14%
丧      U+04E27             22        0.13%
周      U+05468             22        0.13%
直      U+076F4             22        0.13%
说      U+08BF4             22        0.13%
难      U+096BE             22        0.13%
颜      U+0989C             22        0.13%
先      U+05148             21        0.13%
告      U+0544A             21        0.13%
年      U+05E74             21        0.13%
篇      U+07BC7             21        0.13%
至      U+081F3             21        0.13%
十      U+05341             20        0.12%
四      U+056DB             20        0.12%
忠      U+05FE0             20        0.12%
怨      U+06028             20        0.12%
达      U+08FBE             20        0.12%
多      U+0591A             19        0.11%
富      U+05BCC             19        0.11%
师      U+05E08             19        0.11%
患      U+060A3             19        0.11%
氏      U+06C0F             19        0.11%
语      U+08BED             19        0.11%
