Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684            250        2.72%
国      U+056FD            199        2.16%
中      U+04E2D            171        1.86%
人      U+04EBA             74        0.80%
大      U+05927             71        0.77%
同      U+0540C             67        0.73%
平      U+05E73             63        0.69%
年      U+05E74             63        0.69%
一      U+04E00             62        0.67%
为      U+04E3A             60        0.65%
共      U+05171             58        0.63%
展      U+05C55             58        0.63%
和      U+0548C             57        0.62%
发      U+053D1             56        0.61%
动      U+052A8             55        0.60%
主      U+04E3B             52        0.57%
在      U+05728             51        0.55%
近      U+08FD1             47        0.51%
全      U+05168             46        0.50%
文      U+06587             46        0.50%
是      U+0662F             46        0.50%
深      U+06DF1             46        0.50%
民      U+06C11             45        0.49%
总      U+0603B             44        0.48%
化      U+05316             43        0.47%
新      U+065B0             43        0.47%
合      U+05408             42        0.46%
业      U+04E1A             41        0.45%
作      U+04F5C             41        0.45%
体      U+04F53             40        0.44%
领      U+09886             39        0.42%
欧      U+06B27             38        0.41%
与      U+04E0E             37        0.40%
习      U+04E60             37        0.40%
不      U+04E0D             36        0.39%
开      U+05F00             36        0.39%
成      U+06210             36        0.39%
席      U+05E2D             35        0.38%
时      U+065F6             35        0.38%
界      U+0754C             35        0.38%
统      U+07EDF             35        0.38%
行      U+0884C             35        0.38%
运      U+08FD0             35        0.38%
斯      U+065AF             34        0.37%
有      U+06709             34        0.37%
西      U+0897F             34        0.37%
代      U+04EE3             33        0.36%
力      U+0529B             32        0.35%
定      U+05B9A             32        0.35%
来      U+06765             32        0.35%
自      U+081EA             32        0.35%
通      U+0901A             32        0.35%
世      U+04E16             31        0.34%
以      U+04EE5             31        0.34%
对      U+05BF9             31        0.34%
日      U+065E5             30        0.33%
产      U+04EA7             29        0.32%
会      U+04F1A             29        0.32%
出      U+051FA             29        0.32%
夏      U+0590F             29        0.32%
长      U+0957F             29        0.32%
了      U+04E86             28        0.30%
地      U+05730             28        0.30%
月      U+06708             28        0.30%
球      U+07403             28        0.30%
生      U+0751F             28        0.30%
之      U+04E4B             27        0.29%
交      U+04EA4             27        0.29%
列      U+05217             27        0.29%
建      U+05EFA             27        0.29%
流      U+06D41             27        0.29%
路      U+08DEF             27        0.29%
学      U+05B66             26        0.28%
高      U+09AD8             26        0.28%
上      U+04E0A             25        0.27%
关      U+05173             25        0.27%
到      U+05230             25        0.27%
多      U+0591A             25        0.27%
明      U+0660E             25        0.27%
系      U+07CFB             25        0.27%
前      U+0524D             24        0.26%
心      U+05FC3             24        0.26%
班      U+073ED             24        0.26%
越      U+08D8A             24        0.26%
这      U+08FD9             24        0.26%
陵      U+09675             24        0.26%
区      U+0533A             23        0.25%
外      U+05916             23        0.25%
天      U+05929             23        0.25%
实      U+05B9E             23        0.25%
杜      U+0675C             23        0.25%
道      U+09053             23        0.25%
伊      U+04F0A             22        0.24%
等      U+07B49             22        0.24%
义      U+04E49             21        0.23%
入      U+05165             21        0.23%
场      U+0573A             21        0.23%
家      U+05BB6             21        0.23%
方      U+065B9             21        0.23%
现      U+073B0             21        0.23%
进      U+08FDB             21        0.23%
际      U+09645             21        0.23%
内      U+05185             20        0.22%
华      U+0534E             20        0.22%
堡      U+05821             20        0.22%
德      U+05FB7             20        0.22%
性      U+06027             20        0.22%
持      U+06301             20        0.22%
港      U+06E2F             20        0.22%
特      U+07279             20        0.22%
理      U+07406             20        0.22%
联      U+08054             20        0.22%
访      U+08BBF             20        0.22%
坚      U+0575A             19        0.21%
市      U+05E02             19        0.21%
式      U+05F0F             19        0.21%
遗      U+09057             19        0.21%
制      U+05236             18        0.20%
局      U+05C40             18        0.20%
活      U+06D3B             18        0.20%
美      U+07F8E             18        0.20%
表      U+08868             18        0.20%
首      U+09996             18        0.20%
亚      U+04E9A             17        0.18%
们      U+04EEC             17        0.18%
周      U+05468             17        0.18%
命      U+0547D             17        0.18%
工      U+05DE5             17        0.18%
度      U+05EA6             17        0.18%
当      U+05F53             17        0.18%
最      U+06700             17        0.18%
立      U+07ACB             17        0.18%
经      U+07ECF             17        0.18%
续      U+07EED             17        0.18%
重      U+091CD             17        0.18%
下      U+04E0B             16        0.17%
从      U+04ECE             16        0.17%
分      U+05206             16        0.17%
创      U+0521B             16        0.17%
利      U+05229             16        0.17%
历      U+05386             16        0.17%
友      U+053CB             16        0.17%
可      U+053EF             16        0.17%
各      U+05404             16        0.17%
尔      U+05C14             16        0.17%
意      U+0610F             16        0.17%
标      U+06807             16        0.17%
物      U+07269             16        0.17%
科      U+079D1             16        0.17%
程      U+07A0B             16        0.17%
稳      U+07A33             16        0.17%
让      U+08BA9             16        0.17%
两      U+04E24             15        0.16%
