Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684            318        2.83%
国      U+056FD            203        1.81%
中      U+04E2D            179        1.59%
人      U+04EBA             99        0.88%
一      U+04E00             84        0.75%
为      U+04E3A             82        0.73%
大      U+05927             80        0.71%
在      U+05728             75        0.67%
动      U+052A8             71        0.63%
文      U+06587             71        0.63%
同      U+0540C             69        0.61%
年      U+05E74             69        0.61%
和      U+0548C             66        0.59%
平      U+05E73             66        0.59%
展      U+05C55             64        0.57%
发      U+053D1             61        0.54%
共      U+05171             59        0.53%
体      U+04F53             57        0.51%
化      U+05316             54        0.48%
新      U+065B0             54        0.48%
是      U+0662F             54        0.48%
主      U+04E3B             53        0.47%
民      U+06C11             52        0.46%
合      U+05408             51        0.45%
全      U+05168             50        0.44%
深      U+06DF1             50        0.44%
近      U+08FD1             48        0.43%
来      U+06765             47        0.42%
与      U+04E0E             46        0.41%
成      U+06210             46        0.41%
西      U+0897F             46        0.41%
作      U+04F5C             45        0.40%
总      U+0603B             45        0.40%
科      U+079D1             45        0.40%
业      U+04E1A             44        0.39%
了      U+04E86             44        0.39%
开      U+05F00             42        0.37%
时      U+065F6             41        0.36%
不      U+04E0D             40        0.36%
有      U+06709             40        0.36%
领      U+09886             40        0.36%
行      U+0884C             39        0.35%
以      U+04EE5             38        0.34%
出      U+051FA             38        0.34%
欧      U+06B27             38        0.34%
生      U+0751F             38        0.34%
界      U+0754C             38        0.34%
习      U+04E60             37        0.33%
产      U+04EA7             37        0.33%
力      U+0529B             37        0.33%
区      U+0533A             37        0.33%
技      U+06280             37        0.33%
统      U+07EDF             37        0.33%
对      U+05BF9             36        0.32%
运      U+08FD0             36        0.32%
通      U+0901A             36        0.32%
会      U+04F1A             35        0.31%
地      U+05730             35        0.31%
席      U+05E2D             35        0.31%
这      U+08FD9             35        0.31%
世      U+04E16             34        0.30%
代      U+04EE3             34        0.30%
定      U+05B9A             34        0.30%
实      U+05B9E             34        0.30%
斯      U+065AF             34        0.30%
之      U+04E4B             33        0.29%
到      U+05230             33        0.29%
场      U+0573A             33        0.29%
上      U+04E0A             32        0.28%
交      U+04EA4             32        0.28%
流      U+06D41             32        0.28%
现      U+073B0             32        0.28%
自      U+081EA             32        0.28%
月      U+06708             31        0.28%
能      U+080FD             31        0.28%
长      U+0957F             31        0.28%
建      U+05EFA             30        0.27%
日      U+065E5             30        0.27%
高      U+09AD8             30        0.27%
夏      U+0590F             29        0.26%
前      U+0524D             28        0.25%
多      U+0591A             28        0.25%
天      U+05929             28        0.25%
市      U+05E02             28        0.25%
心      U+05FC3             28        0.25%
游      U+06E38             28        0.25%
球      U+07403             28        0.25%
关      U+05173             27        0.24%
列      U+05217             27        0.24%
学      U+05B66             27        0.24%
路      U+08DEF             27        0.24%
可      U+053EF             26        0.23%
明      U+0660E             26        0.23%
活      U+06D3B             26        0.23%
等      U+07B49             26        0.23%
系      U+07CFB             26        0.23%
让      U+08BA9             26        0.23%
于      U+04E8E             25        0.22%
越      U+08D8A             25        0.22%
进      U+08FDB             25        0.22%
