Char   Codepoint     Frequency   Percentage
--------------------------------------------
民      U+06C11             12        2.29%
台      U+053F0              9        1.72%
有      U+06709              8        1.53%
的      U+07684              8        1.53%
不      U+04E0D              7        1.34%
人      U+04EBA              7        1.34%
和      U+0548C              6        1.15%
国      U+056FD              6        1.15%
大      U+05927              6        1.15%
一      U+04E00              5        0.95%
内      U+05185              5        0.95%
岛      U+05C9B              5        0.95%
进      U+08FDB              5        0.95%
为      U+04E3A              4        0.76%
会      U+04F1A              4        0.76%
党      U+0515A              4        0.76%
其      U+05176              4        0.76%
分      U+05206              4        0.76%
却      U+05374              4        0.76%
发      U+053D1              4        0.76%
同      U+0540C              4        0.76%
局      U+05C40              4        0.76%
张      U+05F20              4        0.76%
当      U+05F53              4        0.76%
意      U+0610F              4        0.76%
搞      U+0641E              4        0.76%
政      U+0653F              4        0.76%
晗      U+06657              4        0.76%
治      U+06CBB              4        0.76%
清      U+06E05              4        0.76%
湾      U+06E7E              4        0.76%
中      U+04E2D              3        0.57%
主      U+04E3B              3        0.57%
众      U+04F17              3        0.57%
制      U+05236              3        0.57%
在      U+05728              3        0.57%
好      U+0597D              3        0.57%
恶      U+06076              3        0.57%
打      U+06253              3        0.57%
操      U+064CD              3        0.57%
日      U+065E5              3        0.57%
独      U+072EC              3        0.57%
社      U+0793E              3        0.57%
自      U+081EA              3        0.57%
行      U+0884C              3        0.57%
表      U+08868              3        0.57%
问      U+095EE              3        0.57%
上      U+04E0A              2        0.38%
交      U+04EA4              2        0.38%
以      U+04EE5              2        0.38%
体      U+04F53              2        0.38%
作      U+04F5C              2        0.38%
关      U+05173              2        0.38%
力      U+0529B              2        0.38%
压      U+0538B              2        0.38%
及      U+053CA              2        0.38%
反      U+053CD              2        0.38%
受      U+053D7              2        0.38%
司      U+053F8              2        0.38%
回      U+056DE              2        0.38%
士      U+058EB              2        0.38%
子      U+05B50              2        0.38%
害      U+05BB3              2        0.38%
对      U+05BF9              2        0.38%
己      U+05DF1              2        0.38%
希      U+05E0C              2        0.38%
应      U+05E94              2        0.38%
度      U+05EA6              2        0.38%
异      U+05F02              2        0.38%
弄      U+05F04              2        0.38%
德      U+05FB7              2        0.38%
心      U+05FC3              2        0.38%
怖      U+06016              2        0.38%
恐      U+06050              2        0.38%
手      U+0624B              2        0.38%
接      U+063A5              2        0.38%
是      U+0662F              2        0.38%
望      U+0671B              2        0.38%
权      U+06743              2        0.38%
标      U+06807              2        0.38%
歧      U+06B67              2        0.38%
段      U+06BB5              2        0.38%
法      U+06CD5              2        0.38%
活      U+06D3B              2        0.38%
用      U+07528              2        0.38%
由      U+07531              2        0.38%
着      U+07740              2        0.38%
示      U+0793A              2        0.38%
称      U+079F0              2        0.38%
等      U+07B49              2        0.38%
统      U+07EDF              2        0.38%
绿      U+07EFF              2        0.38%
色      U+08272              2        0.38%
裂      U+088C2              2        0.38%
认      U+08BA4              2        0.38%
论      U+08BBA              2        0.38%
访      U+08BBF              2        0.38%
赖      U+08D56              2        0.38%
起      U+08D77              2        0.38%
迫      U+08FEB              2        0.38%
道      U+09053              2        0.38%
金      U+091D1              2        0.38%
陆      U+09646              2        0.38%
限      U+09650              2        0.38%
高      U+09AD8              2        0.38%
与      U+04E0E              1        0.19%
专      U+04E13              1        0.19%
两      U+04E24              1        0.19%
个      U+04E2A              1        0.19%
买      U+04E70              1        0.19%
了      U+04E86              1        0.19%
事      U+04E8B              1        0.19%
他      U+04ED6              1        0.19%
代      U+04EE3              1        0.19%
们      U+04EEC              1        0.19%
住      U+04F4F              1        0.19%
何      U+04F55              1        0.19%
例      U+04F8B              1        0.19%
依      U+04F9D              1        0.19%
倒      U+05012              1        0.19%
借      U+0501F              1        0.19%
偏      U+0504F              1        0.19%
偷      U+05077              1        0.19%
元      U+05143              1        0.19%
充      U+05145              1        0.19%
兰      U+05170              1        0.19%
养      U+0517B              1        0.19%
再      U+0518D              1        0.19%
军      U+0519B              1        0.19%
出      U+051FA              1        0.19%
击      U+051FB              1        0.19%
刁      U+05201              1        0.19%
划      U+05212              1        0.19%
则      U+05219              1        0.19%
利      U+05229              1        0.19%
前      U+0524D              1        0.19%
办      U+0529E              1        0.19%
务      U+052A1              1        0.19%
劣      U+052A3              1        0.19%
动      U+052A8              1        0.19%
助      U+052A9              1        0.19%
势      U+052BF              1        0.19%
化      U+05316              1        0.19%
北      U+05317              1        0.19%
卑      U+05351              1        0.19%
原      U+0539F              1        0.19%
口      U+053E3              1        0.19%
只      U+053EA              1        0.19%
各      U+05404              1        0.19%
合      U+05408              1        0.19%
员      U+05458              1        0.19%
商      U+05546              1        0.19%
