Char   Codepoint     Frequency   Percentage
--------------------------------------------
国      U+056FD            156        3.27%
的      U+07684            138        2.90%
中      U+04E2D            120        2.52%
平      U+05E73             57        1.20%
人      U+04EBA             53        1.11%
和      U+0548C             46        0.97%
大      U+05927             46        0.97%
同      U+0540C             44        0.92%
主      U+04E3B             42        0.88%
共      U+05171             42        0.88%
近      U+08FD1             41        0.86%
发      U+053D1             40        0.84%
总      U+0603B             39        0.82%
一      U+04E00             36        0.76%
习      U+04E60             36        0.76%
展      U+05C55             36        0.76%
席      U+05E2D             35        0.73%
为      U+04E3A             34        0.71%
在      U+05728             33        0.69%
领      U+09886             32        0.67%
年      U+05E74             31        0.65%
世      U+04E16             26        0.55%
代      U+04EE3             26        0.55%
全      U+05168             26        0.55%
合      U+05408             26        0.55%
时      U+065F6             26        0.55%
是      U+0662F             26        0.55%
界      U+0754C             26        0.55%
统      U+07EDF             26        0.55%
会      U+04F1A             24        0.50%
作      U+04F5C             24        0.50%
新      U+065B0             24        0.50%
动      U+052A8             22        0.46%
民      U+06C11             22        0.46%
自      U+081EA             22        0.46%
力      U+0529B             21        0.44%
来      U+06765             21        0.44%
深      U+06DF1             21        0.44%
球      U+07403             20        0.42%
不      U+04E0D             19        0.40%
关      U+05173             19        0.40%
天      U+05929             19        0.40%
定      U+05B9A             19        0.40%
越      U+08D8A             19        0.40%
以      U+04EE5             18        0.38%
外      U+05916             18        0.38%
开      U+05F00             18        0.38%
日      U+065E5             18        0.38%
月      U+06708             18        0.38%
出      U+051FA             17        0.36%
家      U+05BB6             17        0.36%
方      U+065B9             17        0.36%
行      U+0884C             17        0.36%
访      U+08BBF             17        0.36%
首      U+09996             17        0.36%
与      U+04E0E             16        0.34%
坚      U+0575A             16        0.34%
对      U+05BF9             16        0.34%
文      U+06587             16        0.34%
有      U+06709             16        0.34%
之      U+04E4B             15        0.31%
交      U+04EA4             15        0.31%
体      U+04F53             15        0.31%
建      U+05EFA             15        0.31%
系      U+07CFB             15        0.31%
美      U+07F8E             15        0.31%
运      U+08FD0             14        0.29%
这      U+08FD9             14        0.29%
高      U+09AD8             14        0.29%
书      U+04E66             13        0.27%
了      U+04E86             13        0.27%
入      U+05165             13        0.27%
化      U+05316             13        0.27%
华      U+0534E             13        0.27%
命      U+0547D             13        0.27%
成      U+06210             13        0.27%
明      U+0660E             13        0.27%
进      U+08FDB             13        0.27%
重      U+091CD             13        0.27%
上      U+04E0A             12        0.25%
创      U+0521B             12        0.25%
到      U+05230             12        0.25%
前      U+0524D             12        0.25%
历      U+05386             12        0.25%
各      U+05404             12        0.25%
向      U+05411             12        0.25%
地      U+05730             12        0.25%
多      U+0591A             12        0.25%
特      U+07279             12        0.25%
表      U+08868             12        0.25%
记      U+08BB0             12        0.25%
义      U+04E49             11        0.23%
信      U+04FE1             11        0.23%
南      U+05357             11        0.23%
友      U+053CB             11        0.23%
导      U+05BFC             11        0.23%
引      U+05F15             11        0.23%
斯      U+065AF             11        0.23%
最      U+06700             11        0.23%
理      U+07406             11        0.23%
生      U+0751F             11        0.23%
立      U+07ACB             11        0.23%
见      U+089C1             11        0.23%
远      U+08FDC             11        0.23%
道      U+09053             11        0.23%
下      U+04E0B             10        0.21%
于      U+04E8E             10        0.21%
好      U+0597D             10        0.21%
局      U+05C40             10        0.21%
当      U+05F53             10        0.21%
心      U+05FC3             10        0.21%
战      U+06218             10        0.21%
现      U+073B0             10        0.21%
路      U+08DEF             10        0.21%
长      U+0957F             10        0.21%
际      U+09645             10        0.21%
元      U+05143              9        0.19%
史      U+053F2              9        0.19%
安      U+05B89              9        0.19%
实      U+05B9E              9        0.19%
将      U+05C06              9        0.19%
山      U+05C71              9        0.19%
我      U+06211              9        0.19%
推      U+063A8              9        0.19%
普      U+0666E              9        0.19%
海      U+06D77              9        0.19%
相      U+076F8              9        0.19%
联      U+08054              9        0.19%
要      U+08981              9        0.19%
走      U+08D70              9        0.19%
业      U+04E1A              8        0.17%
京      U+04EAC              8        0.17%
亲      U+04EB2              8        0.17%
从      U+04ECE              8        0.17%
们      U+04EEC              8        0.17%
加      U+052A0              8        0.17%
后      U+0540E              8        0.17%
场      U+0573A              8        0.17%
尔      U+05C14              8        0.17%
强      U+05F3A              8        0.17%
意      U+0610F              8        0.17%
感      U+0611F              8        0.17%
持      U+06301              8        0.17%
提      U+063D0              8        0.17%
望      U+0671B              8        0.17%
水      U+06C34              8        0.17%
示      U+0793A              8        0.17%
类      U+07C7B              8        0.17%
经      U+07ECF              8        0.17%
解      U+089E3              8        0.17%
造      U+09020              8        0.17%
问      U+095EE              8        0.17%
间      U+095F4              8        0.17%
面      U+09762              8        0.17%
东      U+04E1C              7        0.15%
两      U+04E24              7        0.15%
个      U+04E2A              7        0.15%
事      U+04E8B              7        0.15%
伟      U+04F1F              7        0.15%
俄      U+04FC4              7        0.15%
克      U+0514B              7        0.15%
利      U+05229              7        0.15%
周      U+05468              7        0.15%
团      U+056E2              7        0.15%
域      U+057DF              7        0.15%
就      U+05C31              7        0.15%
广      U+05E7F              7        0.15%
度      U+05EA6              7        0.15%
得      U+05F97              7        0.15%
性      U+06027              7        0.15%
拉      U+062C9              7        0.15%
放      U+0653E              7        0.15%
更      U+066F4              7        0.15%
构      U+06784              7        0.15%
桑      U+06851              7        0.15%
次      U+06B21              7        0.15%
正      U+06B63              7        0.15%
洲      U+06D32              7        0.15%
满      U+06EE1              7        0.15%
班      U+073ED              7        0.15%
等      U+07B49              7        0.15%
维      U+07EF4              7        0.15%
边      U+08FB9              7        0.15%
通      U+0901A              7        0.15%
里      U+091CC              7        0.15%
也      U+04E5F              6        0.13%
五      U+04E94              6        0.13%
亚      U+04E9A              6        0.13%
今      U+04ECA              6        0.13%
任      U+04EFB              6        0.13%
份      U+04EFD              6        0.13%
党      U+0515A              6        0.13%
分      U+05206              6        0.13%
切      U+05207              6        0.13%
北      U+05317              6        0.13%
变      U+053D8              6        0.13%
复      U+0590D              6        0.13%
始      U+059CB              6        0.13%
工      U+05DE5              6        0.13%
式      U+05F0F              6        0.13%
德      U+05FB7              6        0.13%
手      U+0624B              6        0.13%
担      U+062C5              6        0.13%
无      U+065E0              6        0.13%
步      U+06B65              6        0.13%
治      U+06CBB              6        0.13%
法      U+06CD5              6        0.13%
注      U+06CE8              6        0.13%
流      U+06D41              6        0.13%
略      U+07565              6        0.13%
百      U+0767E              6        0.13%
目      U+076EE              6        0.13%
着      U+07740              6        0.13%
程      U+07A0B              6        0.13%
稳      U+07A33              6        0.13%
章      U+07AE0              6        0.13%
结      U+07ED3              6        0.13%
能      U+080FD              6        0.13%
西      U+0897F              6        0.13%
让      U+08BA9              6        0.13%
讲      U+08BB2              6        0.13%
识      U+08BC6              6        0.13%
起      U+08D77              6        0.13%
难      U+096BE              6        0.13%
互      U+04E92              5        0.10%
充      U+05145              5        0.10%
刻      U+0523B              5        0.10%
势      U+052BF              5        0.10%
基      U+057FA              5        0.10%
堂      U+05802              5        0.10%
塞      U+0585E              5        0.10%
声      U+058F0              5        0.10%
处      U+05904              5        0.10%
奇      U+05947              5        0.10%
契      U+05951              5        0.10%
如      U+05982              5        0.10%
巴      U+05DF4              5        0.10%
往      U+05F80              5        0.10%
愿      U+0613F              5        0.10%
显      U+0663E              5        0.10%
朗      U+06717              5        0.10%
期      U+0671F              5        0.10%
机      U+0673A              5        0.10%
果      U+0679C              5        0.10%
武      U+06B66              5        0.10%
波      U+06CE2              5        0.10%
活      U+06D3B              5        0.10%
济      U+06D4E              5        0.10%
热      U+070ED              5        0.10%
繁      U+07E41              5        0.10%
纷      U+07EB7              5        0.10%
续      U+07EED              5        0.10%
老      U+08001              5        0.10%
者      U+08005              5        0.10%
而      U+0800C              5        0.10%
色      U+08272              5        0.10%
英      U+082F1              5        0.10%
观      U+089C2              5        0.10%
视      U+089C6              5        0.10%
话      U+08BDD              5        0.10%
谈      U+08C08              5        0.10%
贸      U+08D38              5        0.10%
过      U+08FC7              5        0.10%
遇      U+09047              5        0.10%
邻      U+090BB              5        0.10%
门      U+095E8              5        0.10%
阔      U+09614              5        0.10%
集      U+096C6              5        0.10%
题      U+09898              5        0.10%
举      U+04E3E              4        0.08%
产      U+04EA7              4        0.08%
件      U+04EF6              4        0.08%
传      U+04F20              4        0.08%
供      U+04F9B              4        0.08%
公      U+0516C              4        0.08%
具      U+05177              4        0.08%
内      U+05185              4        0.08%
列      U+05217              4        0.08%
则      U+05219              4        0.08%
初      U+0521D              4        0.08%
制      U+05236              4        0.08%
区      U+0533A              4        0.08%
十      U+05341              4        0.08%
千      U+05343              4        0.08%
午      U+05348              4        0.08%
卓      U+05353              4        0.08%
古      U+053E4              4        0.08%
央      U+0592E              4        0.08%
尊      U+05C0A              4        0.08%
布      U+05E03              4        0.08%
希      U+05E0C              4        0.08%
形      U+05F62              4        0.08%
彰      U+05F70              4        0.08%
待      U+05F85              4        0.08%
情      U+060C5              4        0.08%
护      U+062A4              4        0.08%
指      U+06307              4        0.08%
掌      U+0638C              4        0.08%
接      U+063A5              4        0.08%
携      U+0643A              4        0.08%
政      U+0653F              4        0.08%
晤      U+06664              4        0.08%
智      U+0667A              4        0.08%
朝      U+0671D              4        0.08%
村      U+06751              4        0.08%
林      U+06797              4        0.08%
标      U+06807              4        0.08%
欧      U+06B27              4        0.08%
比      U+06BD4              4        0.08%
气      U+06C14              4        0.08%
江      U+06C5F              4        0.08%
然      U+07136              4        0.08%
牙      U+07259              4        0.08%
确      U+0786E              4        0.08%
社      U+0793E              4        0.08%
第      U+07B2C              4        0.08%
终      U+07EC8              4        0.08%
聚      U+0805A              4        0.08%
至      U+081F3              4        0.08%
荣      U+08363              4        0.08%
说      U+08BF4              4        0.08%
赞      U+08D5E              4        0.08%
车      U+08F66              4        0.08%
达      U+08FBE              4        0.08%
非      U+0975E              4        0.08%
乌      U+04E4C              3        0.06%
享      U+04EAB              3        0.06%
企      U+04F01              3        0.06%
伦      U+04F26              3        0.06%
位      U+04F4D              3        0.06%
何      U+04F55              3        0.06%
使      U+04F7F              3        0.06%
促      U+04FC3              3        0.06%
倡      U+05021              3        0.06%
做      U+0505A              3        0.06%
半      U+0534A              3        0.06%
原      U+0539F              3        0.06%
去      U+053BB              3        0.06%
双      U+053CC              3        0.06%
受      U+053D7              3        0.06%
口      U+053E3              3        0.06%
可      U+053EF              3        0.06%
启      U+0542F              3        0.06%
员      U+05458              3        0.06%
四      U+056DB              3        0.06%
围      U+056F4              3        0.06%
圭      U+0572D              3        0.06%
坦      U+05766              3        0.06%
塔      U+05854              3        0.06%
夏      U+0590F              3        0.06%
孟      U+05B5F              3        0.06%
宣      U+05BA3              3        0.06%
密      U+05BC6              3        0.06%
己      U+05DF1              3        0.06%
带      U+05E26              3        0.06%
应      U+05E94              3        0.06%
志      U+05FD7              3        0.06%
怀      U+06000              3        0.06%
所      U+06240              3        0.06%
技      U+06280              3        0.06%
探      U+063A2              3        0.06%
摩      U+06469              3        0.06%
施      U+065BD              3        0.06%
晚      U+0665A              3        0.06%
朋      U+0670B              3        0.06%
未      U+0672A              3        0.06%
查      U+067E5              3        0.06%
格      U+0683C              3        0.06%
段      U+06BB5              3        0.06%
汇      U+06C47              3        0.06%
