Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684             26        3.95%
深      U+06DF1             15        2.28%
年      U+05E74             12        1.82%
科      U+079D1             12        1.82%
学      U+05B66             11        1.67%
港      U+06E2F             11        1.67%
了      U+04E86             10        1.52%
圳      U+05733             10        1.52%
青      U+09752             10        1.52%
动      U+052A8              9        1.37%
一      U+04E00              8        1.21%
在      U+05728              8        1.21%
到      U+05230              7        1.06%
化      U+05316              7        1.06%
展      U+05C55              7        1.06%
文      U+06587              7        1.06%
驶      U+09A76              7        1.06%
驾      U+09A7E              7        1.06%
前      U+0524D              6        0.91%
园      U+056ED              6        0.91%
技      U+06280              6        0.91%
流      U+06D41              6        0.91%
交      U+04EA4              5        0.76%
们      U+04EEC              5        0.76%
体      U+04F53              5        0.76%
区      U+0533A              5        0.76%
周      U+05468              5        0.76%
大      U+05927              5        0.76%
来      U+06765              5        0.76%
模      U+06A21              5        0.76%
澳      U+06FB3              5        0.76%
看      U+0770B              5        0.76%
自      U+081EA              5        0.76%
香      U+09999              5        0.76%
为      U+04E3A              4        0.61%
厅      U+05385              4        0.61%
活      U+06D3B              4        0.61%
研      U+07814              4        0.61%
让      U+08BA9              4        0.61%
馆      U+09986              4        0.61%
与      U+04E0E              3        0.46%
之      U+04E4B              3        0.46%
人      U+04EBA              3        0.46%
从      U+04ECE              3        0.46%
以      U+04EE5              3        0.46%
作      U+04F5C              3        0.46%
创      U+0521B              3        0.46%
千      U+05343              3        0.46%
及      U+053CA              3        0.46%
台      U+053F0              3        0.46%
同      U+0540C              3        0.46%
型      U+0578B              3        0.46%
子      U+05B50              3        0.46%
彩      U+05F69              3        0.46%
心      U+05FC3              3        0.46%
搭      U+0642D              3        0.46%
日      U+065E5              3        0.46%
月      U+06708              3        0.46%
未      U+0672A              3        0.46%
正      U+06B63              3        0.46%
汽      U+06C7D              3        0.46%
物      U+07269              3        0.46%
生      U+0751F              3        0.46%
示      U+0793A              3        0.46%
统      U+07EDF              3        0.46%
联      U+08054              3        0.46%
路      U+08DEF              3        0.46%
车      U+08F66              3        0.46%
辆      U+08F86              3        0.46%
这      U+08FD9              3        0.46%
验      U+09A8C              3        0.46%
不      U+04E0D              2        0.30%
业      U+04E1A              2        0.30%
个      U+04E2A              2        0.30%
中      U+04E2D              2        0.30%
企      U+04F01              2        0.30%
传      U+04F20              2        0.30%
余      U+04F59              2        0.30%
入      U+05165              2        0.30%
公      U+0516C              2        0.30%
共      U+05171              2        0.30%
出      U+051FA              2        0.30%
分      U+05206              2        0.30%
力      U+0529B              2        0.30%
协      U+0534F              2        0.30%
南      U+05357              2        0.30%
博      U+0535A              2        0.30%
参      U+053C2              2        0.30%
司      U+053F8              2        0.30%
员      U+05458              2        0.30%
地      U+05730              2        0.30%
备      U+05907              2        0.30%
太      U+0592A              2        0.30%
奇      U+05947              2        0.30%
她      U+05979              2        0.30%
妙      U+05999              2        0.30%
就      U+05C31              2        0.30%
岭      U+05CAD              2        0.30%
平      U+05E73              2        0.30%
应      U+05E94              2        0.30%
引      U+05F15              2        0.30%
得      U+05F97              2        0.30%
成      U+06210              2        0.30%
我      U+06211              2        0.30%
拟      U+062DF              2        0.30%
政      U+0653F              2        0.30%
整      U+06574              2        0.30%
新      U+065B0              2        0.30%
旅      U+065C5              2        0.30%
既      U+065E2              2        0.30%
是      U+0662F              2        0.30%
有      U+06709              2        0.30%
术      U+0672F              2        0.30%
湾      U+06E7E              2        0.30%
特      U+07279              2        0.30%
碰      U+078B0              2        0.30%
究      U+07A76              2        0.30%
精      U+07CBE              2        0.30%
系      U+07CFB              2        0.30%
能      U+080FD              2        0.30%
落      U+0843D              2        0.30%
足      U+08DB3              2        0.30%
载      U+08F7D              2        0.30%
边      U+08FB9              2        0.30%
重      U+091CD              2        0.30%
限      U+09650              2        0.30%
院      U+09662              2        0.30%
马      U+09A6C              2        0.30%
驻      U+09A7B              2        0.30%
三      U+04E09              1        0.15%
上      U+04E0A              1        0.15%
丝      U+04E1D              1        0.15%
主      U+04E3B              1        0.15%
乐      U+04E50              1        0.15%
也      U+04E5F              1        0.15%
于      U+04E8E              1        0.15%
亚      U+04E9A              1        0.15%
今      U+04ECA              1        0.15%
介      U+04ECB              1        0.15%
份      U+04EFD              1        0.15%
位      U+04F4D              1        0.15%
何      U+04F55              1        0.15%
例      U+04F8B              1        0.15%
停      U+0505C              1        0.15%
先      U+05148              1        0.15%
光      U+05149              1        0.15%
具      U+05177              1        0.15%
内      U+05185              1        0.15%
军      U+0519B              1        0.15%
准      U+051C6              1        0.15%
几      U+051E0              1        0.15%
划      U+05212              1        0.15%
制      U+05236              1        0.15%
办      U+0529E              1        0.15%
务      U+052A1              1        0.15%
匹      U+05339              1        0.15%
历      U+05386              1        0.15%
厚      U+0539A              1        0.15%
去      U+053BB              1        0.15%
又      U+053C8              1        0.15%
双      U+053CC              1        0.15%
另      U+053E6              1        0.15%
史      U+053F2              1        0.15%
叹      U+053F9              1        0.15%
各      U+05404              1        0.15%
名      U+0540D              1        0.15%
后      U+0540E              1        0.15%
启      U+0542F              1        0.15%
吸      U+05438              1        0.15%
命      U+0547D              1        0.15%
和      U+0548C              1        0.15%
唐      U+05510              1        0.15%
嘉      U+05609              1        0.15%
场      U+0573A              1        0.15%
域      U+057DF              1        0.15%
境      U+05883              1        0.15%
处      U+05904              1        0.15%
天      U+05929              1        0.15%
委      U+059D4              1        0.15%
婷      U+05A77              1        0.15%
宣      U+05BA3              1        0.15%
家      U+05BB6              1        0.15%
宾      U+05BBE              1        0.15%
对      U+05BF9              1        0.15%
尊      U+05C0A              1        0.15%
小      U+05C0F              1        0.15%
尖      U+05C16              1        0.15%
届      U+05C4A              1        0.15%
工      U+05DE5              1        0.15%
已      U+05DF2              1        0.15%
市      U+05E02              1        0.15%
常      U+05E38              1        0.15%
府      U+05E9C              1        0.15%
度      U+05EA6              1        0.15%
建      U+05EFA              1        0.15%
开      U+05F00              1        0.15%
强      U+05F3A              1        0.15%
很      U+05F88              1        0.15%
态      U+06001              1        0.15%
情      U+060C5              1        0.15%
意      U+0610F              1        0.15%
感      U+0611F              1        0.15%
户      U+06237              1        0.15%
才      U+0624D              1        0.15%
抽      U+062BD              1        0.15%
持      U+06301              1        0.15%
指      U+06307              1        0.15%
撞      U+0649E              1        0.15%
擎      U+064CE              1        0.15%
料      U+06599              1        0.15%
斯      U+065AF              1        0.15%
时      U+065F6              1        0.15%
春      U+06625              1        0.15%
智      U+0667A              1        0.15%
最      U+06700              1        0.15%
服      U+0670D              1        0.15%
本      U+0672C              1        0.15%
机      U+0673A              1        0.15%
材      U+06750              1        0.15%
果      U+0679C              1        0.15%
柜      U+067DC              1        0.15%
样      U+06837              1        0.15%
案      U+06848              1        0.15%
次      U+06B21              1        0.15%
殊      U+06B8A              1        0.15%
沿      U+06CBF              1        0.15%
注      U+06CE8              1        0.15%
溢      U+06EA2              1        0.15%
演      U+06F14              1        0.15%
激      U+06FC0              1        0.15%
灿      U+0707F              1        0.15%
点      U+070B9              1        0.15%
烂      U+070C2              1        0.15%
爱      U+07231              1        0.15%
理      U+07406              1        0.15%
田      U+07530              1        0.15%
由      U+07531              1        0.15%
界      U+0754C              1        0.15%
留      U+07559              1        0.15%
盈      U+076C8              1        0.15%
真      U+0771F              1        0.15%
着      U+07740              1        0.15%
礼      U+0793C              1        0.15%
神      U+0795E              1        0.15%
福      U+0798F              1        0.15%
穿      U+07A7F              1        0.15%
立      U+07ACB              1        0.15%
等      U+07B49              1        0.15%
策      U+07B56              1        0.15%
细      U+07EC6              1        0.15%
绍      U+07ECD              1        0.15%
络      U+07EDC              1        0.15%
续      U+07EED              1        0.15%
聚      U+0805A              1        0.15%
舞      U+0821E              1        0.15%
行      U+0884C              1        0.15%
表      U+08868              1        0.15%
观      U+089C2              1        0.15%
规      U+089C4              1        0.15%
觉      U+089C9              1        0.15%
解      U+089E3              1        0.15%
触      U+089E6              1        0.15%
话      U+08BDD              1        0.15%
详      U+08BE6              1        0.15%
读      U+08BFB              1        0.15%
象      U+08C61              1        0.15%
走      U+08D70              1        0.15%
起      U+08D77              1        0.15%
越      U+08D8A              1        0.15%
趣      U+08DA3              1        0.15%
跨      U+08DE8              1        0.15%
轻      U+08F7B              1        0.15%
过      U+08FC7              1        0.15%
还      U+08FD8              1        0.15%
进      U+08FDB              1        0.15%
通      U+0901A              1        0.15%
速      U+0901F              1        0.15%
那      U+090A3              1        0.15%
部      U+090E8              1        0.15%
配      U+0914D              1        0.15%
里      U+091CC              1        0.15%
铃      U+094C3              1        0.15%
集      U+096C6              1        0.15%
非      U+0975E              1        0.15%
领      U+09886              1        0.15%
驼      U+09A7C              1        0.15%
黄      U+09EC4              1        0.15%
