Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684             68        3.33%
科      U+079D1             29        1.42%
技      U+06280             28        1.37%
人      U+04EBA             25        1.22%
文      U+06587             25        1.22%
在      U+05728             24        1.17%
游      U+06E38             23        1.13%
一      U+04E00             22        1.08%
为      U+04E3A             22        1.08%
能      U+080FD             18        0.88%
体      U+04F53             17        0.83%
客      U+05BA2             17        0.83%
了      U+04E86             16        0.78%
动      U+052A8             16        0.78%
州      U+05DDE             16        0.78%
杭      U+0676D             16        0.78%
验      U+09A8C             16        0.78%
来      U+06765             15        0.73%
区      U+0533A             14        0.69%
影      U+05F71             13        0.64%
街      U+08857             13        0.64%
场      U+0573A             12        0.59%
旅      U+065C5             12        0.59%
西      U+0897F             12        0.59%
光      U+05149             11        0.54%
化      U+05316             11        0.54%
如      U+05982             11        0.54%
实      U+05B9E             11        0.54%
数      U+06570             11        0.54%
新      U+065B0             11        0.54%
湖      U+06E56             11        0.54%
现      U+073B0             11        0.54%
这      U+08FD9             11        0.54%
于      U+04E8E             10        0.49%
可      U+053EF             10        0.49%
成      U+06210             10        0.49%
未      U+0672A             10        0.49%
生      U+0751F             10        0.49%
让      U+08BA9             10        0.49%
里      U+091CC             10        0.49%
三      U+04E09              9        0.44%
与      U+04E0E              9        0.44%
互      U+04E92              9        0.44%
出      U+051FA              9        0.44%
合      U+05408              9        0.44%
和      U+0548C              9        0.44%
大      U+05927              9        0.44%
字      U+05B57              9        0.44%
市      U+05E02              9        0.44%
廊      U+05ECA              9        0.44%
景      U+0666F              9        0.44%
桥      U+06865              9        0.44%
演      U+06F14              9        0.44%
中      U+04E2D              8        0.39%
乐      U+04E50              8        0.39%
产      U+04EA7              8        0.39%
到      U+05230              8        0.39%
将      U+05C06              8        0.39%
是      U+0662F              8        0.39%
机      U+0673A              8        0.39%
活      U+06D3B              8        0.39%
空      U+07A7A              8        0.39%
音      U+097F3              8        0.39%
上      U+04E0A              7        0.34%
以      U+04EE5              7        0.34%
后      U+0540E              7        0.34%
地      U+05730              7        0.34%
子      U+05B50              7        0.34%
打      U+06253              7        0.34%
智      U+0667A              7        0.34%
民      U+06C11              7        0.34%
相      U+076F8              7        0.34%
着      U+07740              7        0.34%
经      U+07ECF              7        0.34%
置      U+07F6E              7        0.34%
装      U+088C5              7        0.34%
观      U+089C2              7        0.34%
个      U+04E2A              6        0.29%
之      U+04E4B              6        0.29%
众      U+04F17              6        0.29%
会      U+04F1A              6        0.29%
品      U+054C1              6        0.29%
城      U+057CE              6        0.29%
屏      U+05C4F              6        0.29%
展      U+05C55              6        0.29%
年      U+05E74              6        0.29%
开      U+05F00              6        0.29%
我      U+06211              6        0.29%
时      U+065F6              6        0.29%
更      U+066F4              6        0.29%
有      U+06709              6        0.29%
术      U+0672F              6        0.29%
正      U+06B63              6        0.29%
虚      U+0865A              6        0.29%
过      U+08FC7              6        0.29%
面      U+09762              6        0.29%
下      U+04E0B              5        0.24%
交      U+04EA4              5        0.24%
今      U+04ECA              5        0.24%
们      U+04EEC              5        0.24%
剧      U+05267              5        0.24%
力      U+0529B              5        0.24%
十      U+05341              5        0.24%
发      U+053D1              5        0.24%
名      U+0540D              5        0.24%
员      U+05458              5        0.24%
商      U+05546              5        0.24%
器      U+05668              5        0.24%
天      U+05929              5        0.24%
对      U+05BF9              5        0.24%
山      U+05C71              5        0.24%
应      U+05E94              5        0.24%
式      U+05F0F              5        0.24%
感      U+0611F              5        0.24%
拟      U+062DF              5        0.24%
江      U+06C5F              5        0.24%
流      U+06D41              5        0.24%
滨      U+06EE8              5        0.24%
目      U+076EE              5        0.24%
答      U+07B54              5        0.24%
还      U+08FD8              5        0.24%
造      U+09020              5        0.24%
问      U+095EE              5        0.24%
不      U+04E0D              4        0.20%
何      U+04F55              4        0.20%
作      U+04F5C              4        0.20%
全      U+05168              4        0.20%
准      U+051C6              4        0.20%
前      U+0524D              4        0.20%
卡      U+05361              4        0.20%
团      U+056E2              4        0.20%
国      U+056FD              4        0.20%
带      U+05E26              4        0.20%
引      U+05F15              4        0.20%
当      U+05F53              4        0.20%
心      U+05FC3              4        0.20%
次      U+06B21              4        0.20%
汇      U+06C47              4        0.20%
浙      U+06D59              4        0.20%
消      U+06D88              4        0.20%
深      U+06DF1              4        0.20%
特      U+07279              4        0.20%
用      U+07528              4        0.20%
电      U+07535              4        0.20%
画      U+0753B              4        0.20%
盒      U+076D2              4        0.20%
盲      U+076F2              4        0.20%
看      U+0770B              4        0.20%
真      U+0771F              4        0.20%
等      U+07B49              4        0.20%
精      U+07CBE              4        0.20%
结      U+07ED3              4        0.20%
舞      U+0821E              4        0.20%
艺      U+0827A              4        0.20%
融      U+0878D              4        0.20%
行      U+0884C              4        0.20%
表      U+08868              4        0.20%
费      U+08D39              4        0.20%
走      U+08D70              4        0.20%
超      U+08D85              4        0.20%
轻      U+08F7B              4        0.20%
进      U+08FDB              4        0.20%
通      U+0901A              4        0.20%
高      U+09AD8              4        0.20%
万      U+04E07              3        0.15%
世      U+04E16              3        0.15%
业      U+04E1A              3        0.15%
也      U+04E5F              3        0.15%
亮      U+04EAE              3        0.15%
介      U+04ECB              3        0.15%
位      U+04F4D              3        0.15%
像      U+050CF              3        0.15%
内      U+05185              3        0.15%
创      U+0521B              3        0.15%
别      U+0522B              3        0.15%
受      U+053D7              3        0.15%
听      U+0542C              3        0.15%
吸      U+05438              3        0.15%
圈      U+05708              3        0.15%
域      U+057DF              3        0.15%
处      U+05904              3        0.15%
多      U+0591A              3        0.15%
太      U+0592A              3        0.15%
工      U+05DE5              3        0.15%
平      U+05E73              3        0.15%
建      U+05EFA              3        0.15%
强      U+05F3A              3        0.15%
形      U+05F62              3        0.15%
投      U+06295              3        0.15%
据      U+0636E              3        0.15%
提      U+063D0              3        0.15%
效      U+06548              3        0.15%
最      U+06700              3        0.15%
月      U+06708              3        0.15%
案      U+06848              3        0.15%
此      U+06B64              3        0.15%
步      U+06B65              3        0.15%
沉      U+06C89              3        0.15%
济      U+06D4E              3        0.15%
浸      U+06D78              3        0.15%
潮      U+06F6E              3        0.15%
点      U+070B9              3        0.15%
界      U+0754C              3        0.15%
盖      U+076D6              3        0.15%
示      U+0793A              3        0.15%
纷      U+07EB7              3        0.15%
绍      U+07ECD              3        0.15%
续      U+07EED              3        0.15%
而      U+0800C              3        0.15%
脸      U+08138              3        0.15%
般      U+0822C              3        0.15%
计      U+08BA1              3        0.15%
设      U+08BBE              3        0.15%
该      U+08BE5              3        0.15%
语      U+08BED              3        0.15%
身      U+08EAB              3        0.15%
转      U+08F6C              3        0.15%
部      U+090E8              3        0.15%
