Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684             31        3.29%
夏      U+0590F             26        2.76%
西      U+0897F             25        2.65%
陵      U+09675             24        2.55%
遗      U+09057             19        2.01%
文      U+06587             13        1.38%
一      U+04E00             11        1.17%
年      U+05E74             10        1.06%
与      U+04E0E              9        0.95%
学      U+05B66              8        0.85%
成      U+06210              8        0.85%
上      U+04E0A              7        0.74%
产      U+04EA7              7        0.74%
化      U+05316              7        0.74%
护      U+062A4              7        0.74%
保      U+04FDD              6        0.64%
区      U+0533A              6        0.64%
址      U+05740              6        0.64%
展      U+05C55              6        0.64%
式      U+05F0F              6        0.64%
是      U+0662F              6        0.64%
人      U+04EBA              5        0.53%
出      U+051FA              5        0.53%
到      U+05230              5        0.53%
功      U+0529F              5        0.53%
同      U+0540C              5        0.53%
在      U+05728              5        0.53%
处      U+05904              5        0.53%
建      U+05EFA              5        0.53%
深      U+06DF1              5        0.53%
游      U+06E38              5        0.53%
界      U+0754C              5        0.53%
研      U+07814              5        0.53%
筑      U+07B51              5        0.53%
行      U+0884C              5        0.53%
之      U+04E4B              4        0.42%
动      U+052A8              4        0.42%
地      U+05730              4        0.42%
字      U+05B57              4        0.42%
存      U+05B58              4        0.42%
客      U+05BA2              4        0.42%
川      U+05DDD              4        0.42%
日      U+065E5              4        0.42%
月      U+06708              4        0.42%
有      U+06709              4        0.42%
模      U+06A21              4        0.42%
物      U+07269              4        0.42%
现      U+073B0              4        0.42%
申      U+07533              4        0.42%
考      U+08003              4        0.42%
融      U+0878D              4        0.42%
这      U+08FD9              4        0.42%
银      U+094F6              4        0.42%
下      U+04E0B              3        0.32%
世      U+04E16              3        0.32%
了      U+04E86              3        0.32%
于      U+04E8E              3        0.32%
今      U+04ECA              3        0.32%
从      U+04ECE              3        0.32%
以      U+04EE5              3        0.32%
体      U+04F53              3        0.32%
作      U+04F5C              3        0.32%
入      U+05165              3        0.32%
兰      U+05170              3        0.32%
制      U+05236              3        0.32%
博      U+0535A              3        0.32%
原      U+0539F              3        0.32%
古      U+053E4              3        0.32%
合      U+05408              3        0.32%
土      U+0571F              3        0.32%
场      U+0573A              3        0.32%
复      U+0590D              3        0.32%
多      U+0591A              3        0.32%
山      U+05C71              3        0.32%
开      U+05F00              3        0.32%
性      U+06027              3        0.32%
接      U+063A5              3        0.32%
数      U+06570              3        0.32%
旅      U+065C5              3        0.32%
时      U+065F6              3        0.32%
明      U+0660E              3        0.32%
景      U+0666F              3        0.32%
最      U+06700              3        0.32%
服      U+0670D              3        0.32%
术      U+0672F              3        0.32%
标      U+06807              3        0.32%
活      U+06D3B              3        0.32%
生      U+0751F              3        0.32%
石      U+077F3              3        0.32%
究      U+07A76              3        0.32%
立      U+07ACB              3        0.32%
管      U+07BA1              3        0.32%
美      U+07F8E              3        0.32%
让      U+08BA9              3        0.32%
贺      U+08D3A              3        0.32%
部      U+090E8              3        0.32%
金      U+091D1              3        0.32%
长      U+0957F              3        0.32%
际      U+09645              3        0.32%
静      U+09759              3        0.32%
三      U+04E09              2        0.21%
两      U+04E24              2        0.21%
举      U+04E3E              2        0.21%
享      U+04EAB              2        0.21%
代      U+04EE3              2        0.21%
们      U+04EEC              2        0.21%
伍      U+04F0D              2        0.21%
众      U+04F17              2        0.21%
修      U+04FEE              2        0.21%
其      U+05176              2        0.21%
兼      U+0517C              2        0.21%
分      U+05206              2        0.21%
列      U+05217              2        0.21%
前      U+0524D              2        0.21%
力      U+0529B              2        0.21%
北      U+05317              2        0.21%
千      U+05343              2        0.21%
单      U+05355              2        0.21%
印      U+05370              2        0.21%
历      U+05386              2        0.21%
及      U+053CA              2        0.21%
发      U+053D1              2        0.21%
周      U+05468              2        0.21%
和      U+0548C              2        0.21%
围      U+056F4              2        0.21%
堆      U+05806              2        0.21%
墓      U+05893              2        0.21%
增      U+0589E              2        0.21%
壁      U+058C1              2        0.21%
大      U+05927              2        0.21%
守      U+05B88              2        0.21%
完      U+05B8C              2        0.21%
实      U+05B9E              2        0.21%
家      U+05BB6              2        0.21%
寝      U+05BDD              2        0.21%
将      U+05C06              2        0.21%
小      U+05C0F              2        0.21%
属      U+05C5E              2        0.21%
市      U+05E02              2        0.21%
帝      U+05E1D              2        0.21%
并      U+05E76              2        0.21%
度      U+05EA6              2        0.21%
座      U+05EA7              2        0.21%
形      U+05F62              2        0.21%
待      U+05F85              2        0.21%
得      U+05F97              2        0.21%
志      U+05FD7              2        0.21%
据      U+0636E              2        0.21%
整      U+06574              2        0.21%
新      U+065B0              2        0.21%
施      U+065BD              2        0.21%
更      U+066F4              2        0.21%
来      U+06765              2        0.21%
果      U+0679C              2        0.21%
次      U+06B21              2        0.21%
款      U+06B3E              2        0.21%
残      U+06B8B              2        0.21%
比      U+06BD4              2        0.21%
浸      U+06D78              2        0.21%
特      U+07279              2        0.21%
独      U+072EC              2        0.21%
王      U+0738B              2        0.21%
理      U+07406              2        0.21%
画      U+0753B              2        0.21%
百      U+0767E              2        0.21%
等      U+07B49              2        0.21%
级      U+07EA7              2        0.21%
网      U+07F51              2        0.21%
而      U+0800C              2        0.21%
艺      U+0827A              2        0.21%
被      U+088AB              2        0.21%
装      U+088C5              2        0.21%
规      U+089C4              2        0.21%
视      U+089C6              2        0.21%
觉      U+089C9              2        0.21%
说      U+08BF4              2        0.21%
象      U+08C61              2        0.21%
走      U+08D70              2        0.21%
路      U+08DEF              2        0.21%
迹      U+08FF9              2        0.21%
透      U+0900F              2        0.21%
量      U+091CF              2        0.21%
队      U+0961F              2        0.21%
防      U+09632              2        0.21%
陈      U+09648              2        0.21%
集      U+096C6              2        0.21%
霏      U+0970F              2        0.21%
预      U+09884              2        0.21%
领      U+09886              2        0.21%
馆      U+09986              2        0.21%
高      U+09AD8              2        0.21%
万      U+04E07              1        0.11%
专      U+04E13              1        0.11%
业      U+04E1A              1        0.11%
严      U+04E25              1        0.11%
中      U+04E2D              1        0.11%
丰      U+04E30              1        0.11%
为      U+04E3A              1        0.11%
主      U+04E3B              1        0.11%
乐      U+04E50              1        0.11%
五      U+04E94              1        0.11%
亚      U+04E9A              1        0.11%
京      U+04EAC              1        0.11%
他      U+04ED6              1        0.11%
任      U+04EFB              1        0.11%
份      U+04EFD              1        0.11%
会      U+04F1A              1        0.11%
传      U+04F20              1        0.11%
位      U+04F4D              1        0.11%
余      U+04F59              1        0.11%
例      U+04F8B              1        0.11%
像      U+050CF              1        0.11%
元      U+05143              1        0.11%
克      U+0514B              1        0.11%
全      U+05168              1        0.11%
公      U+0516C              1        0.11%
共      U+05171              1        0.11%
关      U+05173              1        0.11%
具      U+05177              1        0.11%
内      U+05185              1        0.11%
再      U+0518D              1        0.11%
准      U+051C6              1        0.11%
创      U+0521B              1        0.11%
利      U+05229              1        0.11%
别      U+0522B              1        0.11%
刷      U+05237              1        0.11%
副      U+0526F              1        0.11%
办      U+0529E              1        0.11%
加      U+052A0              1        0.11%
势      U+052BF              1        0.11%
勒      U+052D2              1        0.11%
勾      U+052FE              1        0.11%
包      U+05305              1        0.11%
十      U+05341              1        0.11%
午      U+05348              1        0.11%
华      U+0534E              1        0.11%
卷      U+05377              1        0.11%
厚      U+0539A              1        0.11%
去      U+053BB              1        0.11%
又      U+053C8              1        0.11%
友      U+053CB              1        0.11%
变      U+053D8              1        0.11%
可      U+053EF              1        0.11%
台      U+053F0              1        0.11%
史      U+053F2              1        0.11%
号      U+053F7              1        0.11%
司      U+053F8              1        0.11%
名      U+0540D              1        0.11%
后      U+0540E              1        0.11%
告      U+0544A              1        0.11%
味      U+05473              1        0.11%
团      U+056E2              1        0.11%
园      U+056ED              1        0.11%
国      U+056FD              1        0.11%
坐      U+05750              1        0.11%
块      U+05757              1        0.11%
坚      U+0575A              1        0.11%
城      U+057CE              1        0.11%
域      U+057DF              1        0.11%
境      U+05883              1        0.11%
好      U+0597D              1        0.11%
宁      U+05B81              1        0.11%
宋      U+05B8B              1        0.11%
宏      U+05B8F              1        0.11%
官      U+05B98              1        0.11%
定      U+05B9A              1        0.11%
审      U+05BA1              1        0.11%
宫      U+05BAB              1        0.11%
容      U+05BB9              1        0.11%
富      U+05BCC              1        0.11%
