Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684             47        2.04%
中      U+04E2D             45        1.95%
国      U+056FD             36        1.56%
欧      U+06B27             34        1.48%
业      U+04E1A             30        1.30%
通      U+0901A             24        1.04%
杜      U+0675C             23        1.00%
列      U+05217             21        0.91%
斯      U+065AF             21        0.91%
运      U+08FD0             21        0.91%
伊      U+04F0A             20        0.87%
堡      U+05821             20        0.87%
全      U+05168             19        0.83%
动      U+052A8             19        0.83%
产      U+04EA7             18        0.78%
为      U+04E3A             17        0.74%
班      U+073ED             17        0.74%
体      U+04F53             15        0.65%
化      U+05316             15        0.65%
长      U+0957F             15        0.65%
市      U+05E02             14        0.61%
开      U+05F00             14        0.61%
新      U+065B0             14        0.61%
共      U+05171             13        0.56%
流      U+06D41             13        0.56%
可      U+053EF             12        0.52%
合      U+05408             12        0.52%
大      U+05927             12        0.52%
德      U+05FB7             12        0.52%
成      U+06210             12        0.52%
同      U+0540C             11        0.48%
定      U+05B9A             11        0.48%
实      U+05B9E             11        0.48%
对      U+05BF9             11        0.48%
持      U+06301             11        0.48%
路      U+08DEF             11        0.48%
链      U+094FE             11        0.48%
义      U+04E49             10        0.43%
发      U+053D1             10        0.43%
多      U+0591A             10        0.43%
年      U+05E74             10        0.43%
文      U+06587             10        0.43%
是      U+0662F             10        0.43%
民      U+06C11             10        0.43%
生      U+0751F             10        0.43%
等      U+07B49             10        0.43%
续      U+07EED             10        0.43%
陆      U+09646             10        0.43%
亚      U+04E9A              9        0.39%
作      U+04F5C              9        0.39%
内      U+05185              9        0.39%
地      U+05730              9        0.39%
场      U+0573A              9        0.39%
工      U+05DE5              9        0.39%
心      U+05FC3              9        0.39%
性      U+06027              9        0.39%
明      U+0660E              9        0.39%
程      U+07A0B              9        0.39%
稳      U+07A33              9        0.39%
行      U+0884C              9        0.39%
道      U+09053              9        0.39%
不      U+04E0D              8        0.35%
与      U+04E0E              8        0.35%
互      U+04E92              8        0.35%
供      U+04F9B              8        0.35%
区      U+0533A              8        0.35%
城      U+057CE              8        0.35%
尔      U+05C14              8        0.35%
展      U+05C55              8        0.35%
效      U+06548              8        0.35%
球      U+07403              8        0.35%
经      U+07ECF              8        0.35%
贸      U+08D38              8        0.35%
高      U+09AD8              8        0.35%
利      U+05229              7        0.30%
制      U+05236              7        0.30%
升      U+05347              7        0.30%
式      U+05F0F              7        0.30%
态      U+06001              7        0.30%
放      U+0653E              7        0.30%
标      U+06807              7        0.30%
洲      U+06D32              7        0.30%
港      U+06E2F              7        0.30%
现      U+073B0              7        0.30%
系      U+07CFB              7        0.30%
线      U+07EBF              7        0.30%
联      U+08054              7        0.30%
认      U+08BA4              7        0.30%
造      U+09020              7        0.30%
量      U+091CF              7        0.30%
际      U+09645              7        0.30%
人      U+04EBA              6        0.26%
华      U+0534E              6        0.26%
品      U+054C1              6        0.26%
常      U+05E38              6        0.26%
建      U+05EFA              6        0.26%
惠      U+060E0              6        0.26%
期      U+0671F              6        0.26%
本      U+0672C              6        0.26%
江      U+06C5F              6        0.26%
河      U+06CB3              6        0.26%
物      U+07269              6        0.26%
碳      U+078B3              6        0.26%
跨      U+08DE8              6        0.26%
集      U+096C6              6        0.26%
两      U+04E24              5        0.22%
主      U+04E3B              5        0.22%
之      U+04E4B              5        0.22%
乌      U+04E4C              5        0.22%
事      U+04E8B              5        0.22%
交      U+04EA4              5        0.22%
以      U+04EE5              5        0.22%
优      U+04F18              5        0.22%
位      U+04F4D              5        0.22%
依      U+04F9D              5        0.22%
倡      U+05021              5        0.22%
公      U+0516C              5        0.22%
冲      U+051B2              5        0.22%
力      U+0529B              5        0.22%
境      U+05883              5        0.22%
夫      U+0592B              5        0.22%
学      U+05B66              5        0.22%
应      U+05E94              5        0.22%
度      U+05EA6              5        0.22%
总      U+0603B              5        0.22%
托      U+06258              5        0.22%
普      U+0666E              5        0.22%
核      U+06838              5        0.22%
深      U+06DF1              5        0.22%
理      U+07406              5        0.22%
用      U+07528              5        0.22%
站      U+07AD9              5        0.22%
端      U+07AEF              5        0.22%
类      U+07C7B              5        0.22%
精      U+07CBE              5        0.22%
能      U+080FD              5        0.22%
转      U+08F6C              5        0.22%
鲁      U+09C81              5        0.22%
三      U+04E09              4        0.17%
代      U+04EE3              4        0.17%
余      U+04F59              4        0.17%
准      U+051C6              4        0.17%
出      U+051FA              4        0.17%
压      U+0538B              4        0.17%
友      U+053CB              4        0.17%
型      U+0578B              4        0.17%
备      U+05907              4        0.17%
外      U+05916              4        0.17%
容      U+05BB9              4        0.17%
小      U+05C0F              4        0.17%
局      U+05C40              4        0.17%
接      U+063A5              4        0.17%
搭      U+0642D              4        0.17%
支      U+0652F              4        0.17%
时      U+065F6              4        0.17%
有      U+06709              4        0.17%
模      U+06A21              4        0.17%
汉      U+06C49              4        0.17%
活      U+06D3B              4        0.17%
海      U+06D77              4        0.17%
源      U+06E90              4        0.17%
点      U+070B9              4        0.17%
特      U+07279              4        0.17%
相      U+076F8              4        0.17%
级      U+07EA7              4        0.17%
老      U+08001              4        0.17%
茵      U+08335              4        0.17%
莱      U+083B1              4        0.17%
营      U+08425              4        0.17%
融      U+0878D              4        0.17%
补      U+08865              4        0.17%
议      U+08BAE              4        0.17%
语      U+08BED              4        0.17%
谋      U+08C0B              4        0.17%
越      U+08D8A              4        0.17%
践      U+08DF5              4        0.17%
输      U+08F93              4        0.17%
近      U+08FD1              4        0.17%
铁      U+094C1              4        0.17%
万      U+04E07              3        0.13%
上      U+04E0A              3        0.13%
下      U+04E0B              3        0.13%
企      U+04F01              3        0.13%
传      U+04F20              3        0.13%
低      U+04F4E              3        0.13%
保      U+04FDD              3        0.13%
值      U+0503C              3        0.13%
入      U+05165              3        0.13%
关      U+05173              3        0.13%
前      U+0524D              3        0.13%
势      U+052BF              3        0.13%
协      U+0534F              3        0.13%
及      U+053CA              3        0.13%
口      U+053E3              3        0.13%
向      U+05411              3        0.13%
周      U+05468              3        0.13%
命      U+0547D              3        0.13%
商      U+05546              3        0.13%
固      U+056FA              3        0.13%
均      U+05747              3        0.13%
域      U+057DF              3        0.13%
塞      U+0585E              3        0.13%
增      U+0589E              3        0.13%
天      U+05929              3        0.13%
守      U+05B88              3        0.13%
安      U+05B89              3        0.13%
带      U+05E26              3        0.13%
平      U+05E73              3        0.13%
底      U+05E95              3        0.13%
情      U+060C5              3        0.13%
感      U+0611F              3        0.13%
战      U+06218              3        0.13%
打      U+06253              3        0.13%
护      U+062A4              3        0.13%
排      U+06392              3        0.13%
控      U+063A7              3        0.13%
撑      U+06491              3        0.13%
断      U+065AD              3        0.13%
方      U+065B9              3        0.13%
易      U+06613              3        0.13%
月      U+06708              3        0.13%
条      U+06761              3        0.13%
来      U+06765              3        0.13%
板      U+0677F              3        0.13%
枢      U+067A2              3        0.13%
桥      U+06865              3        0.13%
沿      U+06CBF              3        0.13%
济      U+06D4E              3        0.13%
由      U+07531              3        0.13%
畅      U+07545              3        0.13%
略      U+07565              3        0.13%
空      U+07A7A              3        0.13%
突      U+07A81              3        0.13%
红      U+07EA2              3        0.13%
纽      U+07EBD              3        0.13%
终      U+07EC8              3        0.13%
统      U+07EDF              3        0.13%
绿      U+07EFF              3        0.13%
群      U+07FA4              3        0.13%
聚      U+0805A              3        0.13%
舟      U+0821F              3        0.13%
色      U+08272              3        0.13%
节      U+08282              3        0.13%
落      U+0843D              3        0.13%
装      U+088C5              3        0.13%
西      U+0897F              3        0.13%
让      U+08BA9              3        0.13%
证      U+08BC1              3        0.13%
货      U+08D27              3        0.13%
质      U+08D28              3        0.13%
赛      U+08D5B              3        0.13%
起      U+08D77              3        0.13%
超      U+08D85              3        0.13%
返      U+08FD4              3        0.13%
这      U+08FD9              3        0.13%
连      U+08FDE              3        0.13%
间      U+095F4              3        0.13%
零      U+096F6              3        0.13%
顺      U+0987A              3        0.13%
领      U+09886              3        0.13%
风      U+098CE              3        0.13%
驻      U+09A7B              3        0.13%
鲜      U+09C9C              3        0.13%
一      U+04E00              2        0.09%
世      U+04E16              2        0.09%
个      U+04E2A              2        0.09%
五      U+04E94              2        0.09%
享      U+04EAB              2        0.09%
从      U+04ECE              2        0.09%
他      U+04ED6              2        0.09%
件      U+04EF6              2        0.09%
价      U+04EF7              2        0.09%
众      U+04F17              2        0.09%
促      U+04FC3              2        0.09%
信      U+04FE1              2        0.09%
克      U+0514B              2        0.09%
党      U+0515A              2        0.09%
兴      U+05174              2        0.09%
其      U+05176              2        0.09%
具      U+05177              2        0.09%
击      U+051FB              2        0.09%
分      U+05206              2        0.09%
初      U+0521D              2        0.09%
刻      U+0523B              2        0.09%
加      U+052A0              2        0.09%
包      U+05305              2        0.09%
十      U+05341              2        0.09%
双      U+053CC              2        0.09%
受      U+053D7              2        0.09%
各      U+05404              2        0.09%
启      U+0542F              2        0.09%
和      U+0548C              2        0.09%
图      U+056FE              2        0.09%
在      U+05728              2        0.09%
坚      U+0575A              2        0.09%
基      U+057FA              2        0.09%
始      U+059CB              2        0.09%
密      U+05BC6              2        0.09%
就      U+05C31              2        0.09%
居      U+05C45              2        0.09%
岗      U+05C97              2        0.09%
干      U+05E72              2        0.09%
并      U+05E76              2        0.09%
序      U+05E8F              2        0.09%
府      U+05E9C              2        0.09%
座      U+05EA7              2        0.09%
张      U+05F20              2        0.09%
弱      U+05F31              2        0.09%
当      U+05F53              2        0.09%
形      U+05F62              2        0.09%
循      U+05FAA              2        0.09%
微      U+05FAE              2        0.09%
必      U+05FC5              2        0.09%
志      U+05FD7              2        0.09%
念      U+05FF5              2        0.09%
意      U+0610F              2        0.09%
扩      U+06269              2        0.09%
抗      U+06297              2        0.09%
推      U+063A8              2        0.09%
摄      U+06444              2        0.09%
攀      U+06500              2        0.09%
政      U+0653F              2        0.09%
日      U+065E5              2        0.09%
更      U+066F4              2        0.09%
最      U+06700              2        0.09%
机      U+0673A              2        0.09%
构      U+06784              2        0.09%
校      U+06821              2        0.09%
样      U+06837              2        0.09%
根      U+06839              2        0.09%
格      U+0683C              2        0.09%
横      U+06A2A              2        0.09%
次      U+06B21              2        0.09%
正      U+06B63              2        0.09%
每      U+06BCF              2        0.09%
淀      U+06DC0              2        0.09%
渝      U+06E1D              2        0.09%
灵      U+07075              2        0.09%
牢      U+07262              2        0.09%
环      U+073AF              2        0.09%
界      U+0754C              2        0.09%
直      U+076F4              2        0.09%
社      U+0793E              2        0.09%
秩      U+079E9              2        0.09%
立      U+07ACB              2        0.09%
筑      U+07B51              2        0.09%
箱      U+07BB1              2        0.09%
累      U+07D2F              2        0.09%
组      U+07EC4              2        0.09%
结      U+07ED3              2        0.09%
综      U+07EFC              2        0.09%
缘      U+07F18              2        0.09%
缩      U+07F29              2        0.09%
者      U+08005              2        0.09%
而      U+0800C              2        0.09%
育      U+080B2              2        0.09%
脉      U+08109              2        0.09%
至      U+081F3              2        0.09%
衡      U+08861              2        0.09%
表      U+08868              2        0.09%
角      U+089D2              2        0.09%
计      U+08BA1              2        0.09%
记      U+08BB0              2        0.09%
设      U+08BBE              2        0.09%
识      U+08BC6              2        0.09%
课      U+08BFE              2        0.09%
象      U+08C61              2        0.09%
豪      U+08C6A              2        0.09%
贯      U+08D2F              2        0.09%
资      U+08D44              2        0.09%
走      U+08D70              2        0.09%
载      U+08F7D              2        0.09%
达      U+08FBE              2        0.09%
过      U+08FC7              2        0.09%
进      U+08FDB              2        0.09%
速      U+0901F              2        0.09%
部      U+090E8              2        0.09%
里      U+091CC              2        0.09%
钢      U+094A2              2        0.09%
门      U+095E8              2        0.09%
险      U+09669              2        0.09%
需      U+09700              2        0.09%
青      U+09752              2        0.09%
预      U+09884              2        0.09%
馆      U+09986              2        0.09%
驱      U+09A71              2        0.09%
驼      U+09A7C              2        0.09%
龙      U+09F99              2        0.09%
专      U+04E13              1        0.04%
东      U+04E1C              1        0.04%
串      U+04E32              1        0.04%
临      U+04E34              1        0.04%
乐      U+04E50              1        0.04%
也      U+04E5F              1        0.04%
习      U+04E60              1        0.04%
了      U+04E86              1        0.04%
争      U+04E89              1        0.04%
二      U+04E8C              1        0.04%
于      U+04E8E              1        0.04%
亲      U+04EB2              1        0.04%
仓      U+04ED3              1        0.04%
们      U+04EEC              1        0.04%
伏      U+04F0F              1        0.04%
住      U+04F4F              1        0.04%
佳      U+04F73              1        0.04%
使      U+04F7F              1        0.04%
便      U+04FBF              1        0.04%
倍      U+0500D              1        0.04%
偿      U+0507F              1        0.04%
储      U+050A8              1        0.04%
催      U+050AC              1        0.04%
元      U+05143              1        0.04%
充      U+05145              1        0.04%
光      U+05149              1        0.04%
六      U+0516D              1        0.04%
写      U+05199              1        0.04%
军      U+0519B              1        0.04%
农      U+0519C              1        0.04%
冠      U+051A0              1        0.04%
况      U+051B5              1        0.04%
凝      U+051DD              1        0.04%
刚      U+0521A              1        0.04%
到      U+05230              1        0.04%
功      U+0529F              1        0.04%
务      U+052A1              1        0.04%
助      U+052A9              1        0.04%
勃      U+052C3              1        0.04%
勇      U+052C7              1        0.04%
北      U+05317              1        0.04%
医      U+0533B              1        0.04%
午      U+05348              1        0.04%
单      U+05355              1        0.04%
即      U+05373              1        0.04%
历      U+05386              1        0.04%
厚      U+0539A              1        0.04%
参      U+053C2              1        0.04%
后      U+0540E              1        0.04%
味      U+05473              1        0.04%
器      U+05668              1        0.04%
四      U+056DB              1        0.04%
回      U+056DE              1        0.04%
园      U+056ED              1        0.04%
困      U+056F0              1        0.04%
圈      U+05708              1        0.04%
土      U+0571F              1        0.04%
垒      U+05792              1        0.04%
堂      U+05802              1        0.04%
壁      U+058C1              1        0.04%
