Char   Codepoint     Frequency   Percentage
--------------------------------------------
花      U+082B1            462        1.09%
子      U+05B50            433        1.02%
的      U+07684            364        0.86%
金      U+091D1            359        0.84%
春      U+06625            345        0.81%
香      U+09999            318        0.75%
人      U+04EBA            312        0.73%
玉      U+07389            273        0.64%
风      U+098CE            245        0.58%
红      U+07EA2            244        0.57%
女      U+05973            229        0.54%
不      U+04E0D            222        0.52%
指      U+06307            214        0.50%
柳      U+067F3            214        0.50%
上      U+04E0A            210        0.49%
山      U+05C71            208        0.49%
江      U+06C5F            201        0.47%
相      U+076F8            197        0.46%
月      U+06708            193        0.45%
处      U+05904            191        0.45%
情      U+060C5            187        0.44%
云      U+04E91            185        0.43%
南      U+05357            182        0.43%
水      U+06C34            177        0.42%
一      U+04E00            176        0.41%
天      U+05929            175        0.41%
无      U+065E0            171        0.40%
翠      U+07FE0            162        0.38%
小      U+05C0F            161        0.38%
烟      U+070DF            158        0.37%
庭      U+05EAD            151        0.35%
时      U+065F6            148        0.35%
罗      U+07F57            147        0.35%
仙      U+04ED9            146        0.34%
长      U+0957F            146        0.34%
梦      U+068A6            145        0.34%
沙      U+06C99            145        0.34%
画      U+0753B            142        0.33%
溪      U+06EAA            141        0.33%
此      U+06B64            138        0.32%
如      U+05982            135        0.32%
愁      U+06101            134        0.31%
思      U+0601D            133        0.31%
绣      U+07EE3            133        0.31%
帘      U+05E18            132        0.31%
雨      U+096E8            132        0.31%
光      U+05149            124        0.29%
心      U+05FC3            122        0.29%
来      U+06765            120        0.28%
浣      U+06D63            119        0.28%
深      U+06DF1            119        0.28%
轻      U+08F7B            119        0.28%
声      U+058F0            118        0.28%
语      U+08BED            118        0.28%
楼      U+0697C            117        0.28%
日      U+065E5            116        0.27%
色      U+08272            114        0.27%
夜      U+0591C            112        0.26%
莺      U+083BA            112        0.26%
宫      U+05BAB            111        0.26%
屏      U+05C4F            111        0.26%
草      U+08349            111        0.26%
酒      U+09152            111        0.26%
双      U+053CC            110        0.26%
满      U+06EE1            110        0.26%
中      U+04E2D            109        0.26%
枝      U+0679D            109        0.26%
眉      U+07709            109        0.26%
美      U+07F8E            109        0.26%
里      U+091CC            108        0.25%
门      U+095E8            108        0.25%
归      U+05F52            107        0.25%
锦      U+09526            103        0.24%
明      U+0660E            102        0.24%
落      U+0843D             99        0.23%
黄      U+09EC4             99        0.23%
残      U+06B8B             98        0.23%
绿      U+07EFF             98        0.23%
在      U+05728             97        0.23%
妆      U+05986             97        0.23%
神      U+0795E             95        0.22%
蛮      U+086EE             95        0.22%
河      U+06CB3             94        0.22%
何      U+04F55             93        0.22%
恨      U+06068             93        0.22%
行      U+0884C             93        0.22%
为      U+04E3A             92        0.22%
事      U+04E8B             92        0.22%
代      U+04EE3             92        0.22%
暗      U+06697             92        0.22%
有      U+06709             92        0.22%
歌      U+06B4C             92        0.22%
凤      U+051E4             91        0.21%
去      U+053BB             91        0.21%
西      U+0897F             91        0.21%
碧      U+078A7             90        0.21%
欲      U+06B32             89        0.21%
泪      U+06CEA             89        0.21%
飞      U+098DE             89        0.21%
陽      U+0967D             88        0.21%
断      U+065AD             87        0.20%
空      U+07A7A             87        0.20%
枕      U+06795             86        0.20%
清      U+06E05             86        0.20%
秋      U+079CB             86        0.20%
窗      U+07A97             86        0.20%
别      U+0522B             85        0.20%
菩      U+083E9             84        0.20%
萨      U+08428             84        0.20%
垂      U+05782             82        0.19%
传      U+04F20             81        0.19%
见      U+089C1             80        0.19%
饰      U+09970             80        0.19%
名      U+0540D             79        0.19%
前      U+0524D             78        0.18%
年      U+05E74             78        0.18%
临      U+04E34             77        0.18%
兰      U+05170             77        0.18%
珠      U+073E0             77        0.18%
今      U+04ECA             76        0.18%
是      U+0662F             76        0.18%
远      U+08FDC             76        0.18%
重      U+091CD             76        0.18%
城      U+057CE             75        0.18%
平      U+05E73             75        0.18%
之      U+04E4B             74        0.17%
和      U+0548C             73        0.17%
地      U+05730             73        0.17%
得      U+05F97             73        0.17%
斜      U+0659C             73        0.17%
流      U+06D41             73        0.17%
漏      U+06F0F             73        0.17%
用      U+07528             73        0.17%
衣      U+08863             73        0.17%
郎      U+090CE             73        0.17%
马      U+09A6C             73        0.17%
鸳      U+09E33             73        0.17%
孙      U+05B59             72        0.17%
筠      U+07B60             72        0.17%
带      U+05E26             71        0.17%
温      U+06E29             71        0.17%
燕      U+071D5             71        0.17%
冠      U+051A0             70        0.16%
形      U+05F62             70        0.16%
晚      U+0665A             70        0.16%
芳      U+082B3             70        0.16%
更      U+066F4             69        0.16%
杨      U+06768             69        0.16%
叶      U+053F6             68        0.16%
容      U+05BB9             68        0.16%
曲      U+066F2             68        0.16%
粉      U+07C89             68        0.16%
半      U+0534A             67        0.16%
高      U+09AD8             67        0.16%
白      U+0767D             66        0.16%
王      U+0738B             65        0.15%
丝      U+04E1D             64        0.15%
君      U+0541B             64        0.15%
毛      U+06BDB             64        0.15%
寒      U+05BD2             63        0.15%
成      U+06210             63        0.15%
青      U+09752             63        0.15%
倚      U+0501A             62        0.15%
帝      U+05E1D             62        0.15%
所      U+06240             62        0.15%
生      U+0751F             62        0.15%
闲      U+095F2             62        0.15%
间      U+095F4             62        0.15%
以      U+04EE5             61        0.14%
头      U+05934             61        0.14%
宪      U+05BAA             61        0.14%
薄      U+08584             61        0.14%
雪      U+096EA             61        0.14%
千      U+05343             60        0.14%
顾      U+0987E             60        0.14%
乡      U+04E61             59        0.14%
望      U+0671B             59        0.14%
离      U+079BB             59        0.14%
家      U+05BB6             58        0.14%
起      U+08D77             58        0.14%
隔      U+09694             58        0.14%
魂      U+09B42             58        0.14%
三      U+04E09             57        0.13%
初      U+0521D             57        0.13%
后      U+0540E             57        0.13%
沉      U+06C89             57        0.13%
波      U+06CE2             57        0.13%
醉      U+09189             57        0.13%
露      U+09732             57        0.13%
两      U+04E24             56        0.13%
新      U+065B0             56        0.13%
越      U+08D8A             56        0.13%
乐      U+04E50             55        0.13%
依      U+04F9D             55        0.13%
入      U+05165             55        0.13%
含      U+0542B             55        0.13%
尽      U+05C3D             55        0.13%
晓      U+06653             55        0.13%
东      U+04E1C             54        0.13%
凝      U+051DD             54        0.13%
敻      U+0657B             54        0.13%
檀      U+06A80             54        0.13%
泉      U+06CC9             54        0.13%
脸      U+08138             54        0.13%
似      U+04F3C             53        0.12%
暮      U+066AE             53        0.12%
楚      U+0695A             53        0.12%
细      U+07EC6             53        0.12%
多      U+0591A             52        0.12%
寂      U+05BC2             52        0.12%
微      U+05FAE             52        0.12%
掩      U+063A9             52        0.12%
知      U+077E5             52        0.12%
荷      U+08377             52        0.12%
回      U+056DE             51        0.12%
树      U+06811             51        0.12%
舞      U+0821E             51        0.12%
下      U+04E0B             50        0.12%
华      U+0534E             50        0.12%
庄      U+05E84             50        0.12%
路      U+08DEF             50        0.12%
韦      U+097E6             50        0.12%
文      U+06587             49        0.12%
暖      U+06696             49        0.12%
边      U+08FB9             49        0.12%
鸯      U+09E2F             49        0.12%
信      U+04FE1             48        0.11%
古      U+053E4             48        0.11%
台      U+053F0             48        0.11%
娇      U+05A07             48        0.11%
对      U+05BF9             48        0.11%
正      U+06B63             48        0.11%
游      U+06E38             48        0.11%
钿      U+094BF             48        0.11%
冷      U+051B7             47        0.11%
国      U+056FD             47        0.11%
影      U+05F71             47        0.11%
牛      U+0725B             47        0.11%
缕      U+07F15             47        0.11%
自      U+081EA             47        0.11%
钗      U+09497             47        0.11%
书      U+04E66             46        0.11%
动      U+052A8             46        0.11%
十      U+05341             46        0.11%
发      U+053D1             46        0.11%
少      U+05C11             46        0.11%
忆      U+05FC6             46        0.11%
故      U+06545             46        0.11%
旧      U+065E7             46        0.11%
朝      U+0671D             46        0.11%
湘      U+06E58             46        0.11%
道      U+09053             46        0.11%
难      U+096BE             46        0.11%
啼      U+0557C             45        0.11%
好      U+0597D             45        0.11%
李      U+0674E             45        0.11%
杏      U+0674F             45        0.11%
横      U+06A2A             45        0.11%
卷      U+05377             44        0.10%
又      U+053C8             44        0.10%
吴      U+05434             44        0.10%
尘      U+05C18             44        0.10%
映      U+06620             44        0.10%
杯      U+0676F             44        0.10%
萧      U+08427             44        0.10%
喻      U+055BB             43        0.10%
外      U+05916             43        0.10%
炉      U+07089             43        0.10%
称      U+079F0             43        0.10%
还      U+08FD8             43        0.10%
鬓      U+09B13             43        0.10%
关      U+05173             42        0.10%
池      U+06C60             42        0.10%
苏      U+082CF             42        0.10%
银      U+094F6             42        0.10%
面      U+09762             42        0.10%
黛      U+09EDB             42        0.10%
即      U+05373             41        0.10%
开      U+05F00             41        0.10%
敛      U+0655B             41        0.10%
消      U+06D88             41        0.10%
竹      U+07AF9             41        0.10%
船      U+08239             41        0.10%
几      U+051E0             40        0.09%
堪      U+0582A             40        0.09%
张      U+05F20             40        0.09%
皇      U+07687             40        0.09%
笑      U+07B11             40        0.09%
约      U+07EA6             40        0.09%
纱      U+07EB1             40        0.09%
谢      U+08C22             40        0.09%
镜      U+0955C             40        0.09%
二      U+04E8C             39        0.09%
低      U+04F4E             39        0.09%
其      U+05176             39        0.09%
怅      U+06005             39        0.09%
期      U+0671F             39        0.09%
桃      U+06843             39        0.09%
节      U+08282             39        0.09%
与      U+04E0E             38        0.09%
吹      U+05439             38        0.09%
唐      U+05510             38        0.09%
意      U+0610F             38        0.09%
步      U+06B65             38        0.09%
殿      U+06BBF             38        0.09%
灯      U+0706F             38        0.09%
纤      U+07EA4             38        0.09%
莲      U+083B2             38        0.09%
谁      U+08C01             38        0.09%
比      U+06BD4             37        0.09%
洞      U+06D1E             37        0.09%
浦      U+06D66             37        0.09%
淡      U+06DE1             37        0.09%
珣      U+073E3             37        0.09%
结      U+07ED3             37        0.09%
蛾      U+086FE             37        0.09%
鸾      U+09E3E             37        0.09%
出      U+051FA             36        0.08%
同      U+0540C             36        0.08%
客      U+05BA2             36        0.08%
帐      U+05E10             36        0.08%
帷      U+05E37             36        0.08%
惊      U+060CA             36        0.08%
桥      U+06865             36        0.08%
汉      U+06C49             36        0.08%
照      U+07167             36        0.08%
肠      U+080A0             36        0.08%
裙      U+088D9             36        0.08%
遥      U+09065             36        0.08%
闺      U+095FA             36        0.08%
摇      U+06447             35        0.08%
点      U+070B9             35        0.08%
独      U+072EC             35        0.08%
阁      U+09601             35        0.08%
音      U+097F3             35        0.08%
万      U+04E07             34        0.08%
岸      U+05CB8             34        0.08%
应      U+05E94             34        0.08%
物      U+07269             34        0.08%
艳      U+08273             34        0.08%
袖      U+08896             34        0.08%
霞      U+0971E             34        0.08%
鸟      U+09E1F             34        0.08%
刘      U+05218             33        0.08%
峤      U+05CE4             33        0.08%
州      U+05DDE             33        0.08%
惆      U+060C6             33        0.08%
条      U+06761             33        0.08%
狂      U+072C2             33        0.08%
笼      U+07B3C             33        0.08%
经      U+07ECF             33        0.08%
蝉      U+08749             33        0.08%
雁      U+096C1             33        0.08%
髻      U+09AFB             33        0.08%
作      U+04F5C             32        0.08%
堂      U+05802             32        0.08%
巫      U+05DEB             32        0.08%
想      U+060F3             32        0.08%
手      U+0624B             32        0.08%
拂      U+062C2             32        0.08%
晴      U+06674             32        0.08%
浓      U+06D53             32        0.08%
背      U+080CC             32        0.08%
衷      U+08877             32        0.08%
解      U+089E3             32        0.08%
五      U+04E94             31        0.07%
佩      U+04F69             31        0.07%
塘      U+05858             31        0.07%
景      U+0666F             31        0.07%
木      U+06728             31        0.07%
胜      U+080DC             31        0.07%
说      U+08BF4             31        0.07%
车      U+08F66             31        0.07%
过      U+08FC7             31        0.07%
震      U+09707             31        0.07%
首      U+09996             31        0.07%
鬟      U+09B1F             31        0.07%
度      U+05EA6             30        0.07%
星      U+0661F             30        0.07%
昭      U+0662D             30        0.07%
槛      U+069DB             30        0.07%
欢      U+06B22             30        0.07%
滴      U+06EF4             30        0.07%
腻      U+0817B             30        0.07%
袅      U+08885             30        0.07%
这      U+08FD9             30        0.07%
麝      U+09E9D             30        0.07%
北      U+05317             29        0.07%
寞      U+05BDE             29        0.07%
居      U+05C45             29        0.07%
市      U+05E02             29        0.07%
怨      U+06028             29        0.07%
教      U+06559             29        0.07%
熙      U+07199             29        0.07%
犹      U+072B9             29        0.07%
疏      U+0758F             29        0.07%
立      U+07ACB             29        0.07%
虞      U+0865E             29        0.07%
觉      U+089C9             29        0.07%
迟      U+08FDF             29        0.07%
锡      U+09521             29        0.07%
静      U+09759             29        0.07%
棹      U+068F9             28        0.07%
看      U+0770B             28        0.07%
萋      U+0840B             28        0.07%
诉      U+08BC9             28        0.07%
词      U+08BCD             28        0.07%
院      U+09662             28        0.07%
陵      U+09675             28        0.07%
九      U+04E5D             27        0.06%
六      U+0516D             27        0.06%
分      U+05206             27        0.06%
孤      U+05B64             27        0.06%
宝      U+05B9D             27        0.06%
寻      U+05BFB             27        0.06%
将      U+05C06             27        0.06%
已      U+05DF2             27        0.06%
惹      U+060F9             27        0.06%
未      U+0672A             27        0.06%
