Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684            344        2.08%
中      U+04E2D            220        1.33%
一      U+04E00            217        1.31%
作      U+04F5C            188        1.14%
指      U+06307            183        1.11%
词      U+08BCD            164        0.99%
花      U+082B1            135        0.82%
人      U+04EBA            126        0.76%
有      U+06709            124        0.75%
唐      U+05510            118        0.71%
春      U+06625            113        0.68%
李      U+0674E            113        0.68%
南      U+05357            109        0.66%
诗      U+08BD7            107        0.65%
本      U+0672C            101        0.61%
子      U+05B50            100        0.61%
主      U+04E3B             95        0.58%
二      U+04E8C             93        0.56%
不      U+04E0D             92        0.56%
是      U+0662F             86        0.52%
月      U+06708             84        0.51%
里      U+091CC             83        0.50%
之      U+04E4B             81        0.49%
代      U+04EE3             79        0.48%
后      U+0540E             77        0.47%
时      U+065F6             77        0.47%
用      U+07528             74        0.45%
香      U+09999             73        0.44%
上      U+04E0A             72        0.44%
这      U+08FD9             72        0.44%
女      U+05973             70        0.42%
以      U+04EE5             69        0.42%
煜      U+0715C             69        0.42%
古      U+053E4             67        0.41%
为      U+04E3A             64        0.39%
声      U+058F0             61        0.37%
风      U+098CE             61        0.37%
云      U+04E91             60        0.36%
玉      U+07389             58        0.35%
形      U+05F62             57        0.35%
在      U+05728             56        0.34%
句      U+053E5             54        0.33%
意      U+0610F             54        0.33%
年      U+05E74             53        0.32%
长      U+0957F             53        0.32%
来      U+06765             51        0.31%
天      U+05929             50        0.30%
如      U+05982             50        0.30%
情      U+060C5             50        0.30%
秋      U+079CB             50        0.30%
金      U+091D1             50        0.30%
称      U+079F0             49        0.30%
水      U+06C34             48        0.29%
今      U+04ECA             47        0.28%
容      U+05BB9             47        0.28%
色      U+08272             47        0.28%
国      U+056FD             46        0.28%
江      U+06C5F             46        0.28%
思      U+0601D             45        0.27%
无      U+065E0             45        0.27%
红      U+07EA2             45        0.27%
远      U+08FDC             45        0.27%
美      U+07F8E             43        0.26%
地      U+05730             42        0.25%
成      U+06210             42        0.25%
乐      U+04E50             41        0.25%
梦      U+068A6             41        0.25%
草      U+08349             41        0.25%
说      U+08BF4             41        0.25%
光      U+05149             39        0.24%
即      U+05373             39        0.24%
夜      U+0591C             39        0.24%
日      U+065E5             39        0.24%
楼      U+0697C             39        0.24%
全      U+05168             38        0.23%
相      U+076F8             38        0.23%
而      U+0800C             38        0.23%
下      U+04E0B             37        0.22%
和      U+0548C             37        0.22%
清      U+06E05             37        0.22%
落      U+0843D             37        0.22%
集      U+096C6             37        0.22%
了      U+04E86             36        0.22%
去      U+053BB             36        0.22%
帘      U+05E18             36        0.22%
明      U+0660E             36        0.22%
过      U+08FC7             35        0.21%
传      U+04F20             34        0.21%
均      U+05747             34        0.21%
寒      U+05BD2             34        0.21%
间      U+095F4             34        0.21%
发      U+053D1             33        0.20%
名      U+0540D             33        0.20%
吹      U+05439             33        0.20%
山      U+05C71             33        0.20%
开      U+05F00             33        0.20%
愁      U+06101             33        0.20%
新      U+065B0             33        0.20%
歌      U+06B4C             33        0.20%
深      U+06DF1             33        0.20%
白      U+0767D             33        0.20%
于      U+04E8E             32        0.19%
酒      U+09152             32        0.19%
醉      U+09189             32        0.19%
余      U+04F59             31        0.19%
凤      U+051E4             31        0.19%
前      U+0524D             31        0.19%
多      U+0591A             31        0.19%
宋      U+05B8B             31        0.19%
断      U+065AD             31        0.19%
树      U+06811             31        0.19%
重      U+091CD             31        0.19%
晚      U+0665A             30        0.18%
三      U+04E09             29        0.18%
书      U+04E66             29        0.18%
叶      U+053F6             29        0.18%
种      U+079CD             29        0.18%
衣      U+08863             29        0.18%
雨      U+096E8             29        0.18%
事      U+04E8B             28        0.17%
别      U+0522B             28        0.17%
可      U+053EF             28        0.17%
台      U+053F0             28        0.17%
心      U+05FC3             28        0.17%
泪      U+06CEA             28        0.17%
西      U+0897F             28        0.17%
何      U+04F55             27        0.16%
初      U+0521D             27        0.16%
又      U+053C8             27        0.16%
样      U+06837             27        0.16%
此      U+06B64             27        0.16%
等      U+07B49             27        0.16%
制      U+05236             26        0.16%
庭      U+05EAD             26        0.16%
柳      U+067F3             26        0.16%
汉      U+06C49             26        0.16%
流      U+06D41             26        0.16%
出      U+051FA             25        0.15%
同      U+0540C             25        0.15%
头      U+05934             25        0.15%
归      U+05F52             25        0.15%
所      U+06240             25        0.15%
望      U+0671B             25        0.15%
竹      U+07AF9             25        0.15%
见      U+089C1             25        0.15%
音      U+097F3             25        0.15%
其      U+05176             24        0.15%
吴      U+05434             24        0.15%
常      U+05E38             24        0.15%
或      U+06216             24        0.15%
故      U+06545             24        0.15%
更      U+066F4             24        0.15%
桃      U+06843             24        0.15%
残      U+06B8B             24        0.15%
璟      U+0749F             24        0.15%
起      U+08D77             24        0.15%
阳      U+09633             24        0.15%
飞      U+098DE             24        0.15%
世      U+04E16             23        0.14%
到      U+05230             23        0.14%
十      U+05341             23        0.14%
器      U+05668             23        0.14%
处      U+05904             23        0.14%
好      U+0597D             23        0.14%
尽      U+05C3D             23        0.14%
帝      U+05E1D             23        0.14%
带      U+05E26             23        0.14%
恨      U+06068             23        0.14%
林      U+06797             23        0.14%
生      U+0751F             23        0.14%
笙      U+07B19             23        0.14%
自      U+081EA             23        0.14%
轻      U+08F7B             23        0.14%
还      U+08FD8             23        0.14%
高      U+09AD8             23        0.14%
也      U+04E5F             22        0.13%
外      U+05916             22        0.13%
已      U+05DF2             22        0.13%
樱      U+06A31             22        0.13%
王      U+0738B             22        0.13%
着      U+07740             22        0.13%
井      U+04E95             21        0.13%
堂      U+05802             21        0.13%
宫      U+05BAB             21        0.13%
小      U+05C0F             21        0.13%
注      U+06CE8             21        0.13%
然      U+07136             21        0.13%
窗      U+07A97             21        0.13%
编      U+07F16             21        0.13%
闲      U+095F2             21        0.13%
从      U+04ECE             20        0.12%
比      U+06BD4             20        0.12%
画      U+0753B             20        0.12%
眉      U+07709             20        0.12%
笼      U+07B3C             20        0.12%
箫      U+07BAB             20        0.12%
芳      U+082B3             20        0.12%
随      U+0968F             20        0.12%
饰      U+09970             20        0.12%
依      U+04F9D             19        0.12%
动      U+052A8             19        0.12%
双      U+053CC             19        0.12%
因      U+056E0             19        0.12%
大      U+05927             19        0.12%
少      U+05C11             19        0.12%
曲      U+066F2             19        0.12%
栏      U+0680F             19        0.12%
沙      U+06C99             19        0.12%
珠      U+073E0             19        0.12%
统      U+07EDF             19        0.12%
能      U+080FD             19        0.12%
行      U+0884C             19        0.12%
与      U+04E0E             18        0.11%
东      U+04E1C             18        0.11%
历      U+05386             18        0.11%
回      U+056DE             18        0.11%
妇      U+05987             18        0.11%
尊      U+05C0A             18        0.11%
空      U+07A7A             18        0.11%
萧      U+08427             18        0.11%
言      U+08A00             18        0.11%
钩      U+094A9             18        0.11%
阶      U+09636             18        0.11%
雪      U+096EA             18        0.11%
颜      U+0989C             18        0.11%
魂      U+09B42             18        0.11%
位      U+04F4D             17        0.10%
像      U+050CF             17        0.10%
四      U+056DB             17        0.10%
妆      U+05986             17        0.10%
彻      U+05F7B             17        0.10%
得      U+05F97             17        0.10%
泛      U+06CDB             17        0.10%
游      U+06E38             17        0.10%
留      U+07559             17        0.10%
绿      U+07EFF             17        0.10%
舞      U+0821E             17        0.10%
苏      U+082CF             17        0.10%
记      U+08BB0             17        0.10%
谢      U+08C22             17        0.10%
鼓      U+09F13             17        0.10%
信      U+04FE1             16        0.10%
凭      U+051ED             16        0.10%
北      U+05317             16        0.10%
千      U+05343             16        0.10%
太      U+0592A             16        0.10%
家      U+05BB6             16        0.10%
将      U+05C06             16        0.10%
居      U+05C45             16        0.10%
破      U+07834             16        0.10%
管      U+07BA1             16        0.10%
粹      U+07CB9             16        0.10%
被      U+088AB             16        0.10%
遥      U+09065             16        0.10%
阑      U+09611             16        0.10%
雁      U+096C1             16        0.10%
飘      U+098D8             16        0.10%
龙      U+09F99             16        0.10%
侯      U+04FAF             15        0.09%
城      U+057CE             15        0.09%
数      U+06570             15        0.09%
文      U+06587             15        0.09%
气      U+06C14             15        0.09%
沈      U+06C88             15        0.09%
秦      U+079E6             15        0.09%
约      U+07EA6             15        0.09%
细      U+07EC6             15        0.09%
续      U+07EED             15        0.09%
蓬      U+084EC             15        0.09%
补      U+08865             15        0.09%
身      U+08EAB             15        0.09%
通      U+0901A             15        0.09%
陵      U+09675             15        0.09%
鬓      U+09B13             15        0.09%
万      U+04E07             14        0.08%
仙      U+04ED9             14        0.08%
似      U+04F3C             14        0.08%
喻      U+055BB             14        0.08%
奏      U+0594F             14        0.08%
层      U+05C42             14        0.08%
方      U+065B9             14        0.08%
枝      U+0679D             14        0.08%
满      U+06EE1             14        0.08%
烟      U+070DF             14        0.08%
独      U+072EC             14        0.08%
眼      U+0773C             14        0.08%
纤      U+07EA4             14        0.08%
话      U+08BDD             14        0.08%
赋      U+08D4B             14        0.08%
边      U+08FB9             14        0.08%
面      U+09762             14        0.08%
京      U+04EAC             13        0.08%
令      U+04EE4             13        0.08%
半      U+0534A             13        0.08%
受      U+053D7             13        0.08%
口      U+053E3             13        0.08%
吕      U+05415             13        0.08%
奴      U+05974             13        0.08%
字      U+05B57             13        0.08%
定      U+05B9A             13        0.08%
平      U+05E73             13        0.08%
微      U+05FAE             13        0.08%
散      U+06563             13        0.08%
暮      U+066AE             13        0.08%
正      U+06B63             13        0.08%
殿      U+06BBF             13        0.08%
烛      U+070DB             13        0.08%
物      U+07269             13        0.08%
睡      U+07761             13        0.08%
离      U+079BB             13        0.08%
罗      U+07F57             13        0.08%
遍      U+0904D             13        0.08%
钗      U+09497             13        0.08%
院      U+09662             13        0.08%
难      U+096BE             13        0.08%
青      U+09752             13        0.08%
马      U+09A6C             13        0.08%
丝      U+04E1D             12        0.07%
两      U+04E24             12        0.07%
临      U+04E34             12        0.07%
九      U+04E5D             12        0.07%
元      U+05143             12        0.07%
华      U+0534E             12        0.07%
印      U+05370             12        0.07%
卷      U+05377             12        0.07%
史      U+053F2             12        0.07%
各      U+05404             12        0.07%
啼      U+0557C             12        0.07%
垂      U+05782             12        0.07%
塞      U+0585E             12        0.07%
宗      U+05B97             12        0.07%
对      U+05BF9             12        0.07%
应      U+05E94             12        0.07%
户      U+06237             12        0.07%
捣      U+06363             12        0.07%
暗      U+06697             12        0.07%
柔      U+067D4             12        0.07%
楚      U+0695A             12        0.07%
檀      U+06A80             12        0.07%
欢      U+06B22             12        0.07%
消      U+06D88             12        0.07%
犹      U+072B9             12        0.07%
百      U+0767E             12        0.07%
笛      U+07B1B             12        0.07%
羯      U+07FAF             12        0.07%
翠      U+07FE0             12        0.07%
者      U+08005             12        0.07%
般      U+0822C             12        0.07%
薄      U+08584             12        0.07%
语      U+08BED             12        0.07%
谁      U+08C01             12        0.07%
载      U+08F7D             12        0.07%
选      U+09009             12        0.07%
锁      U+09501             12        0.07%
雕      U+096D5             12        0.07%
首      U+09996             12        0.07%
倚      U+0501A             11        0.07%
八      U+0516B             11        0.07%
号      U+053F7             11        0.07%
向      U+05411             11        0.07%
封      U+05C01             11        0.07%
府      U+05E9C             11        0.07%
度      U+05EA6             11        0.07%
建      U+05EFA             11        0.07%
恩      U+06069             11        0.07%
放      U+0653E             11        0.07%
教      U+06559             11        0.07%
整      U+06574             11        0.07%
旧      U+065E7             11        0.07%
晓      U+06653             11        0.07%
景      U+0666F             11        0.07%
朝      U+0671D             11        0.07%
步      U+06B65             11        0.07%
池      U+06C60             11        0.07%
没      U+06CA1             11        0.07%
沾      U+06CBE             11        0.07%
点      U+070B9             11        0.07%
爱      U+07231             11        0.07%
片      U+07247             11        0.07%
皱      U+076B1             11        0.07%
知      U+077E5             11        0.07%
砌      U+0780C             11        0.07%
禁      U+07981             11        0.07%
笑      U+07B11             11        0.07%
经      U+07ECF             11        0.07%
老      U+08001             11        0.07%
脸      U+08138             11        0.07%
莱      U+083B1             11        0.07%
觉      U+089C9             11        0.07%
误      U+08BEF             11        0.07%
谓      U+08C13             11        0.07%
象      U+08C61             11        0.07%
郎      U+090CE             11        0.07%
亦      U+04EA6             10        0.06%
几      U+051E0             10        0.06%
含      U+0542B             10        0.06%
奈      U+05948             10        0.06%
州      U+05DDE             10        0.06%
干      U+05E72             10        0.06%
惊      U+060CA             10        0.06%
手      U+0624B             10        0.06%
斜      U+0659C             10        0.06%
晨      U+06668             10        0.06%
最      U+06700             10        0.06%
期      U+0671F             10        0.06%
木      U+06728             10        0.06%
未      U+0672A             10        0.06%
杜      U+0675C             10        0.06%
欲      U+06B32             10        0.06%
河      U+06CB3             10        0.06%
波      U+06CE2             10        0.06%
浣      U+06D63             10        0.06%
淮      U+06DEE             10        0.06%
溪      U+06EAA             10        0.06%
真      U+0771F             10        0.06%
砧      U+07827             10        0.06%
苑      U+082D1             10        0.06%
袖      U+08896             10        0.06%
谱      U+08C31             10        0.06%
迷      U+08FF7             10        0.06%
铜      U+094DC             10        0.06%
闻      U+095FB             10        0.06%
隐      U+09690             10        0.06%
鸟      U+09E1F             10        0.06%
丁      U+04E01              9        0.05%
五      U+04E94              9        0.05%
亭      U+04EAD              9        0.05%
低      U+04F4E              9        0.05%
住      U+04F4F              9        0.05%
儿      U+0513F              9        0.05%
公      U+0516C              9        0.05%
列      U+05217              9        0.05%
君      U+0541B              9        0.05%
味      U+05473              9        0.05%
响      U+054CD              9        0.05%
失      U+05931              9        0.05%
床      U+05E8A              9        0.05%
征      U+05F81              9        0.05%
很      U+05F88              9        0.05%
感      U+0611F              9        0.05%
慢      U+06162              9        0.05%
慵      U+06175              9        0.05%
曾      U+066FE              9        0.05%
杆      U+06746              9        0.05%
梧      U+068A7              9        0.05%
武      U+06B66              9        0.05%
沉      U+06C89              9        0.05%
洲      U+06D32              9        0.05%
浮      U+06D6E              9        0.05%
渐      U+06E10              9        0.05%
熏      U+0718F              9        0.05%
看      U+0770B              9        0.05%
纪      U+07EAA              9        0.05%
织      U+07EC7              9        0.05%
绣      U+07EE3              9        0.05%
读      U+08BFB              9        0.05%
辘      U+08F98              9        0.05%
连      U+08FDE              9        0.05%
门      U+095E8              9        0.05%
频      U+09891              9        0.05%
鱼      U+09C7C              9        0.05%
丽      U+04E3D              8        0.05%
乱      U+04E71              8        0.05%
亮      U+04EAE              8        0.05%
他      U+04ED6              8        0.05%
任      U+04EFB              8        0.05%
伤      U+04F24              8        0.05%
佩      U+04F69              8        0.05%
使      U+04F7F              8        0.05%
匈      U+05308              8        0.05%
厌      U+0538C              8        0.05%
只      U+053EA              8        0.05%
叫      U+053EB              8        0.05%
安      U+05B89              8        0.05%
宴      U+05BB4              8        0.05%
庙      U+05E99              8        0.05%
徐      U+05F90              8        0.05%
快      U+05FEB              8        0.05%
怅      U+06005              8        0.05%
总      U+0603B              8        0.05%
恶      U+06076              8        0.05%
早      U+065E9              8        0.05%
朱      U+06731              8        0.05%
枕      U+06795              8        0.05%
枫      U+067AB              8        0.05%
梅      U+06885              8        0.05%
死      U+06B7B              8        0.05%
润      U+06DA6              8        0.05%
炉      U+07089              8        0.05%
琴      U+07434              8        0.05%
病      U+075C5              8        0.05%
皇      U+07687              8        0.05%
粉      U+07C89              8        0.05%
系      U+07CFB              8        0.05%
绘      U+07ED8              8        0.05%
绝      U+07EDD              8        0.05%
至      U+081F3              8        0.05%
英      U+082F1              8        0.05%
蛮      U+086EE              8        0.05%
评      U+08BC4              8        0.05%
趣      U+08DA3              8        0.05%
转      U+08F6C              8        0.05%
辽      U+08FBD              8        0.05%
都      U+090FD              8        0.05%
醒      U+09192              8        0.05%
镇      U+09547              8        0.05%
静      U+09759              8        0.05%
须      U+0987B              8        0.05%
鸡      U+09E21              8        0.05%
鸿      U+09E3F              8        0.05%
个      U+04E2A              7        0.04%
会      U+04F1A              7        0.04%
但      U+04F46              7        0.04%
体      U+04F53              7        0.04%
佳      U+04F73              7        0.04%
便      U+04FBF              7        0.04%
内      U+05185              7        0.04%
冷      U+051B7              7        0.04%
凰      U+051F0              7        0.04%
区      U+0533A              7        0.04%
却      U+05374              7        0.04%
县      U+053BF              7        0.04%
善      U+05584              7        0.04%
园      U+056ED              7        0.04%
坠      U+05760              7        0.04%
堪      U+0582A              7        0.04%
始      U+059CB              7        0.04%
嫩      U+05AE9              7        0.04%
完      U+05B8C              7        0.04%
寻      U+05BFB              7        0.04%
弄      U+05F04              7        0.04%
引      U+05F15              7        0.04%
往      U+05F80              7        0.04%
待      U+05F85              7        0.04%
怀      U+06000              7        0.04%
打      U+06253              7        0.04%
承      U+0627F              7        0.04%
按      U+06309              7        0.04%
排      U+06392              7        0.04%
料      U+06599              7        0.04%
晋      U+0664B              7        0.04%
晴      U+06674              7        0.04%
杯      U+0676F              7        0.04%
极      U+06781              7        0.04%
格      U+0683C              7        0.04%
横      U+06A2A              7        0.04%
毛      U+06BDB              7        0.04%
浪      U+06D6A              7        0.04%
漏      U+06F0F              7        0.04%
漫      U+06F2B              7        0.04%
潘      U+06F58              7        0.04%
照      U+07167              7        0.04%
状      U+072B6              7        0.04%
环      U+073AF              7        0.04%
琼      U+0743C              7        0.04%
瑶      U+07476              7        0.04%
祖      U+07956              7        0.04%
神      U+0795E              7        0.04%
移      U+079FB              7        0.04%
第      U+07B2C              7        0.04%
篇      U+07BC7              7        0.04%
类      U+07C7B              7        0.04%
羌      U+07F8C              7        0.04%
翁      U+07FC1              7        0.04%
肠      U+080A0              7        0.04%
脂      U+08102              7        0.04%
莫      U+083AB              7        0.04%
菩      U+083E9              7        0.04%
萨      U+08428              7        0.04%
蕊      U+0854A              7        0.04%
表      U+08868              7        0.04%
裳      U+088F3              7        0.04%
要      U+08981              7        0.04%
讷      U+08BB7              7        0.04%
调      U+08C03              7        0.04%
车      U+08F66              7        0.04%
限      U+09650              7        0.04%
雾      U+096FE              7        0.04%
霜      U+0971C              7        0.04%
黛      U+09EDB              7        0.04%
七      U+04E03              6        0.04%
乌      U+04E4C              6        0.04%
乔      U+04E54              6        0.04%
先      U+05148              6        0.04%
入      U+05165              6        0.04%
共      U+05171              6        0.04%
兴      U+05174              6        0.04%
冉      U+05189              6        0.04%
军      U+0519B              6        0.04%
冯      U+051AF              6        0.04%
刘      U+05218              6        0.04%
力      U+0529B              6        0.04%
原      U+0539F              6        0.04%
取      U+053D6              6        0.04%
周      U+05468              6        0.04%
品      U+054C1              6        0.04%
唱      U+05531              6        0.04%
喜      U+0559C              6        0.04%
土      U+0571F              6        0.04%
堤      U+05824              6        0.04%
娇      U+05A07              6        0.04%
客      U+05BA2              6        0.04%
寐      U+05BD0              6        0.04%
就      U+05C31              6        0.04%
屑      U+05C51              6        0.04%
岁      U+05C81              6        0.04%
巳      U+05DF3              6        0.04%
幕      U+05E55              6        0.04%
延      U+05EF6              6        0.04%
廷      U+05EF7              6        0.04%
当      U+05F53              6        0.04%
影      U+05F71              6        0.04%
急      U+06025              6        0.04%
想      U+060F3              6        0.04%
我      U+06211              6        0.04%
才      U+0624D              6        0.04%
拂      U+062C2              6        0.04%
拈      U+062C8              6        0.04%
据      U+0636E              6        0.04%
接      U+063A5              6        0.04%
改      U+06539              6        0.04%
旋      U+065CB              6        0.04%
易      U+06613              6        0.04%
昨      U+06628              6        0.04%
暂      U+06682              6        0.04%
条      U+06761              6        0.04%
根      U+06839              6        0.04%
桐      U+06850              6        0.04%
次      U+06B21              6        0.04%
法      U+06CD5              6        0.04%
淡      U+06DE1              6        0.04%
潺      U+06F7A              6        0.04%
灰      U+07070              6        0.04%
燕      U+071D5              6        0.04%
牙      U+07259              6        0.04%
男      U+07537              6        0.04%
登      U+0767B              6        0.04%
穆      U+07A46              6        0.04%
簧      U+07C27              6        0.04%
粲      U+07CB2              6        0.04%
精      U+07CBE              6        0.04%
素      U+07D20              6        0.04%
紧      U+07D27              6        0.04%
紫      U+07D2B              6        0.04%
絮      U+07D6E              6        0.04%
结      U+07ED3              6        0.04%
继      U+07EE7              6        0.04%
罩      U+07F69              6        0.04%
翻      U+07FFB              6        0.04%
胜      U+080DC              6        0.04%
胭      U+080ED              6        0.04%
脆      U+08106              6        0.04%
虞      U+0865E              6        0.04%
蝉      U+08749              6        0.04%
蝶      U+08776              6        0.04%
螺      U+087BA              6        0.04%
衰      U+08870              6        0.04%
装      U+088C5              6        0.04%
解      U+089E3              6        0.04%
许      U+08BB8              6        0.04%
赠      U+08D60              6        0.04%
足      U+08DB3              6        0.04%
轳      U+08F73              6        0.04%
近      U+08FD1              6        0.04%
追      U+08FFD              6        0.04%
逝      U+0901D              6        0.04%
遂      U+09042              6        0.04%
遗      U+09057              6        0.04%
采      U+091C7              6        0.04%
销      U+09500              6        0.04%
锵      U+09535              6        0.04%
阁      U+09601              6        0.04%
降      U+0964D              6        0.04%
雅      U+096C5              6        0.04%
霏      U+0970F              6        0.04%
非      U+0975E              6        0.04%
靠      U+09760              6        0.04%
髻      U+09AFB              6        0.04%
鬟      U+09B1F              6        0.04%
鲜      U+09C9C              6        0.04%
鸣      U+09E23              6        0.04%
黄      U+09EC4              6        0.04%
丈      U+04E08              5        0.03%
久      U+04E45              5        0.03%
乍      U+04E4D              5        0.03%
乡      U+04E61              5        0.03%
争      U+04E89              5        0.03%
休      U+04F11              5        0.03%
众      U+04F17              5        0.03%
供      U+04F9B              5        0.03%
偏      U+0504F              5        0.03%
做      U+0505A              5        0.03%
免      U+0514D              5        0.03%
兵      U+05175              5        0.03%
凉      U+051C9              5        0.03%
及      U+053CA              5        0.03%
变      U+053D8              5        0.03%
哀      U+054C0              5        0.03%
嚼      U+056BC              5        0.03%
娥      U+05A25              5        0.03%
季      U+05B63              5        0.03%
寄      U+05BC4              5        0.03%
尘      U+05C18              5        0.03%
尺      U+05C3A              5        0.03%
屏      U+05C4F              5        0.03%
序      U+05E8F              5        0.03%
底      U+05E95              5        0.03%
弦      U+05F26              5        0.03%
彭      U+05F6D              5        0.03%
态      U+06001              5        0.03%
悠      U+060A0              5        0.03%
惆      U+060C6              5        0.03%
惜      U+060DC              5        0.03%
族      U+065CF              5        0.03%
昌      U+0660C              5        0.03%
昼      U+0663C              5        0.03%
晌      U+0664C              5        0.03%
杀      U+06740              5        0.03%
杨      U+06768              5        0.03%
枯      U+067AF              5        0.03%
桑      U+06851              5        0.03%
梁      U+06881              5        0.03%
梭      U+068AD              5        0.03%
梳      U+068B3              5        0.03%
植      U+0690D              5        0.03%
模      U+06A21              5        0.03%
永      U+06C38              5        0.03%
汴      U+06C74              5        0.03%
泊      U+06CCA              5        0.03%
洁      U+06D01              5        0.03%
滚      U+06EDA              5        0.03%
灭      U+0706D              5        0.03%
玩      U+073A9              5        0.03%
珍      U+073CD              5        0.03%
理      U+07406              5        0.03%
由      U+07531              5        0.03%
