Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684            708        1.20%
花      U+082B1            597        1.01%
子      U+05B50            533        0.90%
春      U+06625            458        0.78%
人      U+04EBA            438        0.74%
金      U+091D1            409        0.69%
指      U+06307            397        0.67%
一      U+04E00            393        0.67%
香      U+09999            391        0.66%
玉      U+07389            331        0.56%
中      U+04E2D            329        0.56%
不      U+04E0D            314        0.53%
风      U+098CE            306        0.52%
女      U+05973            299        0.51%
南      U+05357            291        0.49%
红      U+07EA2            289        0.49%
上      U+04E0A            282        0.48%
月      U+06708            277        0.47%
江      U+06C5F            247        0.42%
云      U+04E91            245        0.41%
山      U+05C71            241        0.41%
柳      U+067F3            240        0.41%
情      U+060C5            237        0.40%
相      U+076F8            235        0.40%
天      U+05929            225        0.38%
时      U+065F6            225        0.38%
水      U+06C34            225        0.38%
作      U+04F5C            220        0.37%
无      U+065E0            216        0.37%
有      U+06709            216        0.37%
处      U+05904            214        0.36%
长      U+0957F            199        0.34%
词      U+08BCD            192        0.33%
里      U+091CC            191        0.32%
梦      U+068A6            186        0.31%
如      U+05982            185        0.31%
小      U+05C0F            182        0.31%
声      U+058F0            179        0.30%
思      U+0601D            178        0.30%
庭      U+05EAD            177        0.30%
翠      U+07FE0            174        0.29%
烟      U+070DF            172        0.29%
代      U+04EE3            171        0.29%
来      U+06765            171        0.29%
帘      U+05E18            168        0.28%
愁      U+06101            167        0.28%
此      U+06B64            165        0.28%
沙      U+06C99            164        0.28%
光      U+05149            163        0.28%
是      U+0662F            162        0.27%
画      U+0753B            162        0.27%
色      U+08272            161        0.27%
雨      U+096E8            161        0.27%
仙      U+04ED9            160        0.27%
罗      U+07F57            160        0.27%
李      U+0674E            158        0.27%
为      U+04E3A            156        0.26%
唐      U+05510            156        0.26%
楼      U+0697C            156        0.26%
之      U+04E4B            155        0.26%
日      U+065E5            155        0.26%
在      U+05728            153        0.26%
深      U+06DF1            152        0.26%
美      U+07F8E            152        0.26%
草      U+08349            152        0.26%
夜      U+0591C            151        0.26%
溪      U+06EAA            151        0.26%
心      U+05FC3            150        0.25%
用      U+07528            147        0.25%
