Char   Codepoint     Frequency   Percentage
--------------------------------------------
仄      U+04EC4         319671        1.44%
平      U+05E73         279313        1.26%
一      U+04E00         219351        0.99%
不      U+04E0D         198480        0.89%
人      U+04EBA         161568        0.73%
山      U+05C71         135390        0.61%
其      U+05176         127322        0.57%
無      U+07121         122079        0.55%
有      U+06709         116493        0.52%
二      U+04E8C         114387        0.52%
風      U+098A8         104705        0.47%
三      U+04E09         100315        0.45%
日      U+065E5          99161        0.45%
中      U+04E2D          96623        0.44%
天      U+05929          89456        0.40%
首      U+09996          88664        0.40%
來      U+04F86          86441        0.39%
詩      U+08A69          86038        0.39%
年      U+05E74          85994        0.39%
十      U+05341          82105        0.37%
爲      U+07232          80687        0.36%
何      U+04F55          80608        0.36%
時      U+06642          74486        0.34%
自      U+081EA          73637        0.33%
生      U+0751F          73410        0.33%
春      U+06625          71938        0.32%
上      U+04E0A          71687        0.32%
雲      U+096F2          71686        0.32%
如      U+05982          70449        0.32%
月      U+06708          69302        0.31%
見      U+0898B          69258        0.31%
知      U+077E5          68877        0.31%
花      U+082B1          68075        0.31%
之      U+04E4B          66831        0.30%
子      U+05B50          66802        0.30%
此      U+06B64          63084        0.28%
作      U+04F5C          62133        0.28%
水      U+06C34          62059        0.28%
得      U+05F97          61042        0.27%
相      U+076F8          60655        0.27%
事      U+04E8B          60184        0.27%
四      U+056DB          59015        0.27%
江      U+06C5F          58920        0.27%
清      U+06E05          58715        0.26%
歸      U+06B78          57851        0.26%
今      U+04ECA          57506        0.26%
君      U+0541B          56577        0.25%
行      U+0884C          56418        0.25%
我      U+06211          56117        0.25%
未      U+0672A          55761        0.25%
五      U+04E94          54352        0.24%
心      U+05FC3          54268        0.24%
長      U+09577          53279        0.24%
書      U+066F8          52855        0.24%
白      U+0767D          52797        0.24%
道      U+09053          51199        0.23%
老      U+08001          51182        0.23%
明      U+0660E          50368        0.23%
秋      U+079CB          49632        0.22%
與      U+08207          49609        0.22%
雨      U+096E8          48600        0.22%
南      U+05357          48541        0.22%
下      U+04E0B          47640        0.21%
萬      U+0842C          47441        0.21%
高      U+09AD8          46585        0.21%
可      U+053EF          46303        0.21%
王      U+0738B          45076        0.20%
是      U+0662F          44980        0.20%
公      U+0516C          44807        0.20%
去      U+053BB          44043        0.20%
夜      U+0591C          43344        0.20%
已      U+05DF2          43083        0.19%
空      U+07A7A          43056        0.19%
成      U+06210          42773        0.19%
在      U+05728          42344        0.19%
大      U+05927          42249        0.19%
千      U+05343          42156        0.19%
古      U+053E4          41892        0.19%
家      U+05BB6          41730        0.19%
卷      U+05377          41477        0.19%
寒      U+05BD2          41094        0.19%
西      U+0897F          41008        0.18%
同      U+0540C          40835        0.18%
和      U+0548C          40721        0.18%
前      U+0524D          40123        0.18%
東      U+06771          40016        0.18%
玉      U+07389          39083        0.18%
出      U+051FA          39011        0.18%
新      U+065B0          38800        0.17%
