Char   Codepoint     Frequency   Percentage
--------------------------------------------
之      U+04E4B           2141        5.23%
也      U+04E5F           1388        3.39%
不      U+04E0D           1266        3.09%
子      U+05B50           1046        2.55%
曰      U+066F0           1016        2.48%
而      U+0800C            916        2.24%
以      U+04EE5            750        1.83%
其      U+05176            732        1.79%
者      U+08005            720        1.76%
人      U+04EBA            702        1.71%
為      U+070BA            570        1.39%
有      U+06709            548        1.34%
於      U+065BC            546        1.33%
則      U+05247            484        1.18%
天      U+05929            369        0.90%
王      U+0738B            341        0.83%
所      U+06240            330        0.81%
孟      U+05B5F            310        0.76%
無      U+07121            308        0.75%
君      U+0541B            306        0.75%
下      U+04E0B            292        0.71%
可      U+053EF            292        0.71%
矣      U+077E3            289        0.71%
是      U+0662F            277        0.68%
乎      U+04E4E            268        0.65%
民      U+06C11            248        0.61%
與      U+08207            244        0.60%
道      U+09053            216        0.53%
大      U+05927            202        0.49%
何      U+04F55            201        0.49%
夫      U+0592B            198        0.48%
得      U+05F97            198        0.48%
然      U+07136            189        0.46%
能      U+080FD            187        0.46%
如      U+05982            186        0.45%
焉      U+07109            175        0.43%
仁      U+04EC1            174        0.42%
知      U+077E5            172        0.42%
謂      U+08B02            172        0.42%
我      U+06211            166        0.41%
行      U+0884C            166        0.41%
國      U+0570B            164        0.40%
故      U+06545            159        0.39%
非      U+0975E            153        0.37%
一      U+04E00            144        0.35%
此      U+06B64            142        0.35%
善      U+05584            137        0.33%
心      U+05FC3            137        0.33%
事      U+04E8B            136        0.33%
吾      U+0543E            135        0.33%
後      U+05F8C            133        0.32%
言      U+08A00            131        0.32%
公      U+0516C            130        0.32%
見      U+0898B            127        0.31%
諸      U+08AF8            126        0.31%
必      U+05FC5            123        0.30%
亦      U+04EA6            122        0.30%
義      U+07FA9            115        0.28%
今      U+04ECA            114        0.28%
問      U+0554F            113        0.28%
使      U+04F7F            112        0.27%
食      U+098DF            112        0.27%
若      U+082E5            110        0.27%
哉      U+054C9            109        0.27%
舜      U+0821C            106        0.26%
惡      U+060E1            103        0.25%
未      U+0672A            103        0.25%
樂      U+06A02            102        0.25%
欲      U+06B32            102        0.25%
皆      U+07686            102        0.25%
齊      U+09F4A            102        0.25%
士      U+058EB            101        0.25%
百      U+0767E             99        0.24%
至      U+081F3             97        0.24%
自      U+081EA             96        0.23%
父      U+07236             95        0.23%
已      U+05DF2             91        0.22%
中      U+04E2D             90        0.22%
在      U+05728             90        0.22%
聞      U+0805E             90        0.22%
親      U+089AA             87        0.21%
禮      U+079AE             86        0.21%
將      U+05C07             85        0.21%
身      U+08EAB             85        0.21%
小      U+05C0F             84        0.21%
賢      U+08CE2             84        0.21%
孔      U+05B54             83        0.20%
足      U+08DB3             83        0.20%
上      U+04E0A             81        0.20%
臣      U+081E3             80        0.20%
三      U+04E09             77        0.19%
好      U+0597D             77        0.19%
受      U+053D7             75        0.18%
居      U+05C45             74        0.18%
五      U+04E94             71        0.17%
日      U+065E5             71        0.17%
侯      U+04FAF             70        0.17%
地      U+05730             70        0.17%
德      U+05FB7             70        0.17%
生      U+0751F             70        0.17%
莫      U+083AB             70        0.17%
詩      U+08A69             70        0.17%
文      U+06587             69        0.17%
先      U+05148             68        0.17%
求      U+06C42             66        0.16%
猶      U+07336             66        0.16%
相      U+076F8             66        0.16%
去      U+053BB             65        0.16%
命      U+0547D             65        0.16%
養      U+0990A             65        0.16%
同      U+0540C             64        0.16%
治      U+06CBB             64        0.16%
雖      U+096D6             64        0.16%
正      U+06B63             63        0.15%
堯      U+0582F             62        0.15%
反      U+053CD             61        0.15%
弗      U+05F17             61        0.15%
政      U+0653F             61        0.15%
明      U+0660E             61        0.15%
聖      U+08056             60        0.15%
取      U+053D6             59        0.14%
于      U+04E8E             58        0.14%
十      U+05341             58        0.14%
家      U+05BB6             58        0.14%
時      U+06642             58        0.14%
由      U+07531             58        0.14%
世      U+04E16             56        0.14%
四      U+056DB             56        0.14%
志      U+05FD7             56        0.14%
長      U+09577             56        0.14%
死      U+06B7B             55        0.13%
誠      U+08AA0             55        0.13%
從      U+05F9E             54        0.13%
思      U+0601D             54        0.13%
斯      U+065AF             54        0.13%
殺      U+06BBA             54        0.13%
用      U+07528             54        0.13%
里      U+091CC             54        0.13%
云      U+04E91             53        0.13%
悅      U+06085             53        0.13%
告      U+0544A             52        0.13%
周      U+05468             52        0.13%
或      U+06216             52        0.13%
敬      U+0656C             52        0.13%
敢      U+06562             51        0.12%
母      U+06BCD             51        0.12%
萬      U+0842C             51        0.12%
水      U+06C34             50        0.12%
豈      U+08C48             50        0.12%
利      U+05229             49        0.12%
性      U+06027             49        0.12%
予      U+04E88             48        0.12%
及      U+053CA             48        0.12%
弟      U+05F1F             48        0.12%
惟      U+060DF             48        0.12%
學      U+05B78             47        0.11%
位      U+04F4D             46        0.11%
夷      U+05937             46        0.11%
方      U+065B9             46        0.11%
出      U+051FA             45        0.11%
己      U+05DF1             45        0.11%
朝      U+0671D             45        0.11%
物      U+07269             45        0.11%
兄      U+05144             44        0.11%
妻      U+059BB             43        0.10%
愛      U+0611B             43        0.10%
教      U+06559             43        0.10%
來      U+04F86             42        0.10%
信      U+04FE1             42        0.10%
年      U+05E74             42        0.10%
彼      U+05F7C             42        0.10%
歸      U+06B78             42        0.10%
友      U+053CB             41        0.10%
古      U+053E4             41        0.10%
失      U+05931             41        0.10%
二      U+04E8C             40        0.10%
師      U+05E2B             40        0.10%
罪      U+07F6A             40        0.10%
往      U+05F80             39        0.10%
過      U+0904E             39        0.10%
作      U+04F5C             38        0.09%
寡      U+05BE1             38        0.09%
他      U+04ED6             37        0.09%
易      U+06613             37        0.09%
湯      U+06E6F             37        0.09%
爾      U+0723E             37        0.09%
章      U+07AE0             37        0.09%
亡      U+04EA1             36        0.09%
孝      U+05B5D             36        0.09%
尊      U+05C0A             36        0.09%
曾      U+066FE             36        0.09%
