Char   Codepoint     Frequency   Percentage
--------------------------------------------
人      U+04EBA          28826        0.89%
花      U+082B1          26708        0.83%
风      U+098CE          26691        0.83%
一      U+04E00          24079        0.75%
春      U+06625          22779        0.71%
不      U+04E0D          21009        0.65%
无      U+065E0          20131        0.62%
天      U+05929          17613        0.55%
词      U+08BCD          16308        0.50%
月      U+06708          15982        0.49%
云      U+04E91          15548        0.48%
来      U+06765          15351        0.48%
山      U+05C71          14789        0.46%
江      U+06C5F          14131        0.44%
年      U+05E74          13834        0.43%
有      U+06709          13797        0.43%
绍      U+07ECD          13723        0.42%
香      U+09999          13631        0.42%
介      U+04ECB          13533        0.42%
牌      U+0724C          13474        0.42%
时      U+065F6          13314        0.41%
玉      U+07389          13229        0.41%
水      U+06C34          12796        0.40%
清      U+06E05          12359        0.38%
是      U+0662F          11895        0.37%
如      U+05982          11786        0.36%
何      U+04F55          11661        0.36%
红      U+07EA2          11579        0.36%
处      U+05904          11505        0.36%
相      U+076F8          11105        0.34%
归      U+05F52          11080        0.34%
日      U+065E5          10894        0.34%
长      U+0957F          10841        0.34%
去      U+053BB          10590        0.33%
雨      U+096E8          10322        0.32%
金      U+091D1          10079        0.31%
上      U+04E0A          10025        0.31%
中      U+04E2D           9915        0.31%
子      U+05B50           9784        0.30%
谁      U+08C01           9461        0.29%
生      U+0751F           9460        0.29%
今      U+04ECA           9411        0.29%
千      U+05343           9360        0.29%
里      U+091CC           9344        0.29%
酒      U+09152           9312        0.29%
歌      U+06B4C           8994        0.28%
梦      U+068A6           8942        0.28%
秋      U+079CB           8808        0.27%
寒      U+05BD2           8747        0.27%
飞      U+098DE           8738        0.27%
西      U+0897F           8735        0.27%
新      U+065B0           8705        0.27%
事      U+04E8B           8689        0.27%
夜      U+0591C           8602        0.27%
醉      U+09189           8597        0.27%
明      U+0660E           8472        0.26%
南      U+05357           8378        0.26%
情      U+060C5           8321        0.26%
东      U+04E1C           8285        0.26%
得      U+05F97           8239        0.26%
满      U+06EE1           8190        0.25%
更      U+066F4           8071        0.25%
愁      U+06101           8055        0.25%
心      U+05FC3           8052        0.25%
声      U+058F0           7954        0.25%
烟      U+070DF           7777        0.24%
楼      U+0697C           7707        0.24%
仙      U+04ED9           7701        0.24%
小      U+05C0F           7666        0.24%
青      U+09752           7541        0.23%
未      U+0672A           7515        0.23%
重      U+091CD           7438        0.23%
