Char   Codepoint     Frequency   Percentage
--------------------------------------------
之      U+04E4B            646        3.13%
曰      U+066F0            560        2.72%
不      U+04E0D            497        2.41%
人      U+04EBA            342        1.66%
者      U+08005            303        1.47%
也      U+04E5F            302        1.47%
为      U+04E3A            280        1.36%
有      U+06709            260        1.26%
以      U+04EE5            249        1.21%
可      U+053EF            246        1.19%
而      U+0800C            235        1.14%
其      U+05176            189        0.92%
一      U+04E00            164        0.80%
于      U+04E8E            164        0.80%
无      U+065E0            148        0.72%
此      U+06B64            144        0.70%
是      U+0662F            139        0.67%
则      U+05219            134        0.65%
能      U+080FD            129        0.63%
中      U+04E2D            121        0.59%
亦      U+04EA6            119        0.58%
如      U+05982            117        0.57%
所      U+06240            114        0.55%
天      U+05929            110        0.53%
山      U+05C71            110        0.53%
知      U+077E5            109        0.53%
若      U+082E5            103        0.50%
书      U+04E66            102        0.49%
张      U+05F20             96        0.47%
当      U+05F53             95        0.46%
坡      U+05761             93        0.45%
心      U+05FC3             92        0.45%
必      U+05FC5             92        0.45%
竹      U+07AF9             92        0.45%
文      U+06587             89        0.43%
耳      U+08033             89        0.43%
子      U+05B50             86        0.42%
得      U+05F97             85        0.41%
声      U+058F0             79        0.38%
矣      U+077E3             78        0.38%
读      U+08BFB             78        0.38%
世      U+04E16             76        0.37%
生      U+0751F             76        0.37%
在      U+05728             75        0.36%
皆      U+07686             74        0.36%
与      U+04E0E             73        0.35%
日      U+065E5             71        0.34%
水      U+06C34             71        0.34%
字      U+05B57             69        0.33%
宜      U+05B9C             69        0.33%
花      U+082B1             69        0.33%
云      U+04E91             68        0.33%
何      U+04F55             67        0.33%
江      U+06C5F             63        0.31%
物      U+07269             63        0.31%
我      U+06211             62        0.30%
诗      U+08BD7             62        0.30%
月      U+06708             61        0.30%
然      U+07136             60        0.29%
谓      U+08C13             60        0.29%
名      U+0540D             59        0.29%
后      U+0540E             58        0.28%
自      U+081EA             58        0.28%
时      U+065F6             53        0.26%
未      U+0672A             53        0.26%
友      U+053CB             52        0.25%
乐      U+04E50             51        0.25%
今      U+04ECA             51        0.25%
又      U+053C8             51        0.25%
古      U+053E4             51        0.25%
斋      U+0658B             51        0.25%
下      U+04E0B             50        0.24%
士      U+058EB             50        0.24%
徵      U+05FB5             50        0.24%
美      U+07F8E             50        0.24%
含      U+0542B             49        0.24%
三      U+04E09             48        0.23%
上      U+04E0A             48        0.23%
大      U+05927             48        0.23%
石      U+077F3             48        0.23%
言      U+08A00             48        0.23%
佳      U+04F73             47        0.23%
见      U+089C1             47        0.23%
君      U+0541B             46        0.22%
