Char   Codepoint     Frequency   Percentage
--------------------------------------------
不      U+04E0D             58        1.84%
之      U+04E4B             46        1.46%
何      U+04F55             43        1.36%
以      U+04EE5             42        1.33%
行      U+0884C             40        1.27%
为      U+04E3A             38        1.20%
人      U+04EBA             31        0.98%
其      U+05176             30        0.95%
山      U+05C71             26        0.82%
天      U+05929             24        0.76%
有      U+06709             23        0.73%
歌      U+06B4C             23        0.73%
我      U+06211             21        0.67%
所      U+06240             21        0.67%
一      U+04E00             19        0.60%
志      U+05FD7             17        0.54%
时      U+065F6             17        0.54%
明      U+0660E             17        0.54%
君      U+0541B             16        0.51%
来      U+06765             15        0.48%
得      U+05F97             14        0.44%
者      U+08005             14        0.44%
自      U+081EA             14        0.44%
上      U+04E0A             13        0.41%
出      U+051FA             13        0.41%
德      U+05FB7             13        0.41%
心      U+05FC3             13        0.41%
无      U+065E0             13        0.41%
王      U+0738B             13        0.41%
神      U+0795E             13        0.41%
与      U+04E0E             12        0.38%
东      U+04E1C             12        0.38%
可      U+053EF             12        0.38%
道      U+09053             12        0.38%
三      U+04E09             11        0.35%
去      U+053BB             11        0.35%
哉      U+054C9             11        0.35%
当      U+05F53             11        0.35%
戚      U+0621A             11        0.35%
相      U+076F8             11        0.35%
言      U+08A00             11        0.35%
长      U+0957F             11        0.35%
门      U+095E8             11        0.35%
世      U+04E16             10        0.32%
中      U+04E2D             10        0.32%
四      U+056DB             10        0.32%
子      U+05B50             10        0.32%
日      U+065E5             10        0.32%
欲      U+06B32             10        0.32%
民      U+06C11             10        0.32%
而      U+0800C             10        0.32%
至      U+081F3             10        0.32%
苦      U+082E6             10        0.32%
下      U+04E0B              9        0.29%
乐      U+04E50              9        0.29%
云      U+04E91              9        0.29%
到      U+05230              9        0.29%
在      U+05728              9        0.29%
如      U+05982              9        0.29%
年      U+05E74              9        0.29%
昆      U+06606              9        0.29%
此      U+06B64              9        0.29%
气      U+06C14              9        0.29%
游      U+06E38              9        0.29%
玉      U+07389              9        0.29%
生      U+0751F              9        0.29%
诗      U+08BD7              9        0.29%
风      U+098CE              9        0.29%
驾      U+09A7E              9        0.29%
仑      U+04ED1              8        0.25%
伯      U+04F2F              8        0.25%
关      U+05173              8        0.25%
叹      U+053F9              8        0.25%
地      U+05730              8        0.25%
多      U+0591A              8        0.25%
寿      U+05BFF              8        0.25%
思      U+0601D              8        0.25%
悲      U+060B2              8        0.25%
愿      U+0613F              8        0.25%
是      U+0662F              8        0.25%
月      U+06708              8        0.25%
海      U+06D77              8        0.25%
莫      U+083AB              8        0.25%
西      U+0897F              8        0.25%
万      U+04E07              7        0.22%
主      U+04E3B              7        0.22%
二      U+04E8C              7        0.22%
亦      U+04EA6              7        0.22%
作      U+04F5C              7        0.22%
公      U+0516C              7        0.22%
北      U+05317              7        0.22%
同      U+0540C              7        0.22%
圣      U+05723              7        0.22%
居      U+05C45              7        0.22%
念      U+05FF5              7        0.22%
故      U+06545              7        0.22%
文      U+06587              7        0.22%
期      U+0671F              7        0.22%
爱      U+07231              7        0.22%
百      U+0767E              7        0.22%
知      U+077E5              7        0.22%
能      U+080FD              7        0.22%
贤      U+08D24              7        0.22%
饮      U+0996E              7        0.22%
乘      U+04E58              6        0.19%
于      U+04E8E              6        0.19%
仙      U+04ED9              6        0.19%
侯      U+04FAF              6        0.19%
国      U+056FD              6        0.19%
夜      U+0591C              6        0.19%
常      U+05E38              6        0.19%
忧      U+05FE7              6        0.19%
意      U+0610F              6        0.19%
成      U+06210              6        0.19%
正      U+06B63              6        0.19%
白      U+0767D              6        0.19%
老      U+08001              6        0.19%
车      U+08F66              6        0.19%
酒      U+09152              6        0.19%
难      U+096BE              6        0.19%
食      U+098DF              6        0.19%
齐      U+09F50              6        0.19%
乃      U+04E43              5        0.16%
仁      U+04EC1              5        0.16%
今      U+04ECA              5        0.16%
从      U+04ECE              5        0.16%
仲      U+04EF2              5        0.16%
使      U+04F7F              5        0.16%
光      U+05149              5        0.16%
入      U+05165              5        0.16%
八      U+0516B              5        0.16%
共      U+05171              5        0.16%
冬      U+051AC              5        0.16%
千      U+05343              5        0.16%
华      U+0534E              5        0.16%
南      U+05357              5        0.16%
及      U+053CA              5        0.16%
受      U+053D7              5        0.16%
土      U+0571F              5        0.16%
坐      U+05750              5        0.16%
大      U+05927              5        0.16%
安      U+05B89              5        0.16%
对      U+05BF9              5        0.16%
岁      U+05C81              5        0.16%
归      U+05F52              5        0.16%
怀      U+06000              5        0.16%
散      U+06563              5        0.16%
断      U+065AD              5        0.16%
极      U+06781              5        0.16%
步      U+06B65              5        0.16%
水      U+06C34              5        0.16%
流      U+06D41              5        0.16%
深      U+06DF1              5        0.16%
甚      U+0751A              5        0.16%
用      U+07528              5        0.16%
甫      U+0752B              5        0.16%
登      U+0767B              5        0.16%
的      U+07684              5        0.16%
秋      U+079CB              5        0.16%
称      U+079F0              5        0.16%
经      U+07ECF              5        0.16%
绝      U+07EDD              5        0.16%
若      U+082E5              5        0.16%
