Char   Codepoint     Frequency   Percentage
--------------------------------------------
兮      U+0516E           2317        8.47%
而      U+0800C            968        3.54%
之      U+04E4B            748        2.73%
不      U+04E0D            462        1.69%
以      U+04EE5            418        1.53%
何      U+04F55            224        0.82%
其      U+05176            197        0.72%
余      U+04F59            175        0.64%
无      U+065E0            169        0.62%
于      U+04E8E            157        0.57%
为      U+04E3A            138        0.50%
心      U+05FC3            126        0.46%
与      U+04E0E            121        0.44%
些      U+04E9B            114        0.42%
所      U+06240            109        0.40%
只      U+053EA            108        0.39%
乎      U+04E4E            106        0.39%
九      U+04E5D            106        0.39%
可      U+053EF            105        0.38%
吾      U+0543E             99        0.36%
人      U+04EBA             98        0.36%
日      U+065E5             98        0.36%
自      U+081EA             90        0.33%
思      U+0601D             88        0.32%
流      U+06D41             87        0.32%
有      U+06709             86        0.31%
远      U+08FDC             86        0.31%
将      U+05C06             84        0.31%
夫      U+0592B             83        0.30%
离      U+079BB             81        0.30%
下      U+04E0B             79        0.29%
长      U+0957F             76        0.28%
天      U+05929             75        0.27%
来      U+06765             75        0.27%
行      U+0884C             74        0.27%
中      U+04E2D             73        0.27%
归      U+05F52             72        0.26%
云      U+04E91             70        0.26%
君      U+0541B             69        0.25%
独      U+072EC             69        0.25%
志      U+05FD7             68        0.25%
魂      U+09B42             67        0.24%
怀      U+06000             65        0.24%
高      U+09AD8             65        0.24%
时      U+065F6             64        0.23%
知      U+077E5             64        0.23%
世      U+04E16             63        0.23%
原      U+0539F             62        0.23%
上      U+04E0A             60        0.22%
容      U+05BB9             60        0.22%
若      U+082E5             60        0.22%
山      U+05C71             59        0.22%
风      U+098CE             59        0.22%
哀      U+054C0             58        0.21%
灵      U+07075             58        0.21%
芳      U+082B3             58        0.21%
忽      U+05FFD             57        0.21%
悲      U+060B2             56        0.20%
此      U+06B64             56        0.20%
路      U+08DEF             56        0.20%
焉      U+07109             55        0.20%
明      U+0660E             53        0.19%
从      U+04ECE             52        0.19%
得      U+05F97             52        0.19%
南      U+05357             51        0.19%
曰      U+066F0             51        0.19%
江      U+06C5F             51        0.19%
皇      U+07687             51        0.19%
众      U+04F17             50        0.18%
孰      U+05B70             50        0.18%
水      U+06C34             50        0.18%
游      U+06E38             50        0.18%
见      U+089C1             50        0.18%
白      U+0767D             49        0.18%
子      U+05B50             48        0.18%
故      U+06545             48        0.18%
修      U+04FEE             47        0.17%
既      U+065E2             47        0.17%
身      U+08EAB             47        0.17%
方      U+065B9             46        0.17%
望      U+0671B             46        0.17%
未      U+0672A             46        0.17%
能      U+080FD             45        0.16%
情      U+060C5             44        0.16%
极      U+06781             44        0.16%
乘      U+04E58             43        0.16%
屈      U+05C48             43        0.16%
惟      U+060DF             43        0.16%
龙      U+09F99             43        0.16%
伤      U+04F24             42        0.15%
兰      U+05170             42        0.15%
冥      U+051A5             42        0.15%
王      U+0738B             42        0.15%
美      U+07F8E             42        0.15%
道      U+09053             42        0.15%
愿      U+0613F             41        0.15%
欲      U+06B32             41        0.15%
生      U+0751F             41        0.15%
相      U+076F8             41        0.15%
纷      U+07EB7             41        0.15%
玉      U+07389             40        0.15%
郁      U+090C1             40        0.15%
反      U+053CD             39        0.14%
周      U+05468             39        0.14%
登      U+0767B             39        0.14%
神      U+0795E             39        0.14%
阳      U+09633             39        0.14%
又      U+053C8             38        0.14%
女      U+05973             38        0.14%
安      U+05B89             38        0.14%
东      U+04E1C             37        0.14%
发      U+053D1             37        0.14%
后      U+0540E             37        0.14%
固      U+056FA             37        0.14%
忧      U+05FE7             37        0.14%
命      U+0547D             36        0.13%
浮      U+06D6E             36        0.13%
聊      U+0804A             36        0.13%
西      U+0897F             36        0.13%
隐      U+09690             36        0.13%
北      U+05317             35        0.13%
处      U+05904             35        0.13%
幽      U+05E7D             35        0.13%
愁      U+06101             35        0.13%
死      U+06B7B             35        0.13%
莫      U+083AB             35        0.13%
俗      U+04FD7             34        0.12%
清      U+06E05             34        0.12%
结      U+07ED3             34        0.12%
顾      U+0987E             34        0.12%
飞      U+098DE             34        0.12%
使      U+04F7F             33        0.12%
信      U+04FE1             33        0.12%
往      U+05F80             33        0.12%
至      U+081F3             33        0.12%
言      U+08A00             33        0.12%
驰      U+09A70             33        0.12%
先      U+05148             32        0.12%
光      U+05149             32        0.12%
叹      U+053F9             32        0.12%
太      U+0592A             32        0.12%
正      U+06B63             32        0.12%
玄      U+07384             32        0.12%
举      U+04E3E             31        0.11%
乐      U+04E50             31        0.11%
华      U+0534E             31        0.11%
回      U+056DE             31        0.11%
我      U+06211             31        0.11%
扬      U+0626C             31        0.11%
气      U+06C14             31        0.11%
石      U+077F3             31        0.11%
同      U+0540C             30        0.11%
大      U+05927             30        0.11%
忠      U+05FE0             30        0.11%
成      U+06210             30        0.11%
然      U+07136             30        0.11%
也      U+04E5F             29        0.11%
在      U+05728             29        0.11%
木      U+06728             29        0.11%
歌      U+06B4C             29        0.11%
终      U+07EC8             29        0.11%
车      U+08F66             29        0.11%
进      U+08FDB             29        0.11%
入      U+05165             28        0.10%
居      U+05C45             28        0.10%
者      U+08005             28        0.10%
谁      U+08C01             28        0.10%
蹇      U+08E47             28        0.10%
逢      U+09022             28        0.10%
鸟      U+09E1F             28        0.10%
去      U+053BB             27        0.10%
德      U+05FB7             27        0.10%
恐      U+06050             27        0.10%
息      U+0606F             27        0.10%
服      U+0670D             27        0.10%
永      U+06C38             27        0.10%
淫      U+06DEB             27        0.10%
蔽      U+0853D             27        0.10%
夷      U+05937             26        0.10%
帝      U+05E1D             26        0.10%
并      U+05E76             26        0.10%
波      U+06CE2             26        0.10%
申      U+07533             26        0.10%
直      U+076F4             26        0.10%
草      U+08349             26        0.10%
