Char   Codepoint     Frequency   Percentage
--------------------------------------------
的      U+07684            677        3.34%
在      U+05728            220        1.09%
一      U+04E00            212        1.05%
不      U+04E0D            196        0.97%
人      U+04EBA            194        0.96%
上      U+04E0A            144        0.71%
山      U+05C71            141        0.70%
天      U+05929            139        0.69%
有      U+06709            129        0.64%
来      U+06765            123        0.61%
地      U+05730            119        0.59%
风      U+098CE            119        0.59%
中      U+04E2D            116        0.57%
时      U+065F6            116        0.57%
江      U+06C5F            111        0.55%
夜      U+0591C            105        0.52%
去      U+053BB             99        0.49%
是      U+0662F             99        0.49%
月      U+06708             99        0.49%
水      U+06C34             99        0.49%
下      U+04E0B             94        0.46%
到      U+05230             94        0.46%
春      U+06625             88        0.43%
白      U+0767D             88        0.43%
家      U+05BB6             87        0.43%
城      U+057CE             84        0.41%
了      U+04E86             83        0.41%
花      U+082B1             82        0.40%
长      U+0957F             82        0.40%
远      U+08FDC             81        0.40%
里      U+091CC             79        0.39%
年      U+05E74             76        0.38%
着      U+07740             76        0.38%
无      U+065E0             74        0.37%
见      U+089C1             73        0.36%
秋      U+079CB             71        0.35%
日      U+065E5             70        0.35%
诗      U+08BD7             69        0.34%
边      U+08FB9             68        0.34%
落      U+0843D             67        0.33%
阳      U+09633             67        0.33%
为      U+04E3A             64        0.32%
寒      U+05BD2             64        0.32%
过      U+08FC7             64        0.32%
云      U+04E91             63        0.31%
之      U+04E4B             62        0.31%
相      U+076F8             61        0.30%
自      U+081EA             60        0.30%
只      U+053EA             59        0.29%
和      U+0548C             58        0.29%
声      U+058F0             58        0.29%
这      U+08FD9             58        0.29%
雪      U+096EA             58        0.29%
已      U+05DF2             57        0.28%
空      U+07A7A             57        0.28%
树      U+06811             56        0.28%
还      U+08FD8             55        0.27%
飞      U+098DE             54        0.27%
情      U+060C5             53        0.26%
青      U+09752             53        0.26%
得      U+05F97             52        0.26%
西      U+0897F             52        0.26%
雨      U+096E8             52        0.26%
开      U+05F00             51        0.25%
明      U+0660E             51        0.25%
而      U+0800C             51        0.25%
像      U+050CF             50        0.25%
子      U+05B50             50        0.25%
我      U+06211             50        0.25%
路      U+08DEF             50        0.25%
高      U+09AD8             50        0.25%
此      U+06B64             49        0.24%
行      U+0884C             49        0.24%
出      U+051FA             48        0.24%
南      U+05357             48        0.24%
回      U+056DE             48        0.24%
归      U+05F52             48        0.24%
乡      U+04E61             47        0.23%
别      U+0522B             47        0.23%
宫      U+05BAB             47        0.23%
将      U+05C06             47        0.23%
晚      U+0665A             47        0.23%
能      U+080FD             47        0.23%
草      U+08349             47        0.23%
何      U+04F55             46        0.23%
外      U+05916             46        0.23%
望      U+0671B             46        0.23%
多      U+0591A             45        0.22%
大      U+05927             45        0.22%
楼      U+0697C             45        0.22%
生      U+0751F             45        0.22%
知      U+077E5             45        0.22%
黄      U+09EC4             45        0.22%
三      U+04E09             44        0.22%
作      U+04F5C             44        0.22%
孤      U+05B64             44        0.22%
客      U+05BA2             44        0.22%
君      U+0541B             43        0.21%
故      U+06545             42        0.21%
万      U+04E07             41        0.20%
没      U+06CA1             41        0.20%
色      U+08272             41        0.20%
今      U+04ECA             40        0.20%
前      U+0524D             40        0.20%
处      U+05904             40        0.20%
如      U+05982             40        0.20%
门      U+095E8             40        0.20%
入      U+05165             39        0.19%
然      U+07136             39        0.19%
送      U+09001             39        0.19%
发      U+053D1             38        0.19%
吹      U+05439             38        0.19%
好      U+0597D             38        0.19%
战      U+06218             38        0.19%
马      U+09A6C             38        0.19%
尽      U+05C3D             37        0.18%
李      U+0674E             37        0.18%
深      U+06DF1             37        0.18%
要      U+08981             37        0.18%
都      U+090FD             37        0.18%
以      U+04EE5             36        0.18%
关      U+05173             36        0.18%
台      U+053F0             36        0.18%
小      U+05C0F             36        0.18%
愁      U+06101             36        0.18%
酒      U+09152             36        0.18%
东      U+04E1C             35        0.17%
古      U+053E4             35        0.17%
可      U+053EF             35        0.17%
女      U+05973             35        0.17%
杜      U+0675C             35        0.17%
沙      U+06C99             35        0.17%
王      U+0738B             35        0.17%
事      U+04E8B             34        0.17%
平      U+05E73             34        0.17%
心      U+05FC3             34        0.17%
独      U+072EC             34        0.17%
衣      U+08863             34        0.17%
起      U+08D77             34        0.17%
向      U+05411             33        0.16%
感      U+0611F             33        0.16%
朝      U+0671D             33        0.16%
清      U+06E05             33        0.16%
满      U+06EE1             33        0.16%
离      U+079BB             33        0.16%
面      U+09762             33        0.16%
分      U+05206             32        0.16%
十      U+05341             32        0.16%
对      U+05BF9             32        0.16%
流      U+06D41             32        0.16%
玉      U+07389             32        0.16%
老      U+08001             32        0.16%
鸟      U+09E1F             32        0.16%
军      U+0519B             31        0.15%
北      U+05317             31        0.15%
千      U+05343             31        0.15%
居      U+05C45             31        0.15%
怀      U+06000             31        0.15%
暮      U+066AE             31        0.15%
头      U+05934             30        0.15%
方      U+065B9             30        0.15%
林      U+06797             30        0.15%
看      U+0770B             30        0.15%
道      U+09053             30        0.15%
野      U+091CE             30        0.15%
雁      U+096C1             30        0.15%
光      U+05149             29        0.14%
冷      U+051B7             29        0.14%
经      U+07ECF             29        0.14%
者      U+08005             29        0.14%
说      U+08BF4             29        0.14%
与      U+04E0E             28        0.14%
从      U+04ECE             28        0.14%
几      U+051E0             28        0.14%
国      U+056FD             28        0.14%
塞      U+0585E             28        0.14%
太      U+0592A             28        0.14%
州      U+05DDE             28        0.14%
样      U+06837             28        0.14%
河      U+06CB3             28        0.14%
遥      U+09065             28        0.14%
他      U+04ED6             27        0.13%
写      U+05199             27        0.13%
凉      U+051C9             27        0.13%
成      U+06210             27        0.13%
难      U+096BE             27        0.13%
飘      U+098D8             27        0.13%
传      U+04F20             26        0.13%
叶      U+053F6             26        0.13%
当      U+05F53             26        0.13%
新      U+065B0             26        0.13%
被      U+088AB             26        0.13%
个      U+04E2A             25        0.12%
却      U+05374             25        0.12%
后      U+0540E             25        0.12%
因      U+056E0             25        0.12%
征      U+05F81             25        0.12%
曲      U+066F2             25        0.12%
歌      U+06B4C             25        0.12%
泪      U+06CEA             25        0.12%
海      U+06D77             25        0.12%
纷      U+07EB7             25        0.12%
们      U+04EEC             24        0.12%
又      U+053C8             24        0.12%
就      U+05C31             24        0.12%
思      U+0601D             24        0.12%
星      U+0661F             24        0.12%
梦      U+068A6             24        0.12%
照      U+07167             24        0.12%
片      U+07247             24        0.12%
船      U+08239             24        0.12%
身      U+08EAB             24        0.12%
近      U+08FD1             24        0.12%
首      U+09996             24        0.12%
么      U+04E48             23        0.11%
刘      U+05218             23        0.11%
原      U+0539F             23        0.11%
寺      U+05BFA             23        0.11%
意      U+0610F             23        0.11%
旧      U+065E7             23        0.11%
残      U+06B8B             23        0.11%
烟      U+070DF             23        0.11%
石      U+077F3             23        0.11%
金      U+091D1             23        0.11%
两      U+04E24             22        0.11%
亲      U+04EB2             22        0.11%
听      U+0542C             22        0.11%
悲      U+060B2             22        0.11%
早      U+065E9             22        0.11%
景      U+0666F             22        0.11%
死      U+06B7B             22        0.11%
