Char   Codepoint     Frequency   Percentage
--------------------------------------------
兰      U+05170            284        1.76%
德      U+05FB7            269        1.67%
性      U+06027            268        1.66%
纳      U+07EB3            268        1.66%
一      U+04E00            175        1.08%
风      U+098CE            169        1.05%
花      U+082B1            161        1.00%
不      U+04E0D            133        0.82%
人      U+04EBA            125        0.77%
月      U+06708            116        0.72%
春      U+06625             95        0.59%
雨      U+096E8             94        0.58%
梦      U+068A6             91        0.56%
天      U+05929             87        0.54%
无      U+065E0             85        0.53%
山      U+05C71             84        0.52%
红      U+07EA2             83        0.51%
寒      U+05BD2             76        0.47%
落      U+0843D             76        0.47%
情      U+060C5             75        0.46%
谁      U+08C01             73        0.45%
时      U+065F6             71        0.44%
秋      U+079CB             69        0.43%
夜      U+0591C             64        0.40%
年      U+05E74             64        0.40%
清      U+06E05             64        0.40%
如      U+05982             63        0.39%
何      U+04F55             62        0.38%
愁      U+06101             61        0.38%
香      U+09999             61        0.38%
来      U+06765             60        0.37%
是      U+0662F             59        0.37%
相      U+076F8             59        0.37%
残      U+06B8B             57        0.35%
生      U+0751F             57        0.35%
西      U+0897F             57        0.35%
处      U+05904             55        0.34%
心      U+05FC3             55        0.34%
玉      U+07389             55        0.34%
子      U+05B50             54        0.33%
影      U+05F71             53        0.33%
更      U+066F4             52        0.32%
沙      U+06C99             51        0.32%
自      U+081EA             51        0.32%
别      U+0522B             50        0.31%
吹      U+05439             50        0.31%
成      U+06210             50        0.31%
萧      U+08427             49        0.30%
声      U+058F0             46        0.28%
日      U+065E5             46        0.28%
溪      U+06EAA             46        0.28%
长      U+0957F             46        0.28%
中      U+04E2D             45        0.28%
云      U+04E91             45        0.28%
丝      U+04E1D             44        0.27%
明      U+0660E             43        0.27%
事      U+04E8B             42        0.26%
冷      U+051B7             42        0.26%
归      U+05F52             42        0.26%
有      U+06709             42        0.26%
泪      U+06CEA             42        0.26%
浣      U+06D63             42        0.26%
烟      U+070DF             42        0.26%
重      U+091CD             42        0.26%
尽      U+05C3D             41        0.25%
画      U+0753B             41        0.25%
青      U+09752             41        0.25%
欲      U+06B32             40        0.25%
行      U+0884C             40        0.25%
里      U+091CC             40        0.25%
为      U+04E3A             38        0.24%
去      U+053BB             38        0.24%
多      U+0591A             38        0.24%
水      U+06C34             38        0.24%
空      U+07A7A             38        0.24%
叶      U+053F6             37        0.23%
今      U+04ECA             36        0.22%
几      U+051E0             36        0.22%
灯      U+0706F             36        0.22%
知      U+077E5             36        0.22%
上      U+04E0A             35        0.22%
断      U+065AD             35        0.22%
半      U+0534A             34        0.21%
小      U+05C0F             34        0.21%
帘      U+05E18             34        0.21%
思      U+0601D             34        0.21%
未      U+0672A             34        0.21%
窗      U+07A97             34        0.21%
阳      U+09633             34        0.21%
黄      U+09EC4             34        0.21%
前      U+0524D             33        0.20%
向      U+05411             33        0.20%
回      U+056DE             33        0.20%
好      U+0597D             33        0.20%
楼      U+0697C             33        0.20%
道      U+09053             33        0.20%
金      U+091D1             33        0.20%
凉      U+051C9             32        0.20%
分      U+05206             32        0.20%
已      U+05DF2             32        0.20%
柳      U+067F3             32        0.20%
莫      U+083AB             32        0.20%
语      U+08BED             32        0.20%
三      U+04E09             31        0.19%
只      U+053EA             31        0.19%
深      U+06DF1             31        0.19%
下      U+04E0B             30        0.19%
东      U+04E1C             30        0.19%
古      U+053E4             30        0.19%
城      U+057CE             30        0.19%
得      U+05F97             30        0.19%
此      U+06B64             30        0.19%
看      U+0770B             30        0.19%
蛮      U+086EE             30        0.19%
见      U+089C1             30        0.19%
夕      U+05915             29        0.18%
忆      U+05FC6             29        0.18%
斜      U+0659C             29        0.18%
菩      U+083E9             29        0.18%
萨      U+08428             29        0.18%
轻      U+08F7B             29        0.18%
飞      U+098DE             29        0.18%
马      U+09A6C             29        0.18%
高      U+09AD8             29        0.18%
又      U+053C8             28        0.17%
江      U+06C5F             28        0.17%
离      U+079BB             28        0.17%
衣      U+08863             28        0.17%
那      U+090A3             28        0.17%
难      U+096BE             28        0.17%
到      U+05230             27        0.17%
十      U+05341             27        0.17%
字      U+05B57             27        0.17%
平      U+05E73             27        0.17%
白      U+0767D             27        0.17%
碧      U+078A7             27        0.17%
酒      U+09152             27        0.17%
闲      U+095F2             27        0.17%
应      U+05E94             26        0.16%
当      U+05F53             26        0.16%
惊      U+060CA             26        0.16%
教      U+06559             26        0.16%
旧      U+065E7             26        0.16%
片      U+07247             26        0.16%
间      U+095F4             26        0.16%
阑      U+09611             26        0.16%
凄      U+051C4             25        0.15%
新      U+065B0             25        0.15%
海      U+06D77             25        0.15%
薄      U+08584             25        0.15%
还      U+08FD8             25        0.15%
采      U+091C7             25        0.15%
雁      U+096C1             25        0.15%
与      U+04E0E             24        0.15%
乐      U+04E50             24        0.15%
似      U+04F3C             24        0.15%
关      U+05173             24        0.15%
南      U+05357             24        0.15%
却      U+05374             24        0.15%
君      U+0541B             24        0.15%
晓      U+06653             24        0.15%
照      U+07167             24        0.15%
燕      U+071D5             24        0.15%
起      U+08D77             24        0.15%
远      U+08FDC             24        0.15%
雪      U+096EA             24        0.15%
万      U+04E07             23        0.14%
初      U+0521D             23        0.14%
开      U+05F00             23        0.14%
微      U+05FAE             23        0.14%
怜      U+0601C             23        0.14%
流      U+06D41             23        0.14%
草      U+08349             23        0.14%
也      U+04E5F             22        0.14%
从      U+04ECE             22        0.14%
双      U+053CC             22        0.14%
塞      U+0585E             22        0.14%
孤      U+05B64             22        0.14%
恨      U+06068             22        0.14%
暗      U+06697             22        0.14%
桃      U+06843             22        0.14%
