Char   Codepoint     Frequency   Percentage
--------------------------------------------
之      U+04E4B           7433        3.29%
也      U+04E5F           4071        1.80%
不      U+04E0D           3881        1.72%
而      U+0800C           3262        1.44%
以      U+04EE5           2671        1.18%
其      U+05176           2588        1.14%
人      U+04EBA           2478        1.10%
從      U+05F9E           2236        0.99%
者      U+08005           2026        0.90%
爲      U+07232           1928        0.85%
於      U+065BC           1862        0.82%
有      U+06709           1810        0.80%
曰      U+066F0           1638        0.72%
子      U+05B50           1555        0.69%
一      U+04E00           1244        0.55%
無      U+07121           1171        0.52%
下      U+04E0B           1108        0.49%
天      U+05929           1080        0.48%
是      U+0662F           1043        0.46%
所      U+06240           1008        0.45%
王      U+0738B            959        0.42%
則      U+05247            860        0.38%
大      U+05927            845        0.37%
君      U+0541B            839        0.37%
聲      U+08072            822        0.36%
可      U+053EF            820        0.36%
此      U+06B64            807        0.36%
上      U+04E0A            797        0.35%
文      U+06587            731        0.32%
對      U+05C0D            722        0.32%
公      U+0516C            716        0.32%
如      U+05982            695        0.31%
知      U+077E5            695        0.31%
中      U+04E2D            692        0.31%
故      U+06545            682        0.30%
切      U+05207            671        0.30%
能      U+080FD            664        0.29%
事      U+04E8B            657        0.29%
山      U+05C71            655        0.29%
字      U+05B57            653        0.29%
得      U+05F97            651        0.29%
生      U+0751F            651        0.29%
與      U+08207            647        0.29%
自      U+081EA            643        0.28%
日      U+065E5            642        0.28%
然      U+07136            639        0.28%
相      U+076F8            631        0.28%
古      U+053E4            626        0.28%
夫      U+0592B            623        0.28%
言      U+08A00            613        0.27%
何      U+04F55            607        0.27%
見      U+0898B            574        0.25%
三      U+04E09            571        0.25%
作      U+04F5C            571        0.25%
乎      U+04E4E            569        0.25%
行      U+0884C            565        0.25%
國      U+0570B            556        0.25%
在      U+05728            543        0.24%
矣      U+077E3            538        0.24%
吾      U+0543E            535        0.24%
謂      U+08B02            528        0.23%
時      U+06642            523        0.23%
亦      U+04EA6            520        0.23%
今      U+04ECA            514        0.23%
心      U+05FC3            501        0.22%
道      U+09053            490        0.22%
明      U+0660E            489        0.22%
臣      U+081E3            489        0.22%
月      U+06708            469        0.21%
後      U+05F8C            465        0.21%
長      U+09577            463        0.20%
十      U+05341            457        0.20%
水      U+06C34            455        0.20%
皆      U+07686            449        0.20%
至      U+081F3            448        0.20%
二      U+04E8C            446        0.20%
年      U+05E74            443        0.20%
先      U+05148            442        0.20%
將      U+05C07            442        0.20%
使      U+04F7F            439        0.19%
秦      U+079E6            439        0.19%
又      U+053C8            438        0.19%
象      U+08C61            434        0.19%
出      U+051FA            431        0.19%
世      U+04E16            430        0.19%
非      U+0975E            427        0.19%
家      U+05BB6            420        0.19%
風      U+098A8            415        0.18%
書      U+066F8            405        0.18%
成      U+06210            402        0.18%
來      U+04F86            401        0.18%
名      U+0540D            398        0.18%
士      U+058EB            398        0.18%
形      U+05F62            397        0.18%
未      U+0672A            392        0.17%
死      U+06B7B            386        0.17%
若      U+082E5            383        0.17%
意      U+0610F            376        0.17%
地      U+05730            366        0.16%
焉      U+07109            363        0.16%
足      U+08DB3            359        0.16%
必      U+05FC5            357        0.16%
我      U+06211            357        0.16%
春      U+06625            356        0.16%
五      U+04E94            354        0.16%
小      U+05C0F            348        0.15%
欲      U+06B32            347        0.15%
聞      U+0805E            345        0.15%
高      U+09AD8            343        0.15%
百      U+0767E            339        0.15%
用      U+07528            336        0.15%
白      U+0767D            334        0.15%
陽      U+0967D            333        0.15%
雲      U+096F2            333        0.15%
安      U+05B89            331        0.15%
乃      U+04E43            323        0.14%
德      U+05FB7            323        0.14%
朝      U+0671D            323        0.14%
南      U+05357            321        0.14%
馬      U+099AC            321        0.14%
侯      U+04FAF            318        0.14%
四      U+056DB            318        0.14%
歸      U+06B78            317        0.14%
已      U+05DF2            314        0.14%
入      U+05165            312        0.14%
民      U+06C11            310        0.14%
餘      U+09918            308        0.14%
千      U+05343            303        0.13%
當      U+07576            303        0.13%
唐      U+05510            301        0.13%
多      U+0591A            301        0.13%
物      U+07269            298        0.13%
同      U+0540C            297        0.13%
秋      U+079CB            296        0.13%
去      U+053BB            293        0.13%
萬      U+0842C            293        0.13%
平      U+05E73            290        0.13%
莫      U+083AB            288        0.13%
太      U+0592A            286        0.13%
夜      U+0591C            285        0.13%
花      U+082B1            284        0.13%
方      U+065B9            283        0.13%
東      U+06771            283        0.13%
周      U+05468            281        0.12%
義      U+07FA9            276        0.12%
哉      U+054C9            274        0.12%
諸      U+08AF8            273        0.12%
雖      U+096D6            273        0.12%
難      U+096E3            271        0.12%
及      U+053CA            270        0.12%
正      U+06B63            270        0.12%
金      U+091D1            270        0.12%
樂      U+06A02            264        0.12%
門      U+09580            263        0.12%
木      U+06728            256        0.11%
江      U+06C5F            256        0.11%
身      U+08EAB            251        0.11%
西      U+0897F            250        0.11%
漢      U+06F22            249        0.11%
省      U+07701            247        0.11%
草      U+08349            247        0.11%
酒      U+09152            241        0.11%
齊      U+09F4A            241        0.11%
清      U+06E05            239        0.11%
處      U+08655            239        0.11%
前      U+0524D            238        0.11%
命      U+0547D            238        0.11%
盡      U+076E1            238        0.11%
說      U+08AAA            238        0.11%
過      U+0904E            238        0.11%
賢      U+08CE2            237        0.10%
口      U+053E3            236        0.10%
兩      U+05169            234        0.10%
學      U+05B78            234        0.10%
帝      U+05E1D            234        0.10%
父      U+07236            234        0.10%
稱      U+07A31            234        0.10%
師      U+05E2B            232        0.10%
主      U+04E3B            231        0.10%
食      U+098DF            231        0.10%
宋      U+05B8B            228        0.10%
玉      U+07389            228        0.10%
求      U+06C42            227        0.10%
善      U+05584            225        0.10%
少      U+05C11            225        0.10%
雨      U+096E8            223        0.10%
客      U+05BA2            222        0.10%
易      U+06613            221        0.10%
親      U+089AA            221        0.10%
詩      U+08A69            221        0.10%
石      U+077F3            220        0.10%
陵      U+09675            220        0.10%
傳      U+050B3            219        0.10%
重      U+091CD            219        0.10%
李      U+0674E            218        0.10%
衣      U+08863            218        0.10%
豈      U+08C48            218        0.10%
代      U+04EE3            216        0.10%
亡      U+04EA1            214        0.09%
城      U+057CE            213        0.09%
女      U+05973            212        0.09%
猶      U+07336            212        0.09%
外      U+05916            211        0.09%
深      U+06DF1            210        0.09%
且      U+04E14            209        0.09%
流      U+06D41            209        0.09%
間      U+09593            208        0.09%
思      U+0601D            207        0.09%
海      U+06D77            207        0.09%
居      U+05C45            205        0.09%
左      U+05DE6            205        0.09%
信      U+04FE1            202        0.09%
六      U+0516D            201        0.09%
音      U+097F3            201        0.09%
望      U+0671B            200        0.09%
楚      U+0695A            199        0.09%
取      U+053D6            198        0.09%
遠      U+09060            198        0.09%
九      U+04E5D            197        0.09%
令      U+04EE4            197        0.09%
既      U+065E2            197        0.09%
武      U+06B66            195        0.09%
官      U+05B98            194        0.09%
復      U+05FA9            191        0.08%
禮      U+079AE            191        0.08%
老      U+08001            190        0.08%
立      U+07ACB            188        0.08%
青      U+09752            187        0.08%
聖      U+08056            186        0.08%
分      U+05206            185        0.08%
或      U+06216            185        0.08%
北      U+05317            184        0.08%
問      U+0554F            182        0.08%
好      U+0597D            182        0.08%
獨      U+07368            182        0.08%
黃      U+09EC3            181        0.08%
常      U+05E38            180        0.08%
數      U+06578            180        0.08%
終      U+07D42            180        0.08%
頭      U+0982D            180        0.08%
觀      U+089C0            179        0.08%
力      U+0529B            178        0.08%
孫      U+05B6B            175        0.08%
耳      U+08033            174        0.08%
貴      U+08CB4            174        0.08%
氣      U+06C23            173        0.08%
始      U+059CB            172        0.08%
寒      U+05BD2            172        0.08%
功      U+0529F            171        0.08%
治      U+06CBB            171        0.08%
色      U+08272            171        0.08%
起      U+08D77            171        0.08%
即      U+05373            170        0.08%
宮      U+05BAE            170        0.08%
歌      U+06B4C            170        0.08%
遊      U+0904A            168        0.07%
嘗      U+05617            167        0.07%
敢      U+06562            167        0.07%
教      U+06559            166        0.07%
空      U+07A7A            166        0.07%
里      U+091CC            166        0.07%
別      U+05225            165        0.07%
會      U+06703            165        0.07%
落      U+0843D            165        0.07%
光      U+05149            164        0.07%
志      U+05FD7            163        0.07%
語      U+08A9E            163        0.07%
宗      U+05B97            162        0.07%
通      U+0901A            162        0.07%
伯      U+04F2F            160        0.07%
元      U+05143            160        0.07%
八      U+0516B            160        0.07%
因      U+056E0            160        0.07%
進      U+09032            160        0.07%
利      U+05229            159        0.07%
首      U+09996            159        0.07%
河      U+06CB3            158        0.07%
法      U+06CD5            158        0.07%
韓      U+097D3            158        0.07%
弟      U+05F1F            156        0.07%
兵      U+05175            155        0.07%
車      U+08ECA            155        0.07%
和      U+0548C            154        0.07%
開      U+0958B            154        0.07%
飛      U+098DB            154        0.07%
受      U+053D7            153        0.07%
內      U+05167            152        0.07%
神      U+0795E            152        0.07%
聽      U+0807D            152        0.07%
趙      U+08D99            152        0.07%
經      U+07D93            151        0.07%
蓋      U+084CB            151        0.07%
衆      U+08846            151        0.07%
原      U+0539F            150        0.07%
情      U+060C5            150        0.07%
晉      U+06649            150        0.07%
亂      U+04E82            149        0.07%
愛      U+0611B            149        0.07%
本      U+0672C            149        0.07%
右      U+053F3            148        0.07%
手      U+0624B            148        0.07%
歲      U+06B72            148        0.07%
爾      U+0723E            148        0.07%
美      U+07F8E            148        0.07%
州      U+05DDE            147        0.06%
興      U+08208            147        0.06%
土      U+0571F            146        0.06%
守      U+05B88            146        0.06%
宜      U+05B9C            146        0.06%
惟      U+060DF            145        0.06%
龍      U+09F8D            145        0.06%
史      U+053F2            143        0.06%
惡      U+060E1            143        0.06%
田      U+07530            143        0.06%
辭      U+08FAD            141        0.06%
司      U+053F8            140        0.06%
夏      U+0590F            140        0.06%
記      U+08A18            140        0.06%
變      U+08B8A            140        0.06%
七      U+04E03            139        0.06%
昔      U+06614            139        0.06%
初      U+0521D            138        0.06%
失      U+05931            138        0.06%
仁      U+04EC1            137        0.06%
修      U+04FEE            137        0.06%
固      U+056FA            137        0.06%
母      U+06BCD            137        0.06%
反      U+053CD            136        0.06%
林      U+06797            136        0.06%
幾      U+05E7E            135        0.06%
張      U+05F35            135        0.06%
止      U+06B62            135        0.06%
甚      U+0751A            135        0.06%
讀      U+08B80            135        0.06%
待      U+05F85            134        0.06%
懷      U+061F7            134        0.06%
柳      U+067F3            134        0.06%
火      U+0706B            134        0.06%
窮      U+07AAE            134        0.06%
送      U+09001            134        0.06%
凡      U+051E1            133        0.06%
罪      U+07F6A            133        0.06%
舉      U+08209            133        0.06%
魏      U+09B4F            133        0.06%
鳥      U+09CE5            133        0.06%
合      U+05408            132        0.06%
曲      U+066F2            132        0.06%
目      U+076EE            132        0.06%
呼      U+0547C            131        0.06%
才      U+0624D            131        0.06%
絕      U+07D55            131        0.06%
路      U+08DEF            130        0.06%
軍      U+08ECD            130        0.06%
魚      U+09B5A            130        0.06%
富      U+05BCC            129        0.06%
往      U+05F80            129        0.06%
杜      U+0675C            129        0.06%
近      U+08FD1            128        0.06%
陳      U+09673            128        0.06%
實      U+05BE6            127        0.06%
定      U+05B9A            125        0.06%
愈      U+06108            125        0.06%
樓      U+06A13            125        0.06%
異      U+07570            125        0.06%
彼      U+05F7C            124        0.05%
新      U+065B0            124        0.05%
吳      U+05433            123        0.05%
器      U+05668            123        0.05%
尚      U+05C1A            123        0.05%
己      U+05DF1            123        0.05%
燕      U+071D5            123        0.05%
請      U+08ACB            123        0.05%
連      U+09023            123        0.05%
叔      U+053D4            122        0.05%
向      U+05411            122        0.05%
竹      U+07AF9            122        0.05%
滿      U+06EFF            121        0.05%
由      U+07531            121        0.05%
登      U+0767B            121        0.05%
發      U+0767C            121        0.05%
論      U+08AD6            121        0.05%
服      U+0670D            120        0.05%
樹      U+06A39            120        0.05%
鄉      U+09109            120        0.05%
鳴      U+09CF4            120        0.05%
俗      U+04FD7            118        0.05%
勝      U+052DD            118        0.05%
節      U+07BC0            118        0.05%
誰      U+08AB0            118        0.05%
久      U+04E45            117        0.05%
孟      U+05B5F            117        0.05%
理      U+07406            117        0.05%
許      U+08A31            117        0.05%
應      U+061C9            116        0.05%
野      U+091CE            116        0.05%
遂      U+09042            115        0.05%
予      U+04E88            114        0.05%
交      U+04EA4            114        0.05%
川      U+05DDD            114        0.05%
強      U+05F37            114        0.05%
氏      U+06C0F            114        0.05%
蘇      U+08607            114        0.05%
兒      U+05152            113        0.05%
寡      U+05BE1            113        0.05%
徒      U+05F92            113        0.05%
解      U+089E3            113        0.05%
飲      U+098F2            113        0.05%
仲      U+04EF2            112        0.05%
加      U+052A0            112        0.05%
章      U+07AE0            112        0.05%
貧      U+08CA7            112        0.05%
益      U+076CA            111        0.05%
視      U+08996            111        0.05%
陰      U+09670            111        0.05%
婦      U+05A66            110        0.05%
孤      U+05B64            110        0.05%
戰      U+06230            110        0.05%
斯      U+065AF            110        0.05%
坐      U+05750            109        0.05%
輕      U+08F15            109        0.05%
須      U+09808            109        0.05%
動      U+052D5            108        0.05%
業      U+0696D            108        0.05%
厚      U+0539A            107        0.05%
指      U+06307            107        0.05%
政      U+0653F            107        0.05%
臨      U+081E8            107        0.05%
離      U+096E2            107        0.05%
孔      U+05B54            106        0.05%
錢      U+09322            106        0.05%
養      U+0990A            106        0.05%
容      U+05BB9            105        0.05%
疑      U+07591            105        0.05%
隱      U+096B1            105        0.05%
到      U+05230            104        0.05%
虎      U+0864E            104        0.05%
遇      U+09047            104        0.05%
汝      U+06C5D            103        0.05%
華      U+083EF            103        0.05%
雪      U+096EA            103        0.05%
似      U+04F3C            102        0.05%
爭      U+0722D            102        0.05%
胡      U+080E1            102        0.05%
裏      U+088CF            102        0.05%
吏      U+0540F            101        0.04%
夷      U+05937            101        0.04%
怨      U+06028            101        0.04%
悲      U+060B2            101        0.04%
位      U+04F4D            100        0.04%
共      U+05171            100        0.04%
卒      U+05352            100        0.04%
報      U+05831            100        0.04%
持      U+06301            100        0.04%
殺      U+06BBA            100        0.04%
類      U+0985E            100        0.04%
曾      U+066FE             99        0.04%
畫      U+0756B             99        0.04%
祖      U+07956             99        0.04%
香      U+09999             99        0.04%
半      U+0534A             98        0.04%
卿      U+0537F             98        0.04%
堂      U+05802             98        0.04%
幸      U+05E78             98        0.04%
牛      U+0725B             98        0.04%
笑      U+07B11             98        0.04%
舊      U+0820A             98        0.04%
鄭      U+0912D             98        0.04%
制      U+05236             97        0.04%
塞      U+0585E             97        0.04%
比      U+06BD4             97        0.04%
直      U+076F4             97        0.04%
臺      U+081FA             97        0.04%
