Char   Codepoint     Frequency   Percentage
--------------------------------------------
之      U+04E4B           1193        3.72%
不      U+04E0D            633        1.97%
我      U+06211            590        1.84%
有      U+06709            569        1.77%
其      U+05176            546        1.70%
子      U+05B50            477        1.49%
于      U+04E8E            385        1.20%
风      U+098CE            349        1.09%
兮      U+0516E            324        1.01%
彼      U+05F7C            308        0.96%
以      U+04EE5            307        0.96%
无      U+065E0            301        0.94%
人      U+04EBA            271        0.84%
维      U+07EF4            262        0.82%
如      U+05982            247        0.77%
国      U+056FD            232        0.72%
既      U+065E2            227        0.71%
王      U+0738B            215        0.67%
尔      U+05C14            211        0.66%
矣      U+077E3            210        0.65%
君      U+0541B            203        0.63%
言      U+08A00            181        0.56%
在      U+05728            172        0.54%
天      U+05929            170        0.53%
心      U+05FC3            168        0.52%
是      U+0662F            149        0.46%
什      U+04EC0            145        0.45%
何      U+04F55            143        0.45%
大      U+05927            135        0.42%
小      U+05C0F            131        0.41%
南      U+05357            125        0.39%
止      U+06B62            122        0.38%
为      U+04E3A            121        0.38%
方      U+065B9            117        0.36%
载      U+08F7D            116        0.36%
予      U+04E88            111        0.35%
民      U+06C11            111        0.35%
思      U+0601D            110        0.34%
女      U+05973            108        0.34%
四      U+056DB            107        0.33%
雅      U+096C5            106        0.33%
周      U+05468            102        0.32%
斯      U+065AF             99        0.31%
公      U+0516C             98        0.31%
匪      U+0532A             98        0.31%
来      U+06765             98        0.31%
亦      U+04EA6             94        0.29%
山      U+05C71             93        0.29%
归      U+05F52             92        0.29%
行      U+0884C             92        0.29%
莫      U+083AB             91        0.28%
也      U+04E5F             90        0.28%
乐      U+04E50             87        0.27%
命      U+0547D             87        0.27%
且      U+04E14             86        0.27%
此      U+06B64             86        0.27%
自      U+081EA             84        0.26%
忧      U+05FE7             83        0.26%
可      U+053EF             81        0.25%
日      U+065E5             80        0.25%
曰      U+066F0             80        0.25%
采      U+091C7             80        0.25%
月      U+06708             79        0.25%
则      U+05219             78        0.24%
将      U+05C06             78        0.24%
靡      U+09761             77        0.24%
与      U+04E0E             76        0.24%
中      U+04E2D             75        0.23%
百      U+0767E             72        0.22%
岂      U+05C82             71        0.22%
德      U+05FB7             71        0.22%
文      U+06587             70        0.22%
孔      U+05B54             68        0.21%
车      U+08F66             68        0.21%
实      U+05B9E             66        0.21%
生      U+0751F             66        0.21%
见      U+089C1             66        0.21%
东      U+04E1C             64        0.20%
或      U+06216             63        0.20%
